date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cremona,Trentino,27.986301369863014,1,38,6,12,0.500,2,5,0.4,6,7,0.857,0,3,3,2,1,1,4,3,20,12.399999999999999,9
2018-10-14,Cremona,Avellino,28.008219178082193,1,28,7,13,0.538,1,4,0.25,8,8,1.0,1,2,3,3,1,2,2,2,23,19.7,17
2018-10-20,Cremona,Cantù,28.024657534246575,1,33,9,15,0.600,1,5,0.2,2,2,1.0,1,6,7,1,1,0,1,3,21,16.1,-14
2018-10-28,Cremona,Virtus Bologna,28.046575342465754,1,34,5,14,0.357,1,4,0.25,2,5,0.4,2,3,5,1,0,0,0,3,13,5.800000000000001,24
2018-11-04,Cremona,Sassari,28.065753424657533,1,36,11,23,0.478,1,5,0.2,1,1,1.0,1,1,2,1,3,0,2,2,24,14.2,6
2018-11-11,Cremona,Pistoia,28.084931506849315,1,19,2,7,0.286,0,1,0.0,1,2,0.5,1,4,5,2,0,0,1,3,5,1.6,7
2018-11-18,Cremona,Varese,28.104109589041094,1,33,8,12,0.667,6,8,0.75,0,0,0.0,1,2,3,1,0,1,5,0,22,14.5,-7
2018-11-25,Cremona,Milano,28.123287671232877,1,37,9,16,0.563,2,5,0.4,1,1,1.0,2,2,4,1,1,0,2,2,21,14.3,-1
2018-12-09,Cremona,Trieste,28.161643835616438,1,34,8,13,0.615,1,5,0.2,7,9,0.778,1,2,3,3,0,1,2,1,24,19.000000000000004,8
2018-12-16,Cremona,Pesaro,28.18082191780822,1,29,8,14,0.571,4,7,0.571,3,4,0.75,1,2,3,2,1,0,5,3,23,13.5,-8
2018-12-22,Cremona,Brescia,28.197260273972603,1,34,6,12,0.500,1,4,0.25,5,8,0.625,1,3,4,6,0,0,4,5,18,10.600000000000001,-3
2018-12-26,Cremona,Brindisi,28.208219178082192,1,32,4,12,0.333,0,3,0.0,0,0,0.0,2,4,6,2,2,0,2,3,8,4.000000000000001,8
2019-02-03,Cremona,Cantù,28.315068493150687,0,29,4,12,0.333,1,3,0.333,8,8,1.0,1,2,3,4,2,1,1,1,17,15.600000000000001,0
2019-02-09,Cremona,Virtus Bologna,28.33150684931507,1,33,4,8,0.500,1,2,0.5,2,2,1.0,0,4,4,3,1,1,4,2,11,7.1999999999999975,22
2019-03-10,Cremona,Pistoia,28.410958904109588,1,30,10,15,0.667,3,6,0.5,0,0,0.0,0,1,1,0,1,0,2,3,23,14.600000000000001,4
2019-03-17,Cremona,Varese,28.43013698630137,0,32,6,11,0.545,1,4,0.25,5,7,0.714,1,4,5,2,0,0,3,3,18,10.999999999999996,-22
2019-03-24,Cremona,Milano,28.44931506849315,1,30,8,16,0.500,1,6,0.167,7,10,0.7,1,2,3,0,1,0,1,2,24,15.3,3
2019-03-31,Cremona,Trieste,28.46849315068493,1,33,9,12,0.750,1,4,0.25,3,4,0.75,0,5,5,1,0,0,4,3,22,13.800000000000004,-11
2019-04-07,Cremona,Pesaro,28.487671232876714,1,28,5,13,0.385,2,5,0.4,0,0,0.0,0,4,4,1,1,1,3,3,12,4.3,24
2019-04-14,Cremona,Brescia,28.506849315068493,1,31,8,13,0.615,2,4,0.5,2,3,0.667,2,5,7,2,0,0,3,3,20,13.8,-6
2019-04-20,Cremona,Brindisi,28.523287671232875,1,31,7,15,0.467,4,9,0.444,3,5,0.6,2,3,5,2,0,0,1,4,21,13.6,5
2019-04-28,Cremona,Torino,28.545205479452054,1,34,4,10,0.400,2,7,0.286,0,0,0.0,1,2,3,4,1,0,2,2,10,6.899999999999999,8
2019-05-05,Cremona,Venezia,28.564383561643837,1,34,4,13,0.308,0,4,0.0,0,0,0.0,0,7,7,5,1,0,0,4,8,5.5,11
2019-05-12,Cremona,Reggio Emilia,28.583561643835615,1,17,3,7,0.429,1,2,0.5,2,2,1.0,0,2,2,0,0,0,0,2,9,5.1,-7
