date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cremona,Trentino,36.62465753424657,0,29,3,9,0.333,2,8,0.25,1,2,0.5,3,2,5,4,3,0,0,1,9,11.6,8
2018-10-14,Cremona,Avellino,36.64657534246575,0,23,4,8,0.500,1,5,0.2,2,2,1.0,0,3,3,3,1,0,0,1,11,10.6,15
2018-10-20,Cremona,Cantù,36.66301369863014,0,24,2,5,0.400,1,4,0.25,0,0,0.0,1,2,3,2,2,0,2,1,5,4.6,2
2018-10-28,Cremona,Virtus Bologna,36.68493150684932,1,25,3,8,0.375,2,4,0.5,0,0,0.0,1,0,1,9,0,0,1,3,8,8.399999999999999,19
2018-11-04,Cremona,Sassari,36.704109589041096,1,22,0,7,0.000,0,6,0.0,0,0,0.0,0,3,3,3,1,0,1,0,0,-1.9,-4
2018-11-11,Cremona,Pistoia,36.723287671232875,1,28,4,7,0.571,3,5,0.6,3,5,0.6,1,2,3,2,0,0,2,1,14,10.199999999999998,18
2018-11-18,Cremona,Varese,36.74246575342466,1,20,1,6,0.167,1,4,0.25,0,0,0.0,1,2,3,5,0,0,1,0,3,3.000000000000001,-12
2018-11-25,Cremona,Milano,36.76164383561644,1,19,2,5,0.400,2,3,0.667,0,0,0.0,0,3,3,3,1,0,1,1,6,5.899999999999999,-10
2018-12-09,Cremona,Trieste,36.8,0,17,2,5,0.400,1,3,0.333,0,0,0.0,1,1,2,3,2,0,1,2,5,5.6,-1
2018-12-16,Cremona,Pesaro,36.81917808219178,0,28,6,10,0.600,3,7,0.429,0,0,0.0,0,1,1,3,1,0,2,1,15,11.399999999999999,14
2018-12-22,Cremona,Brescia,36.83561643835616,0,20,1,2,0.500,1,2,0.5,3,3,1.0,0,0,0,2,0,0,1,2,6,4.6000000000000005,-19
2018-12-26,Cremona,Brindisi,36.846575342465755,1,29,7,14,0.500,5,9,0.556,1,2,0.5,1,4,5,5,0,0,2,2,20,15.2,18
2018-12-30,Cremona,Torino,36.85753424657534,1,30,4,6,0.667,2,3,0.667,6,6,1.0,0,0,0,7,1,0,0,1,16,18.900000000000002,16
2019-01-06,Cremona,Venezia,36.87671232876713,1,28,2,6,0.333,1,5,0.2,3,3,1.0,0,4,4,2,1,0,1,1,8,6.800000000000001,-15
2019-01-13,Cremona,Reggio Emilia,36.895890410958906,1,27,4,8,0.500,1,3,0.333,0,0,0.0,0,0,0,4,1,0,3,3,9,4.6000000000000005,4
2019-01-20,Cremona,Trentino,36.915068493150685,1,28,3,9,0.333,0,5,0.0,6,6,1.0,0,0,0,2,1,0,5,3,12,3.099999999999998,-11
2019-01-27,Cremona,Avellino,36.93424657534246,0,23,2,5,0.400,2,4,0.5,0,0,0.0,0,2,2,1,0,0,1,0,6,3.5999999999999996,5
2019-02-03,Cremona,Cantù,36.95342465753425,0,22,1,4,0.250,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,1,3,1.9,4
2019-02-09,Cremona,Virtus Bologna,36.96986301369863,1,22,3,7,0.429,1,4,0.25,0,1,0.0,0,0,0,0,2,0,1,3,7,2.7,6
2019-03-10,Cremona,Pistoia,37.04931506849315,1,26,2,6,0.333,0,2,0.0,3,5,0.6,0,3,3,7,4,0,2,2,7,9.8,8
2019-03-17,Cremona,Varese,37.06849315068493,1,14,2,5,0.400,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,1,6,4.6,-4
2019-03-24,Cremona,Milano,37.087671232876716,1,32,3,7,0.429,2,5,0.4,3,5,0.6,0,1,1,8,1,0,4,3,11,8.2,6
2019-03-31,Cremona,Trieste,37.106849315068494,0,21,6,7,0.857,1,2,0.5,4,4,1.0,1,3,4,1,1,0,1,2,17,15.999999999999996,-1
2019-04-07,Cremona,Pesaro,37.12602739726027,1,23,4,5,0.800,2,2,1.0,1,1,1.0,1,1,2,6,0,0,1,2,11,12.499999999999998,26
2019-04-14,Cremona,Brescia,37.14520547945205,1,30,5,9,0.556,3,7,0.429,0,0,0.0,0,2,2,4,0,0,1,1,13,10.699999999999998,7
2019-04-20,Cremona,Brindisi,37.16164383561644,1,32,6,12,0.500,3,7,0.429,1,1,1.0,0,2,2,4,1,0,0,1,16,13.999999999999998,4
2019-04-28,Cremona,Torino,37.18356164383562,1,32,4,7,0.571,3,4,0.75,1,2,0.5,1,4,5,10,0,0,2,0,12,15.199999999999996,14
2019-05-05,Cremona,Venezia,37.202739726027396,1,25,1,4,0.250,0,1,0.0,2,2,1.0,1,1,2,3,0,0,1,2,4,2.9000000000000004,2
2019-05-12,Cremona,Reggio Emilia,37.22191780821918,1,19,1,4,0.250,0,1,0.0,1,2,0.5,0,1,1,1,2,0,1,0,3,2.2,-12
