date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Varese,Brescia,30.126027397260273,0,14,2,5,0.400,2,3,0.667,2,2,1.0,0,0,0,3,0,0,0,3,8,6.2,0
2018-10-14,Varese,Sassari,30.145205479452056,0,7,2,3,0.667,0,1,0.0,2,3,0.667,0,0,0,0,0,0,0,5,6,2.3,-7
2018-10-21,Varese,Trentino,30.164383561643834,0,22,6,8,0.750,4,6,0.667,0,0,0.0,0,3,3,4,2,0,1,4,16,15.899999999999999,10
2018-10-28,Varese,Trieste,30.183561643835617,0,23,3,9,0.333,0,3,0.0,3,3,1.0,1,2,3,0,1,0,1,5,9,3.1999999999999993,10
2018-11-04,Varese,Reggio Emilia,30.202739726027396,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-3
2018-11-11,Varese,Avellino,30.221917808219178,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,7
2018-11-18,Varese,Cremona,30.24109589041096,0,8,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.8,-11
2018-11-25,Varese,Brindisi,30.26027397260274,0,7,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,1,5,5.0,7
2018-12-09,Varese,Venezia,30.2986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-16,Varese,Torino,30.317808219178083,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-23,Varese,Milano,30.336986301369862,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-25,Varese,Cantù,30.34246575342466,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-30,Varese,Pesaro,30.356164383561644,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Varese,Pistoia,30.375342465753423,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-13,Varese,Virtus Bologna,30.394520547945206,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-20,Varese,Brescia,30.413698630136988,0,3,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,1
2019-01-27,Varese,Sassari,30.432876712328767,0,5,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1.1,0
2019-02-02,Varese,Trentino,30.44931506849315,0,9,2,4,0.500,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,2,5,2.9000000000000004,2
2019-02-10,Varese,Trieste,30.471232876712328,0,22,11,13,0.846,6,7,0.857,0,0,0.0,1,2,3,1,0,0,0,5,28,23.299999999999997,12
2019-03-03,Varese,Reggio Emilia,30.528767123287672,0,26,3,7,0.429,1,4,0.25,4,5,0.8,1,1,2,3,1,0,1,3,11,8.799999999999997,6
2019-03-10,Varese,Avellino,30.54794520547945,0,19,2,6,0.333,2,4,0.5,3,3,1.0,0,0,0,3,0,0,1,5,9,4.700000000000001,3
2019-03-17,Varese,Cremona,30.567123287671233,0,17,2,5,0.400,1,4,0.25,0,2,0.0,0,2,2,0,0,0,0,1,5,1.6999999999999997,-3
2019-03-24,Varese,Brindisi,30.586301369863016,0,15,3,4,0.750,1,1,1.0,0,0,0.0,1,0,1,1,0,0,1,2,7,5.0,-17
2019-03-31,Varese,Venezia,30.605479452054794,0,11,1,1,1.000,1,1,1.0,0,0,0.0,2,1,3,0,0,0,2,3,3,1.1999999999999993,-5
2019-04-07,Varese,Torino,30.624657534246577,1,30,4,10,0.400,2,6,0.333,0,0,0.0,2,0,2,4,0,0,2,4,10,5.200000000000001,0
2019-04-13,Varese,Milano,30.64109589041096,1,19,1,3,0.333,0,2,0.0,0,2,0.0,1,0,1,2,0,0,0,5,2,-0.3999999999999999,-2
2019-04-20,Varese,Cantù,30.66027397260274,0,14,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,0,0,0,0,3,5,1.4000000000000004,3
2019-04-28,Varese,Pesaro,30.682191780821917,0,28,4,9,0.444,2,6,0.333,1,1,1.0,0,4,4,1,0,0,2,4,11,4.6,13
2019-05-05,Varese,Pistoia,30.7013698630137,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,4,0,-1.3,3
2019-05-12,Varese,Virtus Bologna,30.720547945205478,0,14,1,6,0.167,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-2.5999999999999996,-11
