date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Sassari,Reggio Emilia,29.065753424657533,1,31,3,10,0.300,1,4,0.25,3,4,0.75,0,7,7,2,2,0,3,2,10,5.499999999999998,-9
2018-10-14,Sassari,Varese,29.084931506849315,1,26,4,6,0.667,4,5,0.8,0,0,0.0,1,1,2,1,0,0,3,1,12,7.699999999999999,3
2018-10-21,Sassari,Brindisi,29.104109589041094,1,22,1,4,0.250,1,3,0.333,0,0,0.0,0,3,3,1,0,0,2,2,3,-0.5999999999999999,-10
2018-10-28,Sassari,Torino,29.123287671232877,0,18,3,7,0.429,0,1,0.0,0,0,0.0,1,2,3,3,2,0,4,2,6,2.9000000000000012,-1
2018-11-04,Sassari,Cremona,29.14246575342466,0,14,0,5,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-4.199999999999999,-12
2018-11-10,Sassari,Venezia,29.15890410958904,0,13,2,5,0.000,0,0,0.0,2,2,1.0,0,3,3,0,1,0,0,2,6,4.3999999999999995,12
2018-11-18,Sassari,Pistoia,29.18082191780822,0,10,3,6,0.500,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,1,7,4.6,-3
2018-11-25,Sassari,Trentino,29.2,0,13,1,2,0.500,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,0.6000000000000001,1
2018-12-09,Sassari,Virtus Bologna,29.23835616438356,1,19,0,2,0.000,0,2,0.0,0,0,0.0,1,2,3,2,0,0,0,2,0,0.4999999999999998,-2
2018-12-16,Sassari,Milano,29.257534246575343,0,18,3,6,0.500,1,3,0.333,0,0,0.0,0,2,2,3,1,0,1,3,7,5.499999999999999,-11
2018-12-23,Sassari,Avellino,29.276712328767122,0,17,2,5,0.400,0,1,0.0,4,4,1.0,0,2,2,1,0,0,2,2,8,3.8000000000000007,-10
2018-12-26,Sassari,Pesaro,29.284931506849315,0,21,4,7,0.571,3,5,0.6,0,0,0.0,1,2,3,2,0,0,3,2,11,6.6,19
2018-12-30,Sassari,Brescia,29.295890410958904,0,12,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,1,0,3,3,3,-1.2000000000000002,7
2019-01-06,Sassari,Trieste,29.315068493150687,0,17,1,2,0.500,1,2,0.5,3,4,0.75,0,1,1,1,0,0,0,0,6,5.6,-2
2019-01-12,Sassari,Cantù,29.33150684931507,0,16,0,3,0.000,0,0,0.0,0,2,0.0,0,0,0,2,0,0,0,0,0,-1.4999999999999996,3
2019-01-20,Sassari,Reggio Emilia,29.353424657534248,0,17,5,7,0.714,2,4,0.5,0,0,0.0,0,1,1,3,1,0,0,0,12,12.500000000000002,8
2019-01-27,Sassari,Varese,29.372602739726027,1,27,5,10,0.500,3,8,0.375,0,2,0.0,0,1,1,3,1,0,2,2,13,7.799999999999999,2
2019-02-03,Sassari,Brindisi,29.39178082191781,0,23,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,4,0,0,2,0,3,2.8,-10
2019-02-10,Sassari,Torino,29.410958904109588,0,21,1,5,0.200,0,2,0.0,0,0,0.0,0,3,3,2,0,0,2,4,2,-2.4000000000000004,-6
2019-03-10,Sassari,Venezia,29.487671232876714,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-5
2019-03-17,Sassari,Pistoia,29.506849315068493,0,30,2,5,0.400,1,2,0.5,0,0,0.0,0,2,2,7,3,0,1,1,5,9.4,11
2019-03-24,Sassari,Trentino,29.526027397260275,0,20,3,5,0.600,1,1,1.0,3,4,0.75,1,3,4,5,0,0,2,3,10,9.2,11
2019-03-31,Sassari,Virtus Bologna,29.545205479452054,0,18,2,8,0.250,1,4,0.25,0,0,0.0,2,1,3,1,2,0,0,1,5,4.2,9
2019-04-07,Sassari,Milano,29.564383561643837,0,21,2,3,0.667,1,1,1.0,0,0,0.0,1,3,4,4,1,0,2,1,5,6.700000000000001,7
2019-04-14,Sassari,Avellino,29.583561643835615,0,18,1,4,0.250,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-1.2,9
2019-04-20,Sassari,Pesaro,29.6,0,19,2,4,0.500,2,4,0.5,1,2,0.5,0,0,0,3,0,0,1,1,7,5.299999999999999,-10
2019-04-28,Sassari,Brescia,29.621917808219177,0,18,3,6,0.500,2,2,1.0,4,4,1.0,1,3,4,2,0,0,1,1,12,10.6,15
2019-05-05,Sassari,Trieste,29.64109589041096,0,17,1,5,0.200,1,1,1.0,0,0,0.0,2,2,4,1,0,0,3,4,3,-2.0000000000000004,3
2019-05-12,Sassari,Cantù,29.66027397260274,0,22,1,7,0.143,0,1,0.0,0,0,0.0,0,3,3,2,1,0,1,2,2,-0.9999999999999998,11
