date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Trentino,Cremona,33.45205479452055,1,38,6,6,1.000,4,4,1.0,0,0,0.0,2,8,10,1,1,0,2,1,16,17.3,-6
2018-10-27,Trentino,Venezia,33.50958904109589,1,27,2,7,0.286,1,5,0.2,3,4,0.75,3,4,7,0,2,0,0,2,8,8.0,-15
2018-11-03,Trentino,Avellino,33.52876712328767,1,24,3,8,0.375,1,5,0.2,1,1,1.0,0,2,2,0,0,0,0,2,8,3.3999999999999995,-29
2018-11-10,Trentino,Brescia,33.54794520547945,1,35,6,10,0.600,6,9,0.667,0,0,0.0,0,5,5,2,1,0,2,2,18,14.499999999999996,7
2018-11-17,Trentino,Trieste,33.56712328767124,1,34,4,9,0.444,2,6,0.333,0,0,0.0,0,4,4,1,1,0,3,2,10,4.3999999999999995,-16
2018-11-25,Trentino,Sassari,33.58904109589041,1,34,3,12,0.250,1,7,0.143,7,10,0.7,1,9,10,1,1,1,0,2,14,10.599999999999998,-1
2018-12-08,Trentino,Torino,33.62465753424657,1,37,6,15,0.400,6,13,0.462,0,0,0.0,0,4,4,3,1,0,2,0,18,12.199999999999998,9
2018-12-15,Trentino,Reggio Emilia,33.64383561643836,1,28,4,9,0.444,2,5,0.4,1,1,1.0,1,4,5,1,0,0,1,0,11,7.899999999999999,5
2018-12-23,Trentino,Pesaro,33.66575342465754,1,30,3,7,0.429,2,4,0.5,0,0,0.0,1,10,11,0,2,2,1,2,8,9.6,-2
2018-12-26,Trentino,Pistoia,33.673972602739724,1,36,2,8,0.250,1,4,0.25,1,5,0.2,1,2,3,1,1,0,3,0,6,-0.40000000000000036,7
2018-12-30,Trentino,Virtus Bologna,33.68493150684932,1,28,5,12,0.417,2,5,0.4,0,0,0.0,0,5,5,0,0,0,1,2,12,5.300000000000002,0
2019-01-06,Trentino,Milano,33.704109589041096,1,21,2,6,0.333,1,4,0.25,0,0,0.0,2,7,9,1,0,0,2,0,5,3.8000000000000007,-14
2019-01-13,Trentino,Brindisi,33.723287671232875,1,29,0,5,0.000,0,2,0.0,2,3,0.667,2,9,11,1,0,1,2,3,2,0.39999999999999947,2
2019-01-20,Trentino,Cremona,33.74246575342466,1,30,1,7,0.143,1,6,0.167,0,0,0.0,0,5,5,0,0,0,2,2,3,-2.8,4
2019-01-27,Trentino,Cantù,33.76164383561644,1,31,5,10,0.500,2,6,0.333,6,8,0.75,3,4,7,1,1,0,0,2,18,16.4,3
2019-02-02,Trentino,Varese,33.778082191780825,1,27,4,9,0.444,3,6,0.5,0,0,0.0,2,9,11,3,0,1,0,0,11,13.199999999999998,-4
2019-02-10,Trentino,Venezia,33.8,1,37,3,11,0.273,2,6,0.333,1,2,0.5,3,4,7,1,2,0,2,2,9,5.3,-5
2019-03-03,Trentino,Avellino,33.85753424657534,1,21,3,7,0.429,1,4,0.25,5,6,0.833,1,3,4,0,0,0,2,5,12,5.5,11
2019-03-10,Trentino,Brescia,33.87671232876713,1,28,3,9,0.333,0,4,0.0,2,3,0.667,0,9,9,2,2,1,2,4,8,5.699999999999999,1
2019-03-17,Trentino,Trieste,33.895890410958906,1,28,5,9,0.556,2,5,0.4,0,0,0.0,1,4,5,1,1,1,1,2,12,10.199999999999998,2
2019-03-24,Trentino,Sassari,33.915068493150685,1,30,4,13,0.308,2,5,0.4,2,2,1.0,1,6,7,2,0,0,2,5,12,4.4,-13
2019-03-30,Trentino,Torino,33.93150684931507,1,29,6,12,0.500,3,7,0.429,0,0,0.0,0,3,3,2,1,1,0,1,15,12.6,9
2019-04-07,Trentino,Reggio Emilia,33.95342465753425,1,27,3,10,0.300,1,4,0.25,2,2,1.0,1,6,7,0,1,0,2,2,9,3.8999999999999995,-3
2019-04-14,Trentino,Pesaro,33.97260273972603,1,30,4,9,0.444,4,8,0.5,0,2,0.0,0,2,2,1,1,0,0,0,12,8.799999999999999,-6
2019-04-20,Trentino,Pistoia,33.989041095890414,1,20,1,5,0.200,0,3,0.0,1,2,0.5,1,1,2,0,0,0,1,4,3,-2.1000000000000005,-2
2019-04-28,Trentino,Virtus Bologna,34.010958904109586,1,24,2,8,0.250,1,4,0.25,0,0,0.0,0,6,6,2,0,0,1,1,5,2.0,-11
2019-05-05,Trentino,Milano,34.03013698630137,1,38,7,13,0.538,2,5,0.4,2,3,0.667,2,4,6,2,0,0,0,2,18,14.5,5
2019-05-12,Trentino,Brindisi,34.04931506849315,1,33,5,13,0.385,4,8,0.5,0,0,0.0,2,6,8,0,1,0,1,2,14,9.3,3
