date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Milano,Brindisi,28.156164383561645,1,26,8,16,0.500,2,7,0.286,2,2,1.0,0,4,4,5,0,0,0,1,20,16.3,17
2018-10-14,Milano,Virtus Bologna,28.175342465753424,1,28,11,18,0.611,4,8,0.5,0,0,0.0,0,4,4,6,0,0,2,1,26,20.799999999999997,26
2018-10-21,Milano,Pistoia,28.194520547945206,1,23,5,12,0.417,1,4,0.25,0,0,0.0,0,4,4,6,1,0,2,1,11,8.6,19
2018-10-28,Milano,Pesaro,28.213698630136985,1,24,7,13,0.538,1,4,0.25,4,4,1.0,1,4,5,4,3,0,0,1,19,20.000000000000004,16
2018-11-04,Milano,Torino,28.232876712328768,1,23,1,7,0.143,1,5,0.2,3,4,0.75,1,3,4,6,1,0,3,2,6,4.1000000000000005,-4
2018-11-11,Milano,Reggio Emilia,28.252054794520546,1,18,7,14,0.500,6,11,0.545,1,2,0.5,0,3,3,3,0,0,1,0,21,15.600000000000001,24
2018-11-18,Milano,Venezia,28.27123287671233,1,28,8,16,0.500,4,7,0.571,0,0,0.0,1,1,2,4,1,0,1,3,20,14.600000000000001,9
2018-11-25,Milano,Cremona,28.29041095890411,1,26,3,14,0.214,0,6,0.0,3,4,0.75,1,3,4,4,2,0,3,0,9,3.4000000000000004,-2
2018-12-09,Milano,Cantù,28.328767123287673,1,23,1,5,0.200,1,3,0.333,4,4,1.0,0,2,2,2,0,0,2,2,7,3.1000000000000005,8
2018-12-16,Milano,Sassari,28.34794520547945,1,38,4,15,0.267,0,6,0.0,11,13,0.846,0,2,2,15,2,0,3,3,19,18.2,-1
2018-12-23,Milano,Varese,28.367123287671234,1,30,11,18,0.611,3,7,0.429,2,2,1.0,1,7,8,5,2,0,4,1,27,22.7,16
2018-12-25,Milano,Brescia,28.372602739726027,1,17,1,6,0.167,1,4,0.25,0,0,0.0,0,3,3,6,1,1,1,1,3,4.6,3
2018-12-30,Milano,Avellino,28.386301369863013,1,28,3,12,0.250,0,9,0.0,8,9,0.889,0,1,1,6,0,0,5,2,14,5.099999999999998,-1
2019-01-13,Milano,Trieste,28.424657534246574,1,22,1,10,0.100,0,4,0.0,2,4,0.5,0,2,2,6,2,0,1,0,4,2.4,1
2019-01-20,Milano,Brindisi,28.443835616438356,1,30,9,20,0.450,4,10,0.4,3,5,0.6,2,0,2,3,3,0,3,5,25,15.300000000000004,-3
2019-01-27,Milano,Virtus Bologna,28.46301369863014,1,10,5,7,0.714,2,3,0.667,0,0,0.0,0,5,5,0,0,0,1,0,12,9.600000000000001,6
2019-03-03,Milano,Torino,28.55890410958904,1,14,3,5,0.600,1,1,1.0,0,0,0.0,0,1,1,5,1,0,0,1,7,9.1,12
2019-03-11,Milano,Reggio Emilia,28.58082191780822,1,29,4,17,0.235,2,5,0.4,4,4,1.0,1,4,5,7,2,0,5,1,14,7.1,-1
2019-03-17,Milano,Venezia,28.5972602739726,1,22,3,7,0.429,2,5,0.4,0,0,0.0,0,6,6,5,1,0,2,0,8,8.6,-8
2019-03-31,Milano,Cantù,28.635616438356166,1,37,9,18,0.500,2,9,0.222,9,13,0.692,0,2,2,7,3,0,3,3,29,22.7,13
2019-04-07,Milano,Sassari,28.654794520547945,1,25,3,13,0.231,2,9,0.222,4,6,0.667,0,3,3,1,2,0,1,2,12,5.1,-4
2019-04-13,Milano,Varese,28.671232876712327,1,24,5,10,0.500,2,7,0.286,3,4,0.75,2,1,3,3,0,0,1,1,15,12.0,0
2019-04-28,Milano,Avellino,28.71232876712329,1,31,4,14,0.286,1,5,0.2,4,9,0.444,1,4,5,8,4,0,1,3,13,12.100000000000001,20
2019-05-05,Milano,Trentino,28.731506849315068,1,30,5,20,0.250,4,11,0.364,4,4,1.0,1,4,5,5,1,0,4,3,18,7.199999999999999,6
