date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-21,Trentino,Varese,32.76438356164383,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-27,Trentino,Venezia,32.78082191780822,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-6
2018-11-03,Trentino,Avellino,32.8,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,3,2,0.39999999999999947,3
2018-11-10,Trentino,Brescia,32.81917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-17,Trentino,Trieste,32.83835616438356,0,7,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.7999999999999999,-3
2018-11-25,Trentino,Sassari,32.86027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-08,Trentino,Torino,32.895890410958906,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-15,Trentino,Reggio Emilia,32.915068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-23,Trentino,Pesaro,32.93698630136986,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Trentino,Pistoia,32.945205479452056,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-30,Trentino,Virtus Bologna,32.95616438356164,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Trentino,Milano,32.97534246575343,0,4,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,4
2019-01-13,Trentino,Brindisi,32.99452054794521,1,12,2,2,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,4.8,4
2019-01-20,Trentino,Cremona,33.013698630136986,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,1,0,-1.1102230246251565e-16,-5
2019-01-27,Trentino,Cantù,33.032876712328765,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-02,Trentino,Varese,33.04931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-10,Trentino,Venezia,33.07123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-03,Trentino,Avellino,33.12876712328767,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-10,Trentino,Brescia,33.14794520547945,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Trentino,Trieste,33.16712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-24,Trentino,Sassari,33.18630136986302,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-30,Trentino,Torino,33.202739726027396,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-07,Trentino,Reggio Emilia,33.224657534246575,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-14,Trentino,Pesaro,33.24383561643835,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,0
2019-04-20,Trentino,Pistoia,33.26027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Trentino,Virtus Bologna,33.28219178082192,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-05,Trentino,Milano,33.3013698630137,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0.19999999999999996,1
2019-05-12,Trentino,Brindisi,33.32054794520548,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
