date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Torino,Venezia,25.77260273972603,1,24,4,7,0.571,1,1,1.0,2,2,1.0,0,3,3,1,0,0,2,5,11,5.299999999999999,-3
2018-10-13,Torino,Trieste,25.78904109589041,1,23,1,2,0.000,0,0,0.0,3,4,0.75,1,2,3,1,0,0,3,2,5,1.7999999999999998,-10
2018-10-21,Torino,Reggio Emilia,25.81095890410959,1,23,5,9,0.556,0,1,0.0,3,4,0.75,1,4,5,0,1,0,0,4,13,9.599999999999998,6
2018-10-28,Torino,Sassari,25.83013698630137,1,26,2,7,0.000,0,0,0.0,3,6,0.5,1,2,3,0,3,1,1,1,7,5.3,-9
2018-11-04,Torino,Milano,25.84931506849315,1,10,3,6,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,6,2.600000000000001,0
2018-12-08,Torino,Trentino,25.942465753424656,0,27,4,9,0.000,0,0,0.0,6,9,0.667,4,3,7,2,1,0,3,1,14,10.800000000000002,10
2018-12-16,Torino,Varese,25.964383561643835,0,17,2,4,0.000,0,0,0.0,0,2,0.0,0,0,0,1,2,0,2,2,4,1.1000000000000005,-21
2018-12-23,Torino,Pistoia,25.983561643835618,0,19,3,8,0.375,0,2,0.0,0,0,0.0,2,3,5,3,0,0,2,3,6,2.8,2
2018-12-26,Torino,Avellino,25.991780821917807,0,25,6,12,0.000,0,0,0.0,3,3,1.0,5,2,7,3,1,2,2,2,15,14.799999999999997,-13
2018-12-30,Torino,Cremona,26.002739726027396,0,27,8,15,0.533,1,4,0.25,0,1,0.0,1,1,2,0,1,1,3,2,17,8.199999999999998,-1
2019-01-06,Torino,Cantù,26.02191780821918,0,30,7,14,0.500,1,2,0.5,4,4,1.0,3,4,7,2,2,2,0,2,19,19.299999999999997,-11
2019-01-13,Torino,Pesaro,26.041095890410958,1,32,2,7,0.286,0,2,0.0,0,0,0.0,1,8,9,1,2,2,6,5,4,-0.9000000000000004,-9
2019-01-20,Torino,Venezia,26.06027397260274,0,19,3,6,0.000,0,0,0.0,0,1,0.0,1,6,7,2,1,1,3,4,6,3.5999999999999996,-4
2019-01-27,Torino,Trieste,26.07945205479452,0,19,3,3,0.000,0,0,0.0,3,3,1.0,4,4,8,2,0,0,2,4,9,9.899999999999999,-8
2019-02-03,Torino,Reggio Emilia,26.0986301369863,0,6,0,0,0.000,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.8999999999999999,1
2019-02-10,Torino,Sassari,26.117808219178084,0,22,7,10,0.000,0,0,0.0,6,11,0.545,1,4,5,0,1,0,0,2,20,15.899999999999999,4
2019-03-03,Torino,Milano,26.175342465753424,0,20,4,9,0.444,2,2,1.0,1,1,1.0,0,1,1,1,0,2,1,2,11,6.8999999999999995,-1
2019-03-10,Torino,Brindisi,26.194520547945206,1,38,7,13,0.538,1,1,1.0,2,4,0.5,1,4,5,0,2,2,2,5,17,11.2,1
2019-03-17,Torino,Virtus Bologna,26.213698630136985,1,18,2,7,0.286,0,2,0.0,2,3,0.667,0,5,5,1,0,1,3,3,6,0.20000000000000018,-9
2019-03-24,Torino,Brescia,26.232876712328768,0,25,5,7,0.000,0,0,0.0,7,10,0.7,0,7,7,1,0,1,1,0,17,15.400000000000002,-4
2019-03-30,Torino,Trentino,26.24931506849315,1,30,8,10,0.000,0,0,0.0,1,2,0.5,1,4,5,0,1,1,4,3,17,11.2,-9
2019-04-07,Torino,Varese,26.27123287671233,0,17,3,5,0.600,2,2,1.0,0,0,0.0,1,3,4,2,1,1,3,4,8,5.799999999999999,5
2019-04-14,Torino,Pistoia,26.29041095890411,1,18,2,8,0.250,0,3,0.0,1,2,0.5,1,5,6,1,1,2,2,2,5,2.3,7
2019-04-20,Torino,Avellino,26.306849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Torino,Cremona,26.328767123287673,0,19,3,10,0.000,0,0,0.0,1,2,0.5,2,4,6,0,3,3,3,5,7,3.5,4
2019-05-05,Torino,Cantù,26.34794520547945,0,21,2,4,0.000,0,0,0.0,0,1,0.0,1,4,5,0,2,0,2,2,4,2.7,-10
2019-05-12,Torino,Pesaro,26.367123287671234,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,2,0,2,0,0,-0.10000000000000009,0
