date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Trentino,Cremona,20.50958904109589,1,12,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,1.6,-8
2018-10-14,Trentino,Cantù,20.53150684931507,0,14,0,6,0.000,0,6,0.0,0,0,0.0,0,1,1,1,0,2,0,4,0,-3.3999999999999995,-7
2018-10-21,Trentino,Varese,20.55068493150685,0,9,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,0,0,0,1,1,3,0.8999999999999999,-1
2018-10-27,Trentino,Venezia,20.567123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-03,Trentino,Avellino,20.586301369863016,0,11,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-0.09999999999999976,-11
2018-11-10,Trentino,Brescia,20.605479452054794,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-17,Trentino,Trieste,20.624657534246577,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-25,Trentino,Sassari,20.646575342465752,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-08,Trentino,Torino,20.682191780821917,0,3,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,2,0,0,1,1,0,0.6999999999999997,9
2018-12-15,Trentino,Reggio Emilia,20.7013698630137,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
2018-12-23,Trentino,Pesaro,20.723287671232878,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Trentino,Pistoia,20.731506849315068,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-30,Trentino,Virtus Bologna,20.742465753424657,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Trentino,Milano,20.76164383561644,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-13,Trentino,Brindisi,20.78082191780822,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-8
2019-01-20,Trentino,Cremona,20.8,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-27,Trentino,Cantù,20.81917808219178,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-02-02,Trentino,Varese,20.835616438356166,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-10,Trentino,Venezia,20.857534246575344,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-03,Trentino,Avellino,20.915068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-10,Trentino,Brescia,20.934246575342467,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Trentino,Trieste,20.953424657534246,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-24,Trentino,Sassari,20.972602739726028,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-30,Trentino,Torino,20.98904109589041,0,4,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,3.0,3
2019-04-07,Trentino,Reggio Emilia,21.01095890410959,0,9,1,1,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,1,2,2.6999999999999997,7
2019-04-14,Trentino,Pesaro,21.03013698630137,0,6,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,0,0.0,0
2019-04-20,Trentino,Pistoia,21.046575342465754,0,5,2,2,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,4.7,1
2019-04-28,Trentino,Virtus Bologna,21.068493150684933,0,10,2,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,2,1,0,3,4,5.6,-1
2019-05-05,Trentino,Milano,21.087671232876712,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-12,Trentino,Brindisi,21.106849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
