date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cantù,Avellino,29.183561643835617,1,32,4,11,0.364,1,4,0.25,1,3,0.333,0,5,5,3,0,0,0,3,10,5.5,-15
2018-10-14,Cantù,Trentino,29.205479452054796,1,34,6,12,0.500,3,5,0.6,2,3,0.667,0,6,6,3,0,0,4,5,17,8.499999999999998,16
2018-10-20,Cantù,Cremona,29.221917808219178,1,23,6,12,0.500,0,4,0.0,0,0,0.0,0,3,3,5,4,0,1,3,12,12.200000000000003,18
2018-10-28,Cantù,Reggio Emilia,29.243835616438357,1,36,11,27,0.407,5,11,0.455,9,10,0.9,2,2,4,5,4,0,5,4,36,24.0,6
2018-11-04,Cantù,Brindisi,29.263013698630136,1,32,3,9,0.333,2,3,0.667,2,2,1.0,2,8,10,2,0,1,7,3,10,2.599999999999998,-12
2018-11-11,Cantù,Virtus Bologna,29.28219178082192,1,35,7,18,0.389,4,9,0.444,5,10,0.5,1,2,3,5,1,1,1,2,23,15.899999999999999,-3
2018-11-19,Cantù,Pesaro,29.304109589041097,1,34,3,14,0.214,1,7,0.143,4,5,0.8,1,5,6,7,0,1,4,2,11,4.999999999999998,4
2018-12-09,Cantù,Milano,29.35890410958904,1,28,3,10,0.300,1,4,0.25,1,2,0.5,3,1,4,1,0,0,2,3,8,1.6999999999999993,-16
2018-12-16,Cantù,Brescia,29.378082191780823,1,29,3,16,0.188,0,7,0.0,4,5,0.8,2,3,5,4,1,0,1,5,10,2.6999999999999993,-18
2018-12-23,Cantù,Venezia,29.397260273972602,0,31,2,6,0.333,0,3,0.0,1,2,0.5,1,1,2,2,0,0,1,3,5,1.4000000000000004,-19
2018-12-25,Cantù,Varese,29.4027397260274,1,33,5,11,0.455,2,5,0.4,0,0,0.0,0,8,8,2,0,0,3,2,12,6.300000000000001,-16
2018-12-30,Cantù,Pistoia,29.416438356164385,1,27,4,7,0.571,2,3,0.667,5,7,0.714,0,3,3,3,0,0,4,5,15,7.900000000000002,10
2019-01-06,Cantù,Torino,29.435616438356163,1,42,6,14,0.429,2,7,0.286,1,2,0.5,0,7,7,9,1,0,6,1,15,10.2,9
2019-01-12,Cantù,Sassari,29.45205479452055,1,35,12,21,0.571,4,8,0.5,3,3,1.0,2,6,8,4,1,0,2,4,31,24.499999999999996,-15
2019-01-19,Cantù,Avellino,29.471232876712328,1,35,4,14,0.286,0,2,0.0,0,0,0.0,2,2,4,5,2,0,4,4,8,1.700000000000001,10
2019-01-27,Cantù,Trentino,29.493150684931507,1,31,4,11,0.364,2,7,0.286,3,3,1.0,0,6,6,4,0,0,1,3,13,9.3,1
2019-02-03,Cantù,Cremona,29.51232876712329,1,33,5,12,0.417,2,6,0.333,4,5,0.8,0,5,5,3,0,0,2,4,16,9.200000000000001,11
2019-02-09,Cantù,Reggio Emilia,29.528767123287672,1,29,3,9,0.333,2,6,0.333,0,0,0.0,0,3,3,3,0,0,2,2,8,3.0999999999999988,-4
2019-03-03,Pistoia,Trieste,29.589041095890412,1,31,7,12,0.583,3,7,0.429,1,2,0.5,0,5,5,1,0,1,4,3,18,9.7,-2
2019-03-10,Pistoia,Cremona,29.60821917808219,1,30,7,14,0.500,5,8,0.625,2,2,1.0,1,3,4,1,1,1,4,3,21,12.8,-3
2019-03-17,Pistoia,Sassari,29.627397260273973,1,31,6,17,0.353,1,7,0.143,4,5,0.8,1,5,6,6,0,0,5,4,17,6.9,-7
2019-03-24,Pistoia,Reggio Emilia,29.646575342465752,1,32,8,16,0.500,3,4,0.75,10,12,0.833,1,4,5,3,1,1,0,3,29,24.700000000000003,8
2019-03-31,Pistoia,Brescia,29.665753424657535,1,34,8,20,0.400,5,14,0.357,0,0,0.0,0,4,4,2,1,1,2,2,21,11.699999999999998,-8
2019-04-07,Pistoia,Virtus Bologna,29.684931506849317,1,30,7,19,0.368,4,9,0.444,3,5,0.6,3,4,7,5,0,0,4,3,21,11.3,14
2019-04-14,Pistoia,Torino,29.704109589041096,1,33,8,18,0.444,3,8,0.375,4,7,0.571,1,2,3,5,0,1,8,2,23,9.099999999999994,-7
2019-04-20,Pistoia,Trentino,29.720547945205478,1,17,5,15,0.333,1,6,0.167,4,4,1.0,0,3,3,5,0,0,1,5,15,7.9,2
2019-04-27,Pistoia,Cantù,29.73972602739726,1,38,9,24,0.375,2,13,0.154,4,4,1.0,0,6,6,8,0,2,2,2,24,16.8,-4
2019-05-05,Pistoia,Varese,29.76164383561644,1,28,3,8,0.375,1,4,0.25,7,8,0.875,0,3,3,0,0,1,3,4,14,6.199999999999999,-12
2019-05-12,Pistoia,Avellino,29.78082191780822,1,24,8,21,0.381,3,11,0.273,2,3,0.667,0,6,6,2,0,0,2,5,21,8.299999999999999,-12
