date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-11-25,Torino,Brescia,24.095890410958905,0,21,7,10,0.700,1,4,0.25,0,0,0.0,1,1,2,2,1,0,0,2,15,13.4,1
2018-12-08,Torino,Trentino,24.13150684931507,1,29,0,3,0.000,0,1,0.0,0,0,0.0,0,1,1,3,1,0,3,2,0,-2.5,-2
2018-12-16,Torino,Varese,24.153424657534245,1,35,4,10,0.400,1,6,0.167,1,2,0.5,1,2,3,2,1,0,2,0,10,5.899999999999999,-12
2018-12-23,Torino,Pistoia,24.172602739726027,1,33,9,12,0.750,3,6,0.5,5,5,1.0,0,4,4,4,0,0,3,0,26,22.200000000000003,9
2018-12-26,Torino,Avellino,24.18082191780822,1,33,8,16,0.500,3,6,0.5,0,0,0.0,1,2,3,1,0,0,3,2,19,9.199999999999998,-14
2018-12-30,Torino,Cremona,24.19178082191781,1,35,8,10,0.800,0,2,0.0,2,2,1.0,0,0,0,4,0,0,4,0,18,13.0,-9
2019-01-06,Torino,Cantù,24.21095890410959,1,39,4,12,0.333,1,3,0.333,0,0,0.0,2,2,4,6,2,0,2,3,9,7.199999999999999,1
2019-01-13,Torino,Pesaro,24.23013698630137,1,39,12,19,0.632,5,9,0.556,1,1,1.0,2,4,6,1,1,0,5,1,30,20.4,0
2019-01-20,Torino,Venezia,24.24931506849315,1,33,3,10,0.300,1,5,0.2,2,3,0.667,0,0,0,2,1,0,0,0,9,5.199999999999999,0
2019-01-27,Torino,Trieste,24.268493150684932,1,33,6,12,0.500,5,9,0.556,5,5,1.0,1,1,2,1,1,0,3,3,22,14.5,-7
2019-02-03,Torino,Reggio Emilia,24.28767123287671,1,27,8,12,0.667,4,7,0.571,0,0,0.0,0,2,2,1,0,0,3,1,20,12.700000000000001,12
2019-02-10,Torino,Sassari,24.306849315068494,1,29,7,10,0.700,6,6,1.0,0,0,0.0,0,2,2,4,1,0,0,1,20,19.800000000000004,8
2019-03-03,Torino,Milano,24.364383561643837,1,29,7,11,0.636,2,5,0.4,1,2,0.5,0,1,1,4,1,0,2,0,17,13.8,-8
2019-03-10,Torino,Brindisi,24.383561643835616,1,39,8,14,0.571,1,5,0.2,1,1,1.0,1,3,4,5,2,0,0,2,18,17.7,3
2019-03-17,Torino,Virtus Bologna,24.4027397260274,1,37,3,10,0.300,3,7,0.429,2,2,1.0,1,2,3,2,2,0,4,2,11,5.1,-7
2019-03-24,Torino,Brescia,24.421917808219177,1,35,6,14,0.429,3,8,0.375,0,0,0.0,1,0,1,3,1,0,4,2,15,6.599999999999998,-1
2019-03-30,Torino,Trentino,24.438356164383563,1,27,6,12,0.500,2,7,0.286,1,1,1.0,1,1,2,2,0,0,2,1,15,9.0,-8
2019-04-07,Torino,Varese,24.46027397260274,1,23,5,10,0.500,3,5,0.6,0,0,0.0,2,0,2,4,0,0,3,0,13,9.2,2
2019-04-14,Torino,Pistoia,24.47945205479452,1,29,6,14,0.429,2,8,0.25,9,10,0.9,0,0,0,1,1,0,3,0,23,13.899999999999999,4
2019-04-20,Torino,Avellino,24.495890410958904,1,35,8,14,0.571,2,8,0.25,0,0,0.0,0,5,5,3,0,0,1,2,18,13.2,-22
2019-04-28,Torino,Cremona,24.517808219178082,1,29,6,11,0.545,2,5,0.4,0,0,0.0,0,1,1,9,1,0,0,1,14,15.9,-8
2019-05-05,Torino,Cantù,24.536986301369865,1,34,4,15,0.267,2,8,0.25,0,0,0.0,1,0,1,3,0,0,1,1,10,2.4999999999999996,-9
2019-05-12,Torino,Pesaro,24.556164383561644,1,29,4,10,0.400,2,5,0.4,4,5,0.8,0,4,4,6,3,0,1,2,14,14.799999999999997,19
