date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-21,Trieste,Brescia,25.27123287671233,0,29,3,7,0.429,3,6,0.5,0,0,0.0,1,0,1,0,1,0,1,2,9,5.2,3
2018-10-28,Trieste,Varese,25.29041095890411,1,22,0,4,0.000,0,4,0.0,1,2,0.5,1,0,1,0,0,1,0,1,1,-1.1999999999999997,-25
2018-11-04,Trieste,Pistoia,25.30958904109589,0,23,6,10,0.600,5,9,0.556,3,3,1.0,0,3,3,0,0,0,2,0,20,14.299999999999997,12
2018-11-12,Trieste,Pesaro,25.33150684931507,0,13,0,1,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-0.10000000000000003,-14
2018-11-17,Trieste,Trentino,25.345205479452055,0,11,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1.4,-5
2018-11-25,Trieste,Cantù,25.367123287671234,0,16,2,4,0.500,0,2,0.0,0,1,0.0,1,2,3,1,3,0,0,1,4,6.2,9
2018-12-09,Trieste,Cremona,25.405479452054795,1,35,5,10,0.500,4,9,0.444,0,0,0.0,1,3,4,1,0,1,3,2,14,8.199999999999998,-12
2018-12-16,Trieste,Avellino,25.424657534246574,1,25,4,5,0.800,2,3,0.667,1,1,1.0,1,3,4,2,1,0,0,2,11,12.299999999999999,29
2019-01-27,Avellino,Cremona,25.53972602739726,0,13,0,5,0.000,0,5,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3.9,-9
2019-02-03,Avellino,Virtus Bologna,25.55890410958904,0,30,0,2,0.000,0,2,0.0,0,0,0.0,1,0,1,0,1,1,0,4,0,-0.6000000000000001,-26
2019-02-10,Avellino,Brescia,25.578082191780823,1,22,3,7,0.429,3,7,0.429,0,0,0.0,3,2,5,3,0,0,0,3,9,8.899999999999999,13
2019-03-03,Avellino,Trentino,25.635616438356166,1,25,1,3,0.333,1,2,0.5,0,0,0.0,1,4,5,1,0,0,1,3,3,1.7000000000000002,-14
2019-03-10,Avellino,Varese,25.654794520547945,1,24,1,9,0.111,1,7,0.143,0,0,0.0,0,1,1,1,0,2,1,1,3,-1.9000000000000004,-1
2019-03-17,Avellino,Reggio Emilia,25.673972602739727,0,23,5,9,0.556,2,4,0.5,0,0,0.0,0,3,3,0,0,0,0,1,12,8.2,9
2019-03-24,Avellino,Venezia,25.693150684931506,0,15,0,3,0.000,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.4999999999999996,-15
2019-04-20,Avellino,Torino,25.767123287671232,0,8,5,5,1.000,5,5,1.0,0,0,0.0,1,1,2,0,0,0,0,2,15,13.7,17
2019-05-05,Avellino,Brindisi,25.808219178082194,1,29,8,12,0.667,4,8,0.5,0,0,0.0,2,2,4,1,0,0,1,1,20,16.1,6
2019-05-12,Avellino,Pistoia,25.827397260273973,0,11,0,3,0.000,0,3,0.0,2,2,1.0,0,1,1,2,0,0,0,4,2,2.220446049250313e-16,3
