date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Venezia,Torino,29.852054794520548,1,34,5,8,0.625,5,7,0.714,0,0,0.0,0,9,9,1,1,2,2,2,15,14.399999999999999,2
2018-10-14,Venezia,Pistoia,29.87123287671233,1,21,1,3,0.333,1,2,0.5,0,0,0.0,0,5,5,6,2,0,0,3,3,7.8,18
2018-10-21,Venezia,Pesaro,29.89041095890411,1,13,2,2,1.000,1,1,1.0,0,0,0.0,0,5,5,3,1,0,2,0,5,7.0,26
2018-10-27,Venezia,Trentino,29.906849315068495,1,30,1,5,0.200,1,4,0.25,0,0,0.0,2,4,6,5,0,1,1,2,3,4.9,20
2018-11-04,Venezia,Virtus Bologna,29.92876712328767,1,14,0,0,0.000,0,0,0.0,0,0,0.0,0,7,7,3,1,0,0,3,0,3.999999999999999,0
2018-11-10,Venezia,Sassari,29.945205479452056,1,11,0,4,0.000,0,3,0.0,0,0,0.0,1,0,1,1,1,1,1,4,0,-2.3,-5
2018-11-18,Venezia,Milano,29.96712328767123,1,24,0,2,0.000,0,1,0.0,1,4,0.25,1,4,5,1,0,1,1,2,1,-0.10000000000000031,-6
2018-11-25,Venezia,Avellino,29.986301369863014,1,17,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,4,0,0,1,2,3,3.2,21
2018-12-09,Venezia,Varese,30.024657534246575,1,28,4,8,0.500,4,7,0.571,0,2,0.0,3,4,7,4,1,2,1,2,12,13.9,9
2018-12-23,Venezia,Cantù,30.063013698630137,1,31,3,4,0.750,2,3,0.667,0,0,0.0,1,3,4,5,5,1,1,1,8,15.8,20
2018-12-26,Venezia,Trieste,30.07123287671233,1,30,2,9,0.222,2,6,0.333,2,2,1.0,2,7,9,4,1,1,1,2,8,8.7,-7
2018-12-30,Venezia,Reggio Emilia,30.08219178082192,1,31,6,11,0.545,4,5,0.8,0,0,0.0,4,7,11,2,1,0,0,2,16,17.2,-7
2019-01-06,Venezia,Cremona,30.101369863013698,0,24,4,7,0.571,3,6,0.5,0,0,0.0,0,4,4,4,0,1,1,2,11,10.599999999999998,0
2019-01-12,Venezia,Brescia,30.117808219178084,0,22,3,4,0.750,2,2,1.0,2,2,1.0,0,2,2,1,0,0,2,2,10,6.899999999999997,-3
2019-01-20,Venezia,Torino,30.13972602739726,1,27,0,3,0.000,0,3,0.0,0,0,0.0,2,6,8,7,0,0,0,1,0,5.6,9
2019-01-27,Venezia,Pistoia,30.15890410958904,1,20,3,8,0.375,3,7,0.429,0,0,0.0,0,6,6,4,0,0,1,1,9,7.799999999999999,2
2019-02-03,Venezia,Pesaro,30.17808219178082,1,31,3,5,0.600,3,5,0.6,4,6,0.667,3,7,10,4,2,1,0,2,13,18.799999999999997,-3
2019-02-10,Venezia,Trentino,30.197260273972603,1,35,1,5,0.200,0,2,0.0,5,6,0.833,0,13,13,5,0,2,2,4,7,8.700000000000001,-18
2019-03-02,Venezia,Virtus Bologna,30.252054794520546,1,26,2,5,0.400,0,1,0.0,1,2,0.5,1,5,6,2,0,1,2,3,5,3.0,-6
2019-03-10,Venezia,Sassari,30.273972602739725,1,30,8,11,0.727,4,7,0.571,4,4,1.0,3,3,6,5,1,0,3,3,24,22.8,1
2019-03-17,Venezia,Milano,30.293150684931508,1,28,2,5,0.400,0,3,0.0,0,0,0.0,0,6,6,7,2,0,1,2,4,8.2,1
2019-03-24,Venezia,Avellino,30.312328767123287,0,17,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,3,1,0,2,4,0,-1.3000000000000003,0
2019-03-31,Venezia,Varese,30.33150684931507,1,31,4,8,0.500,1,5,0.2,4,4,1.0,1,10,11,8,2,0,2,2,13,17.499999999999996,-4
2019-04-20,Venezia,Trieste,30.386301369863013,0,9,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-3.3,-18
2019-04-28,Venezia,Reggio Emilia,30.40821917808219,0,21,2,5,0.400,0,1,0.0,0,0,0.0,0,4,4,5,0,1,2,3,4,3.5,10
2019-05-05,Venezia,Cremona,30.427397260273974,1,29,1,4,0.250,1,2,0.5,0,0,0.0,0,7,7,3,1,0,3,4,3,1.1999999999999993,-2
2019-05-12,Venezia,Brescia,30.446575342465753,1,27,0,4,0.000,0,3,0.0,0,0,0.0,1,5,6,5,3,0,1,3,0,3.7,12
