date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Milano,Brindisi,25.627397260273973,1,22,5,6,0.000,0,0,0.0,0,0,0.0,2,5,7,1,0,2,1,5,10,9.8,17
2018-10-21,Milano,Pistoia,25.665753424657535,1,16,5,6,0.000,0,0,0.0,2,3,0.667,2,3,5,0,0,2,1,3,12,10.900000000000002,19
2018-10-28,Milano,Pesaro,25.684931506849317,1,14,4,5,0.000,0,0,0.0,1,2,0.5,3,2,5,0,1,1,1,4,9,8.499999999999998,-1
2018-11-11,Milano,Reggio Emilia,25.723287671232878,1,22,5,6,0.000,0,0,0.0,1,2,0.5,2,7,9,2,2,0,1,2,11,13.5,25
2018-11-18,Milano,Venezia,25.742465753424657,1,20,1,1,0.000,0,0,0.0,3,4,0.75,2,6,8,0,0,2,1,4,5,6.299999999999999,14
2018-11-25,Milano,Cremona,25.76164383561644,1,21,6,6,0.000,0,0,0.0,3,3,1.0,3,3,6,1,0,1,1,5,15,14.599999999999998,12
2018-12-23,Milano,Varese,25.838356164383562,1,21,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,5,0,-2.0,-1
2018-12-25,Milano,Brescia,25.843835616438355,1,22,10,12,0.000,0,0,0.0,3,5,0.6,1,3,4,1,0,1,0,2,23,19.999999999999996,10
2019-03-03,Milano,Torino,26.03013698630137,1,20,8,8,0.000,0,0,0.0,0,0,0.0,2,3,5,2,0,0,1,5,16,14.3,24
2019-03-11,Milano,Reggio Emilia,26.052054794520547,0,16,4,4,0.000,0,0,0.0,2,4,0.5,1,4,5,0,1,1,1,3,10,9.399999999999999,3
2019-03-17,Milano,Venezia,26.068493150684933,1,20,5,6,0.000,0,0,0.0,5,6,0.833,3,1,4,3,0,1,0,4,15,15.999999999999998,16
2019-03-24,Milano,Cremona,26.087671232876712,1,29,9,11,0.000,0,0,0.0,3,10,0.3,2,2,4,0,0,0,4,4,21,10.500000000000002,2
2019-03-31,Milano,Cantù,26.106849315068494,1,26,7,7,0.000,0,0,0.0,3,4,0.75,2,6,8,0,0,0,1,4,17,15.100000000000001,13
2019-04-07,Milano,Sassari,26.126027397260273,0,18,1,6,0.000,0,0,0.0,0,0,0.0,4,3,7,1,0,0,0,4,2,1.0000000000000004,-5
2019-04-13,Milano,Varese,26.14246575342466,1,30,4,5,0.000,0,0,0.0,3,3,1.0,5,7,12,1,0,2,1,4,11,14.199999999999998,3
2019-04-20,Milano,Brescia,26.161643835616438,1,18,3,3,0.000,0,0,0.0,0,2,0.0,2,4,6,0,0,1,1,5,6,4.600000000000001,11
2019-04-28,Milano,Avellino,26.183561643835617,1,24,6,7,0.000,0,0,0.0,3,4,0.75,4,11,15,0,0,1,0,2,15,18.099999999999998,22
2019-05-05,Milano,Trentino,26.202739726027396,0,32,6,6,0.000,0,0,0.0,3,6,0.5,0,5,5,0,0,1,1,4,15,11.6,-6
2019-05-12,Milano,Trieste,26.221917808219178,0,21,1,2,0.000,0,0,0.0,1,2,0.5,1,4,5,0,0,0,1,4,3,0.8999999999999999,9
