date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Virtus Bologna,Trieste,28.18082191780822,1,35,3,9,0.333,2,6,0.333,5,8,0.625,1,3,4,4,0,0,2,3,13,7.899999999999999,1
2018-10-14,Virtus Bologna,Milano,28.2,1,31,4,9,0.444,2,4,0.5,5,6,0.833,0,1,1,9,0,0,2,1,15,14.100000000000001,4
2018-10-21,Virtus Bologna,Avellino,28.21917808219178,1,30,8,17,0.471,3,6,0.5,3,5,0.6,0,5,5,5,0,0,0,4,22,15.9,16
2018-10-28,Virtus Bologna,Cremona,28.23835616438356,1,25,2,7,0.286,0,3,0.0,2,4,0.5,0,2,2,4,0,0,0,5,6,2.5,-16
2018-11-04,Virtus Bologna,Venezia,28.257534246575343,1,26,3,10,0.300,1,6,0.167,3,4,0.75,0,1,1,5,0,0,0,3,10,6.3999999999999995,2
2018-11-11,Virtus Bologna,Cantù,28.276712328767122,1,34,5,12,0.417,1,6,0.167,0,0,0.0,2,4,6,12,1,0,3,4,11,12.000000000000002,6
2018-11-18,Virtus Bologna,Torino,28.295890410958904,1,33,4,11,0.364,4,6,0.667,0,0,0.0,0,5,5,3,0,0,2,3,12,6.300000000000001,-6
2018-11-25,Virtus Bologna,Pesaro,28.315068493150687,1,20,4,9,0.444,1,4,0.25,0,0,0.0,4,4,8,3,0,0,3,5,9,5.399999999999999,3
2018-12-09,Virtus Bologna,Sassari,28.353424657534248,1,25,1,8,0.125,0,4,0.0,3,6,0.5,0,2,2,3,0,0,2,4,5,-2.3,-4
2018-12-16,Virtus Bologna,Pistoia,28.372602739726027,1,24,2,8,0.250,1,4,0.25,4,4,1.0,2,3,5,4,1,0,2,3,9,7.100000000000001,11
2018-12-22,Virtus Bologna,Brindisi,28.389041095890413,1,23,4,6,0.667,1,2,0.5,5,6,0.833,0,0,0,4,0,0,5,3,14,7.600000000000001,0
2018-12-25,Virtus Bologna,Reggio Emilia,28.397260273972602,1,35,5,10,0.500,0,1,0.0,9,9,1.0,0,3,3,8,0,0,2,0,19,18.5,17
2018-12-30,Virtus Bologna,Trentino,28.410958904109588,1,32,3,10,0.300,2,4,0.5,3,8,0.375,2,2,4,6,0,0,5,3,11,3.1999999999999993,1
2019-01-06,Virtus Bologna,Brescia,28.43013698630137,1,28,7,12,0.583,3,3,1.0,5,5,1.0,1,3,4,8,0,0,3,3,22,19.400000000000002,11
2019-01-13,Virtus Bologna,Varese,28.44931506849315,1,33,6,12,0.500,3,4,0.75,6,7,0.857,1,2,3,6,2,0,2,3,21,18.9,10
2019-01-20,Virtus Bologna,Trieste,28.46849315068493,1,20,2,5,0.400,1,1,1.0,0,1,0.0,0,0,0,6,2,0,3,5,5,3.0999999999999996,-2
2019-01-27,Virtus Bologna,Milano,28.487671232876714,1,28,7,10,0.700,0,3,0.0,4,8,0.5,0,2,2,3,0,0,3,2,18,11.1,-11
2019-02-03,Virtus Bologna,Avellino,28.506849315068493,1,32,5,11,0.455,1,3,0.333,2,3,0.667,0,1,1,8,2,0,5,2,13,8.999999999999998,25
2019-02-09,Virtus Bologna,Cremona,28.523287671232875,1,26,3,8,0.375,0,2,0.0,0,0,0.0,0,3,3,1,0,0,4,4,6,-2.4,-16
2019-03-02,Virtus Bologna,Venezia,28.58082191780822,1,32,3,6,0.500,0,3,0.0,5,6,0.833,0,1,1,5,0,0,0,1,11,10.999999999999998,2
2019-03-10,Virtus Bologna,Cantù,28.602739726027398,1,28,3,8,0.375,1,4,0.25,1,2,0.5,1,2,3,5,0,0,2,3,8,4.799999999999999,3
2019-03-17,Virtus Bologna,Torino,28.621917808219177,1,28,6,9,0.667,2,4,0.5,2,3,0.667,1,4,5,5,1,0,2,3,16,14.899999999999995,17
2019-03-23,Virtus Bologna,Pesaro,28.638356164383563,1,31,3,6,0.500,1,2,0.5,3,4,0.75,0,2,2,3,0,0,3,3,10,5.099999999999998,5
2019-03-31,Virtus Bologna,Sassari,28.66027397260274,1,19,2,6,0.333,0,1,0.0,0,0,0.0,2,1,3,3,1,0,1,5,4,2.4000000000000004,0
2019-04-07,Virtus Bologna,Pistoia,28.67945205479452,0,21,0,4,0.000,0,1,0.0,3,4,0.75,1,2,3,2,1,0,1,3,3,1.2999999999999998,-11
2019-04-14,Virtus Bologna,Brindisi,28.698630136986303,1,29,3,6,0.500,0,1,0.0,1,1,1.0,2,5,7,2,1,0,3,4,7,4.700000000000001,-2
2019-04-20,Virtus Bologna,Reggio Emilia,28.715068493150685,1,33,2,4,0.500,1,2,0.5,2,2,1.0,0,6,6,7,0,0,1,2,7,9.899999999999999,7
2019-04-24,Virtus Bologna,Brescia,28.726027397260275,1,34,2,3,0.667,1,2,0.5,1,5,0.2,1,1,2,4,0,0,1,3,6,4.699999999999999,-6
2019-04-28,Virtus Bologna,Trentino,28.736986301369864,1,22,1,3,0.333,0,2,0.0,2,2,1.0,0,2,2,3,1,0,2,3,4,2.8,-8
2019-05-12,Virtus Bologna,Varese,28.775342465753425,1,31,7,12,0.583,1,5,0.2,2,2,1.0,0,2,2,3,1,0,4,2,17,10.3,10
