date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Roma,Virtus Bologna,21.66849315068493,1,33,2,8,0.250,2,6,0.333,4,6,0.667,2,3,5,5,3,0,2,3,10,10.0,-8
2019-09-29,Roma,Brindisi,21.67945205479452,1,32,2,6,0.333,1,3,0.333,0,0,0.0,0,4,4,2,1,0,3,4,5,0.600000000000001,-23
2019-10-06,Roma,Cremona,21.698630136986303,0,23,1,4,0.250,1,3,0.333,4,4,1.0,1,3,4,3,1,0,1,3,7,7.100000000000001,9
2019-10-12,Roma,Pistoia,21.715068493150685,0,25,4,8,0.500,2,5,0.4,0,0,0.0,0,3,3,1,1,0,1,2,10,6.8,3
2019-10-20,Roma,Fortitudo Bologna,21.736986301369864,1,31,1,8,0.125,0,3,0.0,0,0,0.0,2,3,5,2,0,0,1,4,2,-2.1,8
2019-10-27,Roma,Milano,21.756164383561643,0,32,3,6,0.500,1,2,0.5,0,0,0.0,0,2,2,1,3,0,5,4,7,1.6999999999999993,-6
2019-11-02,Roma,Sassari,21.77260273972603,0,22,3,7,0.429,2,5,0.4,2,2,1.0,0,2,2,2,0,0,2,2,10,5.499999999999999,-20
2019-11-10,Roma,Cantù,21.794520547945204,0,21,3,8,0.375,1,2,0.5,2,2,1.0,0,2,2,1,0,0,2,2,9,3.0999999999999996,-11
2019-11-17,Roma,Pesaro,21.813698630136987,0,17,0,2,0.000,0,1,0.0,2,2,1.0,0,2,2,2,1,0,2,4,2,0.0,4
2019-11-24,Roma,Treviso,21.83287671232877,0,21,3,7,0.429,2,6,0.333,0,0,0.0,0,4,4,2,2,0,1,4,8,6.300000000000001,-6
2019-12-01,Roma,Varese,21.852054794520548,0,17,1,4,0.250,1,3,0.333,0,0,0.0,1,2,3,1,0,0,0,2,3,1.7999999999999996,-23
2019-12-08,Roma,Trieste,21.87123287671233,0,20,2,5,0.400,1,3,0.333,1,2,0.5,1,3,4,3,2,0,2,3,6,5.3999999999999995,4
2019-12-14,Roma,Trentino,21.887671232876713,0,17,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-0.20000000000000018,2
2019-12-22,Roma,Brescia,21.90958904109589,0,27,2,7,0.286,1,4,0.25,0,0,0.0,0,3,3,0,0,0,2,4,5,-1.7999999999999998,-25
2019-12-26,Roma,Venezia,21.92054794520548,0,16,3,5,0.600,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,2,7,4.199999999999999,-13
2019-12-29,Roma,Reggio Emilia,21.92876712328767,0,26,4,7,0.571,3,6,0.5,4,5,0.8,0,4,4,0,3,0,1,4,15,12.900000000000002,3
2020-01-12,Roma,Virtus Bologna,21.96712328767123,0,21,0,6,0.000,0,5,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,-3.8999999999999995,-11
2020-01-19,Roma,Brindisi,21.986301369863014,0,25,2,4,0.500,1,2,0.5,2,2,1.0,2,5,7,2,1,0,0,4,7,8.700000000000001,5
2020-01-26,Roma,Cremona,22.005479452054793,0,20,2,6,0.333,0,3,0.0,0,0,0.0,1,0,1,0,1,0,1,3,4,0.10000000000000053,-16
2020-02-02,Roma,Pistoia,22.024657534246575,0,20,2,3,0.667,1,1,1.0,0,1,0.0,0,2,2,4,0,0,4,2,5,1.9000000000000004,15
2020-02-08,Roma,Fortitudo Bologna,22.041095890410958,0,27,7,12,0.583,3,6,0.5,0,0,0.0,0,4,4,3,2,0,0,3,17,15.500000000000004,14
2020-03-07,Roma,Sassari,22.117808219178084,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
