date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Sassari,Varese,30.202739726027396,1,17,4,8,0.000,0,0,0.0,0,1,0.0,2,3,5,2,0,0,1,1,8,5.9,10
2019-09-29,Sassari,Pesaro,30.21095890410959,1,19,3,5,0.000,0,0,0.0,1,1,1.0,1,2,3,1,0,0,0,0,7,6.699999999999999,13
2019-10-05,Sassari,Trentino,30.22739726027397,1,24,5,8,0.000,0,0,0.0,0,0,0.0,5,3,8,1,1,0,2,1,10,10.1,-12
2019-10-13,Sassari,Trieste,30.24931506849315,1,26,5,11,0.455,0,1,0.0,1,2,0.5,4,5,9,1,0,0,1,1,11,8.499999999999998,-3
2019-10-27,Sassari,Cantù,30.28767123287671,1,28,10,11,0.000,0,0,0.0,0,0,0.0,3,3,6,1,0,1,1,1,20,19.299999999999997,28
2019-11-02,Sassari,Roma,30.304109589041097,1,18,5,5,1.000,1,1,1.0,5,6,0.833,0,4,4,4,0,1,0,1,16,18.4,32
2019-11-10,Sassari,Venezia,30.326027397260273,1,28,5,7,0.000,0,0,0.0,6,8,0.75,1,4,5,4,0,0,1,4,16,14.4,2
2019-11-16,Sassari,Reggio Emilia,30.34246575342466,1,25,5,8,0.000,0,0,0.0,7,8,0.875,3,3,6,0,1,0,3,4,17,12.4,15
2019-11-24,Sassari,Milano,30.364383561643837,1,26,7,8,0.000,0,0,0.0,3,3,1.0,0,4,4,3,0,1,1,2,17,16.4,-11
2019-12-01,Sassari,Brescia,30.383561643835616,1,27,5,9,0.000,0,0,0.0,2,2,1.0,1,5,6,1,2,1,2,2,12,10.499999999999998,17
2019-12-08,Sassari,Brindisi,30.4027397260274,1,31,5,9,0.556,1,1,1.0,1,2,0.5,6,6,12,2,1,0,6,4,12,8.100000000000001,14
2019-12-15,Sassari,Fortitudo Bologna,30.421917808219177,1,27,7,12,0.000,0,0,0.0,2,2,1.0,3,2,5,2,1,0,1,2,16,13.700000000000001,15
2019-12-22,Sassari,Virtus Bologna,30.44109589041096,1,23,5,10,0.000,0,0,0.0,2,2,1.0,2,4,6,1,0,1,1,5,12,7.999999999999998,17
2019-12-27,Sassari,Treviso,30.454794520547946,1,28,5,7,0.714,1,1,1.0,4,6,0.667,1,6,7,0,2,0,0,3,15,14.600000000000001,28
2019-12-30,Sassari,Cremona,30.46301369863014,1,30,5,7,0.000,0,0,0.0,5,10,0.5,1,6,7,3,1,1,3,5,15,11.400000000000002,8
2020-01-04,Sassari,Pistoia,30.476712328767125,1,31,8,13,0.000,0,0,0.0,1,3,0.333,0,6,6,7,0,0,5,2,17,11.199999999999996,10
2020-01-12,Sassari,Varese,30.4986301369863,1,30,7,10,0.000,0,0,0.0,4,7,0.571,2,5,7,2,1,0,4,1,18,13.5,7
2020-01-19,Sassari,Pesaro,30.517808219178082,1,24,5,9,0.000,0,0,0.0,4,5,0.8,2,5,7,1,0,3,2,3,14,11.799999999999997,26
2020-01-25,Sassari,Trentino,30.534246575342465,1,26,6,7,0.000,0,0,0.0,7,10,0.7,3,3,6,1,0,0,0,2,19,18.199999999999996,-1
2020-02-02,Sassari,Trieste,30.556164383561644,1,28,4,8,0.000,0,0,0.0,7,9,0.778,5,5,10,0,0,0,3,2,15,11.4,-6
2020-03-07,Sassari,Roma,30.649315068493152,1,26,9,12,0.000,0,0,0.0,4,6,0.667,2,3,5,0,0,0,1,2,22,16.9,5
