date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Sassari,Varese,21.572602739726026,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-0.5,4
2019-09-29,Sassari,Pesaro,21.58082191780822,0,5,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,2,0,0,2,0,0,0.3999999999999999,-5
2019-10-05,Sassari,Trentino,21.5972602739726,0,1,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0.8999999999999999,4
2019-10-13,Sassari,Trieste,21.61917808219178,0,3,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-4
2019-10-27,Sassari,Cantù,21.65753424657534,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.1,-6
2019-11-02,Sassari,Roma,21.673972602739727,0,9,1,3,0.000,0,0,0.0,2,2,1.0,0,1,1,0,4,0,0,2,4,5.800000000000001,1
2019-11-10,Sassari,Venezia,21.695890410958903,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,1
2019-11-16,Sassari,Reggio Emilia,21.71232876712329,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0
2019-11-24,Sassari,Milano,21.734246575342468,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2019-12-01,Sassari,Brescia,21.753424657534246,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-08,Sassari,Brindisi,21.77260273972603,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2
2019-12-15,Sassari,Fortitudo Bologna,21.791780821917808,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Sassari,Virtus Bologna,21.81095890410959,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-12-27,Sassari,Treviso,21.824657534246576,0,6,0,0,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,1.6,-5
2019-12-30,Sassari,Cremona,21.83287671232877,0,9,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,5,0,-0.7,8
2020-01-04,Sassari,Pistoia,21.846575342465755,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-8
2020-01-12,Sassari,Varese,21.86849315068493,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,0.19999999999999996,6
2020-01-19,Sassari,Pesaro,21.887671232876713,0,9,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,2,2,0,-1.1,9
2020-01-25,Sassari,Trentino,21.904109589041095,0,2,1,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,0.2999999999999998,-1
2020-02-02,Sassari,Trieste,21.926027397260274,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,0.19999999999999996,9
2020-03-07,Sassari,Roma,22.019178082191782,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
