date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Cantù,Brindisi,25.2,0,24,3,8,0.375,1,6,0.167,0,0,0.0,0,0,0,0,0,0,3,3,7,-1.6000000000000005,-6
2019-10-06,Cantù,Reggio Emilia,25.22739726027397,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1.1,-5
2019-10-13,Cantù,Venezia,25.246575342465754,0,25,4,8,0.500,3,5,0.6,0,0,0.0,0,3,3,2,0,0,3,1,11,5.9,-18
2019-10-20,Cantù,Trentino,25.265753424657536,0,21,6,9,0.667,3,5,0.6,0,1,0.0,0,0,0,2,2,0,1,2,15,12.299999999999997,10
2019-10-27,Cantù,Sassari,25.284931506849315,0,13,0,4,0.000,0,3,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-1.5,-5
2019-11-03,Cantù,Cremona,25.304109589041097,0,22,1,6,0.167,1,5,0.2,4,6,0.667,0,3,3,0,0,0,0,3,7,2.100000000000001,9
2019-11-10,Cantù,Roma,25.323287671232876,0,22,4,12,0.333,1,7,0.143,0,0,0.0,0,5,5,5,1,0,2,4,9,4.600000000000001,14
2019-11-17,Cantù,Pistoia,25.34246575342466,0,14,0,3,0.000,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,2,0,-0.19999999999999973,-3
2019-11-24,Cantù,Fortitudo Bologna,25.361643835616437,0,29,4,10,0.400,2,5,0.4,3,4,0.75,0,3,3,3,0,0,1,2,13,8.399999999999999,-4
2019-12-01,Cantù,Virtus Bologna,25.38082191780822,1,29,1,8,0.125,1,7,0.143,3,4,0.75,2,1,3,2,0,0,3,4,6,-1.0999999999999996,-4
2019-12-08,Cantù,Varese,25.4,0,20,3,8,0.375,1,4,0.25,0,0,0.0,0,0,0,1,0,0,0,2,7,2.5,-6
