date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,25.734246575342468,0,21,2,7,0.286,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,2,6,1.1000000000000005,-9
2019-09-29,Treviso,Cremona,25.742465753424657,1,30,4,11,0.364,3,5,0.6,2,2,1.0,0,3,3,1,2,2,3,4,13,7.300000000000001,0
2019-10-06,Treviso,Pistoia,25.76164383561644,1,21,4,6,0.667,2,2,1.0,0,0,0.0,0,0,0,1,1,0,2,0,10,7.1,4
2019-10-13,Treviso,Fortitudo Bologna,25.78082191780822,1,34,5,10,0.500,1,4,0.25,2,4,0.5,1,1,2,1,2,0,1,4,13,8.3,-12
2019-10-19,Treviso,Venezia,25.797260273972604,1,33,5,8,0.625,2,5,0.4,6,6,1.0,0,4,4,4,2,1,1,2,18,19.3,16
2019-10-26,Treviso,Trentino,25.816438356164383,1,27,5,10,0.500,0,3,0.0,2,2,1.0,0,1,1,1,1,0,1,1,12,7.6,-5
2019-11-03,Treviso,Pesaro,25.838356164383562,1,27,4,11,0.364,1,6,0.167,1,1,1.0,1,2,3,1,3,0,3,2,10,5.099999999999998,5
2019-11-10,Treviso,Virtus Bologna,25.857534246575344,1,30,4,16,0.250,1,6,0.167,0,0,0.0,3,2,5,2,1,0,1,3,9,2.3,-3
2019-11-17,Treviso,Brescia,25.876712328767123,1,31,1,7,0.143,0,3,0.0,0,0,0.0,0,2,2,1,0,1,1,4,2,-3.0999999999999996,16
2019-12-08,Treviso,Reggio Emilia,25.934246575342467,1,27,4,10,0.400,1,5,0.2,0,0,0.0,0,1,1,0,4,1,1,1,9,7.199999999999999,13
2019-12-15,Treviso,Cantù,25.953424657534246,1,31,6,12,0.500,1,2,0.5,3,5,0.6,4,4,8,1,1,0,0,1,16,14.499999999999998,-3
2019-12-27,Treviso,Sassari,25.986301369863014,1,11,0,4,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3.1999999999999997,-14
2020-01-05,Treviso,Varese,26.01095890410959,1,20,1,4,0.250,1,2,0.5,1,2,0.5,0,1,1,1,1,1,3,3,4,-0.29999999999999893,-2
2020-01-12,Treviso,Milano,26.03013698630137,0,18,1,2,0.500,0,1,0.0,1,4,0.25,0,2,2,0,3,1,2,2,3,2.3000000000000007,-28
2020-01-18,Treviso,Cremona,26.046575342465754,1,24,3,7,0.429,3,5,0.6,2,2,1.0,0,4,4,1,2,0,2,1,11,8.799999999999999,-15
