date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Pistoia,Trentino,31.64109589041096,0,18,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-2.4999999999999996,-20
2019-09-29,Pistoia,Virtus Bologna,31.65205479452055,0,15,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.09999999999999998,-11
2019-10-06,Pistoia,Treviso,31.671232876712327,0,28,1,3,0.333,1,2,0.5,2,2,1.0,0,4,4,0,0,0,1,2,5,2.700000000000001,-4
2019-10-12,Pistoia,Roma,31.687671232876713,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,2,0,-4.2,-10
2019-10-20,Pistoia,Reggio Emilia,31.709589041095892,0,13,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,0,0,-2.1,-5
2019-10-27,Pistoia,Fortitudo Bologna,31.72876712328767,1,19,2,3,0.667,1,2,0.5,0,0,0.0,0,4,4,0,0,0,0,1,5,4.5,-5
2019-11-03,Pistoia,Trieste,31.747945205479454,1,15,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,2.3000000000000003,6
2019-11-11,Pistoia,Milano,31.76986301369863,1,27,2,4,0.500,2,3,0.667,0,0,0.0,0,1,1,1,1,0,1,2,6,4.2,-23
2019-11-17,Pistoia,Cantù,31.786301369863015,0,11,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,-4
2019-11-24,Pistoia,Brindisi,31.805479452054794,0,22,1,5,0.200,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,2,2,-0.6000000000000003,-19
2019-12-01,Pistoia,Venezia,31.824657534246576,1,12,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,0,3,2.3000000000000003,-5
2019-12-08,Pistoia,Brescia,31.843835616438355,1,12,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,-9
2019-12-15,Pistoia,Cremona,31.863013698630137,1,12,1,1,0.000,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,0,2,4.3999999999999995,15
2019-12-22,Pistoia,Pesaro,31.88219178082192,1,16,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,1,3,1.5000000000000004,6
2019-12-26,Pistoia,Varese,31.893150684931506,1,20,0,2,0.000,0,2,0.0,0,0,0.0,0,5,5,0,2,0,1,1,0,0.7000000000000002,-9
2020-01-04,Pistoia,Sassari,31.91780821917808,1,19,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,1.6000000000000003,-5
2020-01-12,Pistoia,Trentino,31.93972602739726,1,14,1,1,1.000,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,1,3,3.6,-2
2020-01-18,Pistoia,Virtus Bologna,31.956164383561646,1,18,0,2,0.000,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-0.8,-16
2020-01-26,Pistoia,Treviso,31.97808219178082,1,6,0,3,0.000,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.7999999999999996,-7
2020-02-02,Pistoia,Roma,31.997260273972604,0,14,1,2,0.500,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,1,3,2.5,-14
2020-02-09,Pistoia,Reggio Emilia,32.016438356164386,0,13,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-18
