date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Virtus Bologna,Roma,18.372602739726027,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-09-29,Virtus Bologna,Pistoia,18.383561643835616,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-06,Virtus Bologna,Venezia,18.4027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-13,Virtus Bologna,Pesaro,18.421917808219177,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-2
2019-10-19,Virtus Bologna,Varese,18.438356164383563,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-26,Virtus Bologna,Brescia,18.457534246575342,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-03,Virtus Bologna,Reggio Emilia,18.47945205479452,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,0
2019-11-10,Virtus Bologna,Treviso,18.4986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-17,Virtus Bologna,Trieste,18.517808219178082,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-01,Virtus Bologna,Cantù,18.556164383561644,0,1,0,0,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,2.0,0
2019-12-08,Virtus Bologna,Cremona,18.575342465753426,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-14,Virtus Bologna,Brindisi,18.59178082191781,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Virtus Bologna,Sassari,18.613698630136987,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-25,Virtus Bologna,Fortitudo Bologna,18.621917808219177,0,1,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-0.3999999999999999,2
2019-12-29,Virtus Bologna,Milano,18.632876712328766,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2020-01-05,Virtus Bologna,Trentino,18.65205479452055,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-12,Virtus Bologna,Roma,18.671232876712327,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-18,Virtus Bologna,Pistoia,18.687671232876713,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,5
2020-01-25,Virtus Bologna,Venezia,18.706849315068492,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-01,Virtus Bologna,Pesaro,18.726027397260275,0,6,0,0,0.000,0,0,0.0,1,1,1.0,0,0,0,1,1,0,1,1,1,1.3000000000000003,-5
