date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Sassari,Varese,34.50684931506849,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-09-29,Sassari,Pesaro,34.515068493150686,0,5,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,1.6,-2
2019-10-05,Sassari,Trentino,34.53150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4
2019-10-13,Sassari,Trieste,34.553424657534244,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-10-27,Sassari,Cantù,34.59178082191781,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-02,Sassari,Roma,34.608219178082194,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-6
2019-11-10,Sassari,Venezia,34.63013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-16,Sassari,Reggio Emilia,34.64657534246575,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-24,Sassari,Milano,34.66849315068493,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-01,Sassari,Brescia,34.68767123287671,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0
2019-12-08,Sassari,Brindisi,34.706849315068496,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-15,Sassari,Fortitudo Bologna,34.726027397260275,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Sassari,Virtus Bologna,34.74520547945205,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-27,Sassari,Treviso,34.75890410958904,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5
2019-12-30,Sassari,Cremona,34.76712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-04,Sassari,Pistoia,34.78082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-12,Sassari,Varese,34.8027397260274,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-19,Sassari,Pesaro,34.821917808219176,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-25,Sassari,Trentino,34.83835616438356,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-02,Sassari,Trieste,34.86027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-03-07,Sassari,Roma,34.95342465753425,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
