date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-24,Pesaro,Fortitudo Bologna,19.427397260273974,1,25,1,8,0.125,0,3,0.0,0,0,0.0,0,3,3,3,0,0,1,1,2,-1.6,-10
2019-09-29,Pesaro,Sassari,19.44109589041096,1,31,4,9,0.444,1,4,0.25,1,2,0.5,2,3,5,4,0,0,4,3,10,4.800000000000001,-4
2019-10-13,Pesaro,Virtus Bologna,19.47945205479452,1,25,6,11,0.545,2,5,0.4,2,2,1.0,0,1,1,1,1,0,2,0,16,10.7,-8
2019-10-20,Pesaro,Brindisi,19.4986301369863,1,33,6,11,0.545,1,5,0.2,3,4,0.75,2,2,4,0,0,0,1,3,16,10.099999999999998,3
2019-10-27,Pesaro,Reggio Emilia,19.517808219178082,1,12,1,3,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,1.0000000000000002,-5
2019-11-03,Pesaro,Treviso,19.536986301369865,1,22,2,5,0.400,0,2,0.0,0,0,0.0,1,4,5,2,2,1,3,5,4,2.3,-3
2019-11-09,Pesaro,Trentino,19.553424657534247,0,8,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,-1.7,-14
2019-11-17,Pesaro,Roma,19.575342465753426,0,22,1,5,0.200,0,1,0.0,2,4,0.5,0,1,1,0,0,0,0,4,4,-1.1999999999999997,-5
2019-11-24,Pesaro,Brescia,19.594520547945205,0,23,2,6,0.333,2,4,0.5,2,2,1.0,0,2,2,1,0,1,2,3,8,3.4000000000000012,-16
2019-12-01,Pesaro,Cremona,19.613698630136987,0,6,0,3,0.000,0,2,0.0,0,0,0.0,1,4,5,1,0,0,1,0,0,-0.4999999999999998,-3
2019-12-08,Pesaro,Milano,19.632876712328766,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-15,Pesaro,Varese,19.65205479452055,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Pesaro,Pistoia,19.671232876712327,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-1.5,4
2019-12-29,Pesaro,Venezia,19.69041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-05,Pesaro,Trieste,19.709589041095892,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-11,Pesaro,Fortitudo Bologna,19.726027397260275,0,9,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,0.3,7
2020-01-19,Pesaro,Sassari,19.747945205479454,0,12,1,4,0.250,0,2,0.0,0,0,0.0,0,0,0,1,1,1,0,1,2,1.6,-17
2020-02-01,Pesaro,Virtus Bologna,19.78356164383562,0,18,2,5,0.400,2,4,0.5,0,0,0.0,0,1,1,2,0,1,1,2,6,3.9000000000000004,-2
2020-02-09,Pesaro,Brindisi,19.805479452054794,0,6,1,1,0.000,0,0,0.0,0,1,0.0,0,2,2,0,1,0,1,0,2,1.9,-7
