date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Virtus Bologna,Roma,29.23835616438356,0,26,5,12,0.417,1,5,0.2,3,3,1.0,0,3,3,2,2,0,3,2,14,8.100000000000001,3
2019-09-29,Virtus Bologna,Pistoia,29.24931506849315,0,31,6,14,0.429,1,6,0.167,2,2,1.0,0,2,2,2,0,0,3,4,15,5.0,8
2019-10-06,Virtus Bologna,Venezia,29.268493150684932,0,24,1,8,0.125,1,5,0.2,0,0,0.0,0,3,3,0,0,1,0,2,3,-1.4,2
2019-10-13,Virtus Bologna,Pesaro,29.28767123287671,1,14,6,6,1.000,4,4,1.0,3,3,1.0,0,1,1,2,2,1,1,2,19,19.799999999999997,21
2019-10-19,Virtus Bologna,Varese,29.304109589041097,1,19,3,5,0.600,2,3,0.667,2,3,0.667,0,4,4,3,1,0,1,1,10,10.199999999999998,4
2019-10-26,Virtus Bologna,Brescia,29.323287671232876,1,20,2,7,0.286,0,1,0.0,0,0,0.0,0,4,4,3,0,0,1,2,4,1.4000000000000004,-4
2019-11-03,Virtus Bologna,Reggio Emilia,29.345205479452055,1,28,5,11,0.455,3,7,0.429,3,4,0.75,1,2,3,2,0,0,1,3,16,10.399999999999999,21
2019-11-10,Virtus Bologna,Treviso,29.364383561643837,1,24,6,11,0.545,3,5,0.6,5,8,0.625,0,2,2,0,1,0,2,4,20,11.5,4
2019-11-17,Virtus Bologna,Trieste,29.383561643835616,1,32,4,13,0.308,2,6,0.333,2,2,1.0,1,1,2,3,3,0,1,5,12,7.6,-4
2019-12-01,Virtus Bologna,Cantù,29.421917808219177,0,14,1,6,0.167,1,2,0.5,0,2,0.0,0,1,1,2,1,0,0,0,3,1.1000000000000005,10
2019-12-08,Virtus Bologna,Cremona,29.44109589041096,0,29,5,12,0.417,1,6,0.167,8,10,0.8,0,0,0,0,1,0,3,4,19,8.200000000000001,-7
2019-12-14,Virtus Bologna,Brindisi,29.457534246575342,1,16,4,8,0.500,2,5,0.4,4,4,1.0,0,0,0,0,1,0,1,1,14,9.6,1
2019-12-22,Virtus Bologna,Sassari,29.47945205479452,0,7,1,2,0.500,1,1,1.0,0,0,0.0,0,3,3,0,0,1,1,1,3,2.1999999999999997,-2
2019-12-25,Virtus Bologna,Fortitudo Bologna,29.487671232876714,0,14,2,8,0.250,1,4,0.25,0,0,0.0,0,0,0,0,1,0,0,1,5,0.8000000000000002,5
2019-12-29,Virtus Bologna,Milano,29.4986301369863,0,21,2,6,0.333,0,2,0.0,2,2,1.0,1,0,1,1,0,0,2,2,6,1.200000000000001,13
2020-01-05,Virtus Bologna,Trentino,29.517808219178082,0,11,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,2,5,1.5,-1
2020-01-12,Virtus Bologna,Roma,29.536986301369865,0,18,2,5,0.400,1,3,0.333,2,3,0.667,0,4,4,1,1,0,1,2,7,5.0,33
2020-01-18,Virtus Bologna,Pistoia,29.553424657534247,0,18,3,8,0.375,3,5,0.6,0,0,0.0,0,3,3,1,0,0,0,2,9,5.4,20
2020-01-25,Virtus Bologna,Venezia,29.572602739726026,0,6,0,0,0.000,0,0,0.0,0,2,0.0,0,1,1,0,1,0,1,1,0,-0.9,-10
