date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Brescia,Reggio Emilia,30.18904109589041,1,24,6,11,0.545,3,8,0.375,0,0,0.0,0,8,8,3,0,0,1,3,15,12.0,3
2019-09-29,Brescia,Milano,30.2,1,28,4,8,0.500,2,4,0.5,2,2,1.0,1,4,5,2,0,0,2,2,12,8.499999999999998,9
2019-10-05,Brescia,Brindisi,30.216438356164385,1,25,5,11,0.455,2,3,0.667,2,2,1.0,5,3,8,1,0,0,0,1,14,13.0,-10
2019-10-13,Brescia,Trentino,30.23835616438356,1,15,6,10,0.600,2,5,0.4,3,5,0.6,2,2,4,1,1,1,2,2,17,13.199999999999996,19
2019-10-19,Brescia,Trieste,30.254794520547946,1,28,4,10,0.400,1,3,0.333,1,3,0.333,0,5,5,1,2,0,2,1,10,5.6,-2
2019-10-26,Brescia,Virtus Bologna,30.273972602739725,1,26,5,14,0.357,2,8,0.25,1,2,0.5,1,3,4,1,0,0,1,0,13,6.1000000000000005,-1
2019-11-03,Brescia,Fortitudo Bologna,30.295890410958904,1,25,5,9,0.556,3,5,0.6,1,2,0.5,2,6,8,4,1,1,0,3,14,15.8,14
2019-11-10,Brescia,Varese,30.315068493150687,1,22,1,4,0.250,0,1,0.0,8,8,1.0,0,5,5,5,2,0,1,0,10,13.600000000000001,9
2019-11-17,Brescia,Treviso,30.334246575342465,1,24,8,13,0.615,2,5,0.4,0,0,0.0,1,6,7,0,1,1,1,2,18,14.499999999999996,-6
2019-11-24,Brescia,Pesaro,30.353424657534248,1,16,4,8,0.500,3,5,0.6,2,2,1.0,0,4,4,3,0,1,1,0,13,11.999999999999998,11
2020-01-19,Brescia,Milano,30.506849315068493,0,21,6,11,0.545,3,7,0.429,5,5,1.0,0,2,2,2,1,0,0,4,20,16.099999999999994,6
2020-01-26,Brescia,Brindisi,30.526027397260275,1,21,1,4,0.250,0,3,0.0,0,0,0.0,1,6,7,1,0,0,2,1,2,0.3999999999999999,4
2020-02-02,Brescia,Trentino,30.545205479452054,1,24,1,6,0.167,0,4,0.0,0,0,0.0,0,6,6,0,1,0,0,4,2,-0.5999999999999996,-10
2020-02-09,Brescia,Trieste,30.564383561643837,1,26,2,9,0.222,0,5,0.0,2,2,1.0,1,3,4,1,1,1,1,2,6,2.7,-8
