date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-25,Trentino,Pistoia,30.71780821917808,1,28,8,12,0.000,0,0,0.0,0,1,0.0,1,3,4,2,0,1,1,4,16,11.5,10
2019-09-28,Trentino,Reggio Emilia,30.726027397260275,1,26,6,12,0.000,0,0,0.0,4,5,0.8,1,5,6,0,0,1,2,2,16,9.699999999999998,-10
2019-10-05,Trentino,Sassari,30.745205479452054,1,24,6,9,0.667,1,1,1.0,3,4,0.75,1,2,3,1,0,3,2,4,16,12.199999999999996,1
2019-10-13,Trentino,Brescia,30.767123287671232,1,20,0,2,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,4,0,-3.7,-19
2019-10-20,Trentino,Cantù,30.786301369863015,1,22,3,13,0.000,0,0,0.0,0,0,0.0,3,2,5,0,0,0,1,5,6,-2.1999999999999997,9
2019-10-26,Trentino,Treviso,30.802739726027397,1,32,6,11,0.545,0,1,0.0,1,1,1.0,2,7,9,2,1,1,2,2,13,11.5,11
2019-11-09,Trentino,Pesaro,30.84109589041096,1,36,10,16,0.000,0,0,0.0,3,5,0.6,1,6,7,2,0,0,2,4,23,15.299999999999997,20
2019-11-17,Trentino,Cremona,30.863013698630137,1,33,6,12,0.500,0,1,0.0,4,8,0.5,7,6,13,6,0,2,0,4,16,19.099999999999998,-4
2019-11-24,Trentino,Venezia,30.88219178082192,1,28,4,7,0.571,0,1,0.0,0,0,0.0,0,3,3,1,1,0,2,4,8,3.6999999999999993,2
2019-11-30,Trentino,Brindisi,30.898630136986302,1,15,0,2,0.000,0,0,0.0,2,2,1.0,1,3,4,0,0,0,1,2,2,0.40000000000000013,-8
2019-12-07,Trentino,Fortitudo Bologna,30.91780821917808,1,13,1,5,0.000,0,0,0.0,0,0,0.0,3,0,3,1,1,0,0,2,2,1.8999999999999992,-24
2019-12-14,Trentino,Roma,30.936986301369863,1,20,2,6,0.000,0,0,0.0,2,4,0.5,3,3,6,0,0,0,1,1,6,3.4000000000000004,6
2019-12-22,Trentino,Milano,30.958904109589042,0,15,0,3,0.000,0,1,0.0,2,2,1.0,1,1,2,0,1,0,3,3,2,-2.3,-9
2019-12-26,Trentino,Trieste,30.96986301369863,0,21,5,12,0.000,0,0,0.0,0,2,0.0,3,4,7,0,0,1,2,2,10,4.000000000000002,8
2019-12-29,Trentino,Varese,30.97808219178082,0,14,3,4,0.000,0,0,0.0,0,0,0.0,2,2,4,1,0,0,1,0,6,6.1000000000000005,10
2020-01-05,Trentino,Virtus Bologna,30.997260273972604,0,15,3,9,0.000,0,0,0.0,2,3,0.667,3,0,3,0,0,0,1,1,8,3.1999999999999993,-9
2020-01-12,Trentino,Pistoia,31.016438356164382,0,16,2,5,0.400,1,1,1.0,0,0,0.0,1,1,2,3,0,0,1,4,5,2.7999999999999994,1
2020-01-18,Trentino,Reggio Emilia,31.03287671232877,0,20,7,10,0.700,1,2,0.5,3,3,1.0,2,0,2,2,1,1,3,4,18,13.7,-4
2020-01-25,Trentino,Sassari,31.052054794520547,1,32,10,13,0.769,1,1,1.0,2,4,0.5,2,3,5,1,1,3,2,3,23,19.999999999999996,3
2020-02-02,Trentino,Brescia,31.073972602739726,0,26,3,7,0.429,1,2,0.5,3,4,0.75,1,8,9,0,0,0,1,2,10,7.199999999999999,7
2020-02-09,Trentino,Cantù,31.09315068493151,0,21,7,12,0.000,0,0,0.0,2,2,1.0,2,3,5,0,0,0,2,2,16,9.900000000000002,10
