date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-24,Fortitudo Bologna,Pesaro,36.54794520547945,0,28,5,9,0.000,0,0,0.0,0,1,0.0,0,5,5,3,2,1,1,0,10,10.6,2
2019-09-29,Fortitudo Bologna,Venezia,36.56164383561644,0,19,4,6,0.000,0,0,0.0,1,2,0.5,1,1,2,1,1,0,1,2,9,6.8999999999999995,0
2019-10-06,Fortitudo Bologna,Varese,36.58082191780822,0,13,1,5,0.200,0,1,0.0,1,2,0.5,0,1,1,1,0,0,3,0,3,-2.5,-9
2019-10-13,Fortitudo Bologna,Treviso,36.6,0,19,3,6,0.500,0,1,0.0,3,6,0.5,1,6,7,1,0,0,2,2,9,5.2,9
2019-10-20,Fortitudo Bologna,Roma,36.61917808219178,0,20,1,8,0.125,0,3,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-4.3,-12
2019-10-27,Fortitudo Bologna,Pistoia,36.63835616438356,0,21,3,9,0.333,1,3,0.333,1,2,0.5,2,2,4,1,1,0,0,1,8,5.799999999999999,-7
2019-11-03,Fortitudo Bologna,Brescia,36.657534246575345,0,22,5,10,0.500,1,4,0.25,0,0,0.0,0,3,3,1,0,0,0,2,11,6.800000000000001,-4
2019-11-10,Fortitudo Bologna,Cremona,36.676712328767124,0,12,1,4,0.250,0,1,0.0,0,0,0.0,0,0,0,2,1,0,2,1,2,-0.3999999999999999,-13
2019-11-17,Fortitudo Bologna,Milano,36.6958904109589,0,18,3,8,0.375,0,2,0.0,3,4,0.75,1,4,5,2,2,0,0,1,9,9.1,-2
2019-11-24,Fortitudo Bologna,Cantù,36.71506849315069,0,7,0,1,0.000,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.2,1
2019-12-07,Fortitudo Bologna,Trentino,36.75068493150685,0,20,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,4,0,0,0,3,0,0.7999999999999998,-5
2019-12-15,Fortitudo Bologna,Sassari,36.772602739726025,0,11,1,3,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,-1.1999999999999997,-1
2019-12-22,Fortitudo Bologna,Brindisi,36.79178082191781,0,15,1,4,0.250,0,1,0.0,0,0,0.0,2,0,2,0,0,0,1,3,2,-1.2000000000000002,1
2019-12-25,Fortitudo Bologna,Virtus Bologna,36.8,0,16,0,3,0.000,0,0,0.0,2,4,0.5,0,4,4,2,0,0,2,1,2,-0.6999999999999997,-8
2019-12-29,Fortitudo Bologna,Trieste,36.81095890410959,0,12,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,0,0,0,2,0,0,-2.5,-3
2020-01-05,Fortitudo Bologna,Reggio Emilia,36.83013698630137,0,15,5,7,0.714,1,1,1.0,0,1,0.0,1,5,6,0,0,0,1,1,11,8.5,15
2020-01-11,Fortitudo Bologna,Pesaro,36.846575342465755,0,6,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,-0.7,-13
2020-01-18,Fortitudo Bologna,Venezia,36.865753424657534,1,24,2,8,0.250,0,2,0.0,1,3,0.333,1,8,9,3,1,1,0,2,5,5.5,-10
2020-01-26,Fortitudo Bologna,Varese,36.88767123287671,0,17,3,7,0.429,2,4,0.5,3,4,0.75,0,3,3,1,0,0,0,1,11,8.099999999999998,-1
2020-02-02,Fortitudo Bologna,Treviso,36.90684931506849,1,27,1,4,0.250,0,2,0.0,0,0,0.0,0,1,1,2,1,0,3,2,2,-1.5000000000000002,-7
2020-02-08,Fortitudo Bologna,Roma,36.92328767123288,0,15,2,5,0.400,1,2,0.5,1,3,0.333,0,3,3,0,0,0,1,1,6,2.0,-16
