date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-11-10,Venezia,Sassari,31.698630136986303,1,9,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,3,3,1.5,-11
2019-11-17,Venezia,Varese,31.71780821917808,0,12,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,2,2,-0.5999999999999999,-4
2019-11-24,Venezia,Trentino,31.736986301369864,1,13,3,3,1.000,2,2,1.0,0,0,0.0,0,1,1,1,2,0,1,2,8,8.299999999999997,7
2019-12-01,Venezia,Pistoia,31.756164383561643,1,17,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,2,0,0,0,2,6,5.8999999999999995,9
2019-12-15,Venezia,Milano,31.794520547945204,1,17,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,2,2,0,0,2,0,2.5,5
2019-12-22,Venezia,Reggio Emilia,31.813698630136987,1,22,3,5,0.600,2,4,0.5,0,0,0.0,0,3,3,1,1,0,0,2,8,7.499999999999999,5
2019-12-26,Venezia,Roma,31.824657534246576,1,15,1,2,0.500,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,1,3,2.6,-5
2019-12-29,Venezia,Pesaro,31.83287671232877,1,14,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0.9000000000000002,7
2020-01-04,Venezia,Brescia,31.84931506849315,1,15,1,5,0.200,1,3,0.333,0,0,0.0,2,3,5,0,1,0,2,1,3,0.7999999999999998,-2
2020-01-12,Venezia,Trieste,31.87123287671233,0,19,3,7,0.429,2,5,0.4,1,2,0.5,1,1,2,1,0,0,1,1,9,5.199999999999999,-5
2020-01-18,Venezia,Fortitudo Bologna,31.887671232876713,0,14,0,3,0.000,0,3,0.0,0,0,0.0,0,1,1,1,1,0,0,3,0,-1.2999999999999998,-6
2020-01-25,Venezia,Virtus Bologna,31.906849315068495,0,10,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,2
2020-02-02,Venezia,Cantù,31.92876712328767,1,22,1,4,0.250,1,2,0.5,0,0,0.0,0,1,1,0,0,0,2,1,3,-1.5,-4
2020-02-09,Venezia,Treviso,31.947945205479453,1,23,0,2,0.000,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.7999999999999999,-11
