date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Trieste,Venezia,27.268493150684932,1,26,6,10,0.600,0,1,0.0,0,2,0.0,2,5,7,3,0,1,1,2,12,10.499999999999998,-3
2019-09-29,Trieste,Varese,27.276712328767122,1,30,3,6,0.000,0,0,0.0,1,1,1.0,1,11,12,0,1,1,3,2,7,5.899999999999999,-22
2019-10-06,Trieste,Milano,27.295890410958904,1,26,5,10,0.500,1,3,0.333,0,0,0.0,0,12,12,1,1,0,1,3,11,9.099999999999998,-1
2019-10-13,Trieste,Sassari,27.315068493150687,1,21,1,4,0.000,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,1,2,1.5,-4
2019-10-19,Trieste,Brescia,27.33150684931507,1,25,3,6,0.500,0,1,0.0,0,0,0.0,2,6,8,1,1,0,1,3,6,5.7,4
2019-11-03,Trieste,Pistoia,27.372602739726027,1,25,6,10,0.000,0,0,0.0,1,2,0.5,4,3,7,1,2,0,3,2,13,10.6,-7
2019-11-10,Trieste,Brindisi,27.39178082191781,1,20,3,5,0.000,0,0,0.0,2,2,1.0,1,5,6,0,1,0,0,1,8,8.499999999999998,-13
2019-11-17,Trieste,Virtus Bologna,27.410958904109588,1,20,3,8,0.375,0,1,0.0,1,2,0.5,2,4,6,0,0,0,1,1,7,3.3999999999999995,-7
2019-11-24,Trieste,Cremona,27.43013698630137,1,16,3,5,0.000,0,0,0.0,1,2,0.5,3,4,7,0,0,0,2,1,7,5.199999999999998,-12
2019-12-01,Trieste,Treviso,27.44931506849315,1,22,4,5,0.800,1,1,1.0,0,0,0.0,1,6,7,0,1,1,1,3,9,9.099999999999998,-4
2019-12-08,Trieste,Roma,27.46849315068493,1,31,7,11,0.636,0,1,0.0,0,1,0.0,6,9,15,1,0,1,2,4,14,13.4,11
2019-12-15,Trieste,Reggio Emilia,27.487671232876714,1,33,7,11,0.636,1,1,1.0,0,1,0.0,1,4,5,3,1,1,3,2,15,11.599999999999998,-2
2019-12-22,Trieste,Cantù,27.506849315068493,1,30,4,9,0.444,0,1,0.0,1,2,0.5,2,7,9,3,0,0,2,1,9,7.1,-2
2019-12-26,Trieste,Trentino,27.517808219178082,1,27,3,7,0.000,0,0,0.0,0,0,0.0,1,3,4,1,0,2,1,2,6,4.2,-28
2019-12-29,Trieste,Fortitudo Bologna,27.526027397260275,1,26,5,8,0.625,0,1,0.0,1,2,0.5,3,5,8,4,2,2,0,2,11,15.999999999999996,9
2020-01-05,Trieste,Pesaro,27.545205479452054,1,19,4,4,0.000,0,0,0.0,1,2,0.5,1,6,7,1,1,1,1,3,9,10.099999999999998,10
2020-01-12,Trieste,Venezia,27.564383561643837,1,25,5,9,0.556,0,1,0.0,3,6,0.5,1,6,7,1,1,2,2,5,13,9.1,7
2020-01-19,Trieste,Varese,27.583561643835615,1,27,6,9,0.000,0,0,0.0,2,4,0.5,1,1,2,2,0,0,1,3,14,9.499999999999996,4
2020-01-26,Trieste,Milano,27.602739726027398,1,27,4,7,0.571,0,1,0.0,2,3,0.667,0,4,4,0,3,0,1,2,10,8.7,-10
2020-02-02,Trieste,Sassari,27.621917808219177,1,28,4,6,0.667,1,2,0.5,2,2,1.0,3,5,8,2,2,2,1,4,11,14.200000000000001,2
2020-02-09,Trieste,Brescia,27.64109589041096,1,24,2,7,0.000,0,0,0.0,1,2,0.5,0,4,4,0,0,0,2,3,5,-1.5,-2
