date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-29,Cremona,Treviso,25.10958904109589,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,0
2019-10-06,Cremona,Roma,25.12876712328767,0,7,0,2,0.000,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,2,2,-0.19999999999999996,-2
2019-10-13,Cremona,Reggio Emilia,25.147945205479452,0,10,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,0,2,0,2,2,5,1.1000000000000005,1
2019-10-20,Cremona,Milano,25.167123287671235,1,17,4,4,1.000,3,3,1.0,0,0,0.0,0,0,0,2,0,0,0,4,11,9.600000000000001,4
2019-10-26,Cremona,Venezia,25.183561643835617,0,24,4,10,0.400,1,3,0.333,1,2,0.5,0,2,2,0,0,0,0,2,10,3.999999999999999,-7
2019-11-03,Cremona,Cantù,25.205479452054796,0,15,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,0.9000000000000002,-12
2019-11-10,Cremona,Fortitudo Bologna,25.224657534246575,0,11,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,2,0,-2.5,3
2019-11-17,Cremona,Trentino,25.243835616438357,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.0999999999999999,0
2019-11-24,Cremona,Trieste,25.263013698630136,0,5,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-1.5,-7
2019-12-01,Cremona,Pesaro,25.28219178082192,0,18,2,4,0.500,1,2,0.5,0,0,0.0,0,3,3,0,1,0,0,1,5,4.5,5
2019-12-08,Cremona,Virtus Bologna,25.301369863013697,1,13,2,8,0.250,0,5,0.0,0,0,0.0,0,0,0,0,0,0,1,2,4,-2.5999999999999996,2
2019-12-15,Cremona,Pistoia,25.32054794520548,1,21,2,5,0.400,2,4,0.5,0,0,0.0,0,3,3,0,0,0,2,5,6,0.1999999999999993,-5
2019-12-21,Cremona,Varese,25.336986301369862,1,18,2,4,0.500,2,3,0.667,0,0,0.0,0,3,3,1,0,0,0,2,6,4.800000000000001,12
2019-12-26,Cremona,Brescia,25.350684931506848,0,18,2,7,0.286,1,6,0.167,2,2,1.0,1,0,1,0,1,0,1,3,7,2.4000000000000004,-13
2019-12-30,Cremona,Sassari,25.361643835616437,0,6,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,-11
2020-01-05,Cremona,Brindisi,25.378082191780823,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-02,Cremona,Reggio Emilia,25.454794520547946,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-09,Cremona,Milano,25.473972602739725,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
