date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,16.865753424657534,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-1
2019-09-29,Treviso,Cremona,16.873972602739727,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-06,Treviso,Pistoia,16.893150684931506,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-13,Treviso,Fortitudo Bologna,16.912328767123288,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-19,Treviso,Venezia,16.92876712328767,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-10-26,Treviso,Trentino,16.947945205479453,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-01,Treviso,Trieste,17.046575342465754,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-6
2019-12-27,Treviso,Sassari,17.117808219178084,0,11,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-0.09999999999999998,-1
2019-12-29,Treviso,Brindisi,17.123287671232877,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-8
2020-01-12,Treviso,Milano,17.161643835616438,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-8
2020-01-26,Treviso,Pistoia,17.2,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
