date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Cantù,Brindisi,25.323287671232876,0,8,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,0.19999999999999996,-5
2019-10-06,Cantù,Reggio Emilia,25.350684931506848,0,16,2,6,0.333,1,4,0.25,1,2,0.5,0,1,1,4,1,0,1,1,6,4.9,6
2019-10-13,Cantù,Venezia,25.36986301369863,0,11,0,1,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,0,3,1,2,-2.1,-9
2019-10-20,Cantù,Trentino,25.389041095890413,0,6,0,3,0.000,0,2,0.0,2,2,1.0,0,0,0,0,1,0,0,1,2,0.5000000000000003,-1
2019-10-27,Cantù,Sassari,25.40821917808219,0,12,3,6,0.500,1,3,0.333,2,3,0.667,0,0,0,2,2,0,0,1,9,8.6,-2
2019-11-03,Cantù,Cremona,25.427397260273974,0,9,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,3,0,-1.3000000000000003,8
2019-11-10,Cantù,Roma,25.446575342465753,0,2,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-1.5,-3
2019-11-17,Cantù,Pistoia,25.465753424657535,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,0,-1.7,-4
2019-11-24,Cantù,Fortitudo Bologna,25.484931506849314,0,7,1,2,0.500,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-0.09999999999999998,-2
2019-12-01,Cantù,Virtus Bologna,25.504109589041096,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-2
2019-12-08,Cantù,Varese,25.523287671232875,0,5,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,1.2999999999999998,5
2019-12-15,Cantù,Treviso,25.542465753424658,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-22,Cantù,Trieste,25.56164383561644,0,8,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,4,3,0.6999999999999997,10
2019-12-26,Cantù,Pesaro,25.572602739726026,0,8,1,2,0.500,1,1,1.0,2,2,1.0,0,2,2,0,0,0,0,1,5,4.199999999999999,9
2019-12-29,Cantù,Brescia,25.58082191780822,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,1
2020-01-05,Cantù,Milano,25.6,0,3,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-8
2020-01-12,Cantù,Brindisi,25.61917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
