date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Milano,Treviso,32.31232876712329,1,19,2,3,0.667,1,2,0.5,0,0,0.0,1,1,2,2,0,0,2,2,5,3.3,8
2019-09-29,Milano,Brescia,32.32054794520548,1,29,7,12,0.583,2,6,0.333,3,3,1.0,2,4,6,2,1,0,0,1,19,18.000000000000004,5
2019-10-06,Milano,Trieste,32.33972602739726,0,24,7,11,0.636,4,7,0.571,4,4,1.0,0,3,3,3,0,1,3,2,22,17.0,19
2019-10-13,Milano,Brindisi,32.35890410958904,0,15,3,6,0.500,2,4,0.5,2,2,1.0,0,0,0,1,0,0,1,2,10,5.9,-14
2019-10-20,Milano,Cremona,32.37808219178082,1,27,2,7,0.286,1,5,0.2,2,2,1.0,0,2,2,0,2,0,1,2,7,3.7,4
2019-11-11,Milano,Pistoia,32.43835616438356,0,14,3,4,0.750,2,3,0.667,0,0,0.0,0,3,3,2,1,0,0,1,8,9.299999999999999,14
2019-11-17,Milano,Fortitudo Bologna,32.45479452054794,0,21,5,9,0.556,2,5,0.4,0,0,0.0,0,5,5,2,0,1,0,4,12,9.7,7
2019-12-01,Milano,Reggio Emilia,32.49315068493151,1,25,4,6,0.667,3,4,0.75,0,0,0.0,0,2,2,0,2,0,0,1,11,10.6,21
2019-12-08,Milano,Pesaro,32.512328767123286,1,20,1,6,0.167,0,3,0.0,2,3,0.667,1,1,2,0,0,0,3,1,4,-2.599999999999999,0
2019-12-15,Milano,Venezia,32.53150684931507,1,25,4,4,1.000,3,3,1.0,0,0,0.0,0,1,1,1,1,0,1,3,11,9.600000000000001,12
2019-12-22,Milano,Trentino,32.55068493150685,1,21,2,6,0.333,1,4,0.25,0,0,0.0,1,1,2,2,0,0,2,2,5,1.2000000000000002,-2
2019-12-29,Milano,Virtus Bologna,32.56986301369863,1,20,0,4,0.000,0,2,0.0,0,0,0.0,0,2,2,2,1,0,2,2,0,-2.5999999999999996,-18
2020-01-12,Milano,Treviso,32.608219178082194,1,21,2,6,0.333,2,3,0.667,0,2,0.0,0,2,2,3,0,0,0,1,6,4.1,-9
2020-01-19,Milano,Brescia,32.62739726027397,0,20,2,7,0.286,1,4,0.25,0,0,0.0,0,3,3,1,1,0,1,2,5,1.7000000000000002,-3
2020-01-26,Milano,Trieste,32.64657534246575,0,21,4,8,0.500,1,4,0.25,2,2,1.0,0,2,2,3,0,0,3,2,11,5.899999999999999,8
2020-02-09,Milano,Cremona,32.68493150684932,0,23,3,6,0.500,2,4,0.5,0,0,0.0,1,4,5,3,2,0,3,2,8,7.199999999999999,-1
