date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Varese,Sassari,30.145205479452056,1,31,2,4,0.000,0,0,0.0,0,0,0.0,4,4,8,1,0,0,3,3,4,2.5,-11
2019-09-29,Varese,Trieste,30.153424657534245,1,34,8,10,0.000,0,0,0.0,1,2,0.5,5,5,10,1,1,0,0,2,17,18.699999999999996,33
2019-10-06,Varese,Fortitudo Bologna,30.172602739726027,1,35,4,7,0.000,0,0,0.0,1,5,0.2,5,8,13,4,1,0,1,1,9,12.4,25
2019-10-19,Varese,Virtus Bologna,30.208219178082192,1,35,4,7,0.000,0,0,0.0,1,2,0.5,6,9,15,2,0,1,0,3,9,13.099999999999998,-19
2019-10-27,Varese,Brindisi,30.23013698630137,1,36,6,8,0.000,0,0,0.0,0,1,0.0,3,5,8,0,2,1,1,2,12,12.899999999999999,25
2019-11-03,Varese,Milano,30.24931506849315,1,32,3,4,0.000,0,0,0.0,5,6,0.833,4,4,8,0,1,0,2,4,11,10.399999999999997,-8
2019-11-10,Varese,Brescia,30.268493150684932,1,34,2,3,0.000,0,0,0.0,4,4,1.0,7,3,10,1,0,0,3,3,8,9.0,-17
2019-11-17,Varese,Venezia,30.28767123287671,1,41,5,11,0.000,0,0,0.0,7,9,0.778,8,5,13,2,1,4,1,2,17,21.0,-1
2019-11-23,Varese,Reggio Emilia,30.304109589041097,1,35,2,2,0.000,0,0,0.0,3,4,0.75,6,6,12,2,0,2,3,4,7,10.200000000000001,-1
2019-12-01,Varese,Roma,30.326027397260273,1,34,4,4,0.000,0,0,0.0,0,2,0.0,0,4,4,0,2,2,1,3,8,8.399999999999999,25
2019-12-08,Varese,Cantù,30.345205479452055,1,37,2,4,0.000,0,0,0.0,2,3,0.667,3,6,9,3,0,0,1,3,6,7.399999999999999,-1
2019-12-15,Varese,Pesaro,30.364383561643837,1,36,5,6,0.000,0,0,0.0,5,7,0.714,3,7,10,1,2,2,1,4,15,17.699999999999996,17
2019-12-21,Varese,Cremona,30.38082191780822,1,36,5,10,0.000,0,0,0.0,3,3,1.0,4,4,8,1,2,1,2,2,13,12.599999999999998,-16
2019-12-26,Varese,Pistoia,30.394520547945206,1,32,4,9,0.000,0,0,0.0,3,3,1.0,5,4,9,2,0,1,1,2,11,11.299999999999999,20
2019-12-29,Varese,Trentino,30.4027397260274,1,30,3,6,0.000,0,0,0.0,1,3,0.333,4,5,9,1,0,0,2,0,7,6.199999999999999,0
2020-01-05,Varese,Treviso,30.421917808219177,1,38,5,6,0.000,0,0,0.0,4,6,0.667,2,11,13,3,1,0,4,3,14,13.599999999999998,13
2020-01-12,Varese,Sassari,30.44109589041096,1,38,6,6,0.000,0,0,0.0,1,2,0.5,2,2,4,4,0,2,1,3,13,14.8,-14
2020-01-19,Varese,Trieste,30.46027397260274,1,33,3,5,0.000,0,0,0.0,2,2,1.0,3,3,6,2,0,1,1,2,8,8.999999999999998,-1
2020-01-26,Varese,Fortitudo Bologna,30.47945205479452,1,34,5,5,0.000,0,0,0.0,0,0,0.0,4,3,7,0,0,0,0,4,10,10.600000000000001,-11
