date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-24,Fortitudo Bologna,Pesaro,33.369863013698634,0,16,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,2,0,0,0,2,3,3.2,-5
2019-09-29,Fortitudo Bologna,Venezia,33.38356164383562,0,20,2,6,0.333,2,5,0.4,5,6,0.833,0,1,1,2,0,0,3,3,11,4.7,2
2019-10-06,Fortitudo Bologna,Varese,33.4027397260274,0,20,1,2,0.500,1,2,0.5,1,2,0.5,0,1,1,1,0,0,0,1,4,3.2000000000000006,-19
2019-10-13,Fortitudo Bologna,Treviso,33.42191780821918,0,27,0,5,0.000,0,5,0.0,0,0,0.0,1,4,5,8,4,0,1,3,0,5.8,8
2019-10-20,Fortitudo Bologna,Roma,33.441095890410956,0,21,2,7,0.286,1,4,0.25,0,0,0.0,1,1,2,1,0,0,0,3,5,1.4000000000000004,-7
2019-10-27,Fortitudo Bologna,Pistoia,33.46027397260274,0,23,3,7,0.429,2,6,0.333,1,1,1.0,0,3,3,3,4,0,1,4,9,9.7,2
2019-11-03,Fortitudo Bologna,Brescia,33.47945205479452,0,25,2,6,0.333,2,6,0.333,0,2,0.0,0,2,2,2,1,0,0,2,6,4.000000000000001,-14
2019-11-10,Fortitudo Bologna,Cremona,33.4986301369863,0,13,1,4,0.250,1,4,0.25,0,0,0.0,0,2,2,0,0,0,0,2,3,0.40000000000000013,-10
2019-11-24,Fortitudo Bologna,Cantù,33.536986301369865,0,21,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,2,0,0,1,3,3,0.7999999999999998,-4
2019-12-07,Fortitudo Bologna,Trentino,33.57260273972603,0,21,2,5,0.400,1,3,0.333,0,0,0.0,1,3,4,1,0,0,1,0,5,3.5999999999999996,1
2019-12-15,Fortitudo Bologna,Sassari,33.59452054794521,0,17,1,4,0.250,1,4,0.25,0,0,0.0,0,0,0,2,2,0,2,1,3,1.6,2
2019-12-22,Fortitudo Bologna,Brindisi,33.61369863013699,0,15,2,4,0.500,2,3,0.667,0,0,0.0,0,1,1,1,0,0,0,4,6,3.4,-5
2019-12-25,Fortitudo Bologna,Virtus Bologna,33.62191780821918,0,16,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1.4,-11
2019-12-29,Fortitudo Bologna,Trieste,33.632876712328766,0,23,2,6,0.333,1,4,0.25,1,2,0.5,1,2,3,0,1,0,0,2,6,3.7,-10
2020-01-05,Fortitudo Bologna,Reggio Emilia,33.652054794520545,0,15,0,3,0.000,0,2,0.0,0,0,0.0,2,2,4,3,0,0,1,1,0,0.6000000000000001,8
2020-01-11,Fortitudo Bologna,Pesaro,33.66849315068493,0,12,0,2,0.000,0,2,0.0,0,0,0.0,1,0,1,1,1,0,1,1,0,-0.4,-18
2020-01-26,Fortitudo Bologna,Varese,33.70958904109589,0,19,0,0,0.000,0,0,0.0,0,0,0.0,0,3,3,2,1,0,0,2,0,2.5,-10
2020-02-02,Fortitudo Bologna,Treviso,33.728767123287675,0,21,1,4,0.250,1,3,0.333,0,0,0.0,0,4,4,1,0,0,2,2,3,-0.30000000000000004,-7
2020-02-08,Fortitudo Bologna,Roma,33.74520547945205,0,10,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.0999999999999999,-14
