date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Varese,Sassari,25.386301369863013,1,33,3,14,0.214,1,9,0.111,1,2,0.5,1,6,7,1,2,0,0,1,8,3.8000000000000003,-24
2019-09-29,Varese,Trieste,25.394520547945206,1,24,3,9,0.333,3,6,0.5,1,2,0.5,0,5,5,0,0,0,2,5,10,1.9999999999999991,16
2019-10-06,Varese,Fortitudo Bologna,25.413698630136988,1,25,3,7,0.429,1,2,0.5,1,1,1.0,0,2,2,1,1,0,2,4,8,3.0,4
2019-10-19,Varese,Virtus Bologna,25.44931506849315,1,3,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-1.1,0
2019-10-27,Varese,Brindisi,25.471232876712328,1,16,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,1,0,0,1,4,3,1.4,8
2019-11-03,Varese,Milano,25.49041095890411,1,10,0,4,0.000,0,3,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,-1.4999999999999996,-18
2019-11-10,Varese,Brescia,25.50958904109589,1,17,1,5,0.200,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,4,2,-1.3000000000000003,-2
2019-11-17,Varese,Venezia,25.528767123287672,0,18,3,5,0.600,2,4,0.5,3,3,1.0,0,4,4,2,0,0,0,4,11,9.7,-4
2019-11-23,Varese,Reggio Emilia,25.545205479452054,0,22,2,6,0.333,2,5,0.4,1,2,0.5,0,3,3,1,0,0,0,2,7,4.000000000000001,-14
2019-12-01,Varese,Roma,25.567123287671233,0,19,3,5,0.600,1,2,0.5,0,1,0.0,0,6,6,4,0,0,0,1,7,8.499999999999998,15
2019-12-08,Varese,Cantù,25.586301369863016,0,23,4,7,0.571,3,5,0.6,0,0,0.0,0,1,1,3,1,0,1,3,11,8.899999999999999,-4
2019-12-15,Varese,Pesaro,25.605479452054794,0,16,0,5,0.000,0,5,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-2.9,9
2019-12-21,Varese,Cremona,25.621917808219177,0,22,2,5,0.400,1,4,0.25,0,0,0.0,0,1,1,3,1,0,0,1,5,5.299999999999999,-11
2019-12-26,Varese,Pistoia,25.635616438356166,0,13,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,0,0,0,3,2,3,-1.2,0
2019-12-29,Varese,Trentino,25.643835616438356,0,15,2,3,0.667,1,2,0.5,2,3,0.667,0,0,0,2,2,0,2,1,7,6.299999999999999,-2
2020-01-05,Varese,Treviso,25.663013698630138,0,13,2,3,0.667,1,2,0.5,0,0,0.0,1,3,4,1,0,0,0,4,5,4.4,1
2020-01-12,Varese,Sassari,25.682191780821917,0,30,9,15,0.600,4,9,0.444,0,0,0.0,0,4,4,2,0,0,0,4,22,16.099999999999998,-2
2020-01-19,Varese,Trieste,25.7013698630137,0,29,6,7,0.857,1,2,0.5,3,4,0.75,0,4,4,4,1,0,2,2,16,15.299999999999997,20
2020-01-26,Varese,Fortitudo Bologna,25.720547945205478,0,19,2,5,0.400,2,5,0.4,2,2,1.0,0,0,0,5,0,0,0,3,8,7.6000000000000005,-4
