date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Venezia,Trieste,25.9013698630137,1,20,6,9,0.667,1,2,0.5,1,2,0.5,0,1,1,1,0,0,1,1,14,9.299999999999997,12
2019-09-29,Venezia,Fortitudo Bologna,25.90958904109589,1,29,7,14,0.500,3,7,0.429,0,0,0.0,1,1,2,4,1,0,0,0,17,14.8,2
2019-10-06,Venezia,Virtus Bologna,25.92876712328767,1,15,1,4,0.250,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,0,2,0.8999999999999999,14
2019-10-13,Venezia,Cantù,25.947945205479453,0,23,7,12,0.583,1,2,0.5,0,0,0.0,0,2,2,2,0,0,0,3,15,10.200000000000003,10
2019-10-19,Venezia,Treviso,25.964383561643835,0,16,2,5,0.400,1,2,0.5,4,6,0.667,0,3,3,3,0,0,2,1,9,6.1,3
2019-10-26,Venezia,Cremona,25.983561643835618,0,19,3,9,0.333,0,2,0.0,1,2,0.5,1,3,4,2,1,0,1,2,7,3.7,6
2019-11-03,Venezia,Brindisi,26.005479452054796,0,13,2,5,0.400,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,1,4,1.9,-1
2019-11-10,Venezia,Sassari,26.024657534246575,0,15,1,5,0.200,0,2,0.0,0,0,0.0,1,1,2,1,1,0,1,2,2,-0.20000000000000018,-3
2019-11-17,Venezia,Varese,26.043835616438358,0,27,4,9,0.444,0,3,0.0,5,5,1.0,0,0,0,2,0,0,1,0,13,8.700000000000001,5
2019-12-01,Venezia,Pistoia,26.08219178082192,0,10,3,5,0.600,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,6,4.0,-11
2019-12-15,Venezia,Milano,26.12054794520548,0,12,2,4,0.500,0,2,0.0,1,2,0.5,0,3,3,0,0,0,0,0,5,3.5,-2
2019-12-22,Venezia,Reggio Emilia,26.13972602739726,0,19,3,4,0.750,1,2,0.5,0,0,0.0,1,3,4,3,1,0,2,1,7,7.699999999999999,15
2019-12-26,Venezia,Roma,26.15068493150685,0,21,3,6,0.500,0,1,0.0,4,4,1.0,1,2,3,2,1,0,2,1,10,8.3,12
2019-12-29,Venezia,Pesaro,26.15890410958904,0,20,3,8,0.375,1,3,0.333,2,2,1.0,0,2,2,2,1,0,0,1,9,7.199999999999999,-3
2020-01-04,Venezia,Brescia,26.175342465753424,0,19,5,6,0.833,0,1,0.0,0,0,0.0,0,0,0,3,0,0,1,4,10,7.300000000000001,2
2020-01-12,Venezia,Trieste,26.197260273972603,1,30,5,9,0.556,1,2,0.5,2,4,0.5,1,2,3,2,2,0,2,1,13,10.2,2
2020-01-18,Venezia,Fortitudo Bologna,26.213698630136985,1,15,1,5,0.200,1,2,0.5,0,0,0.0,0,1,1,1,0,1,1,1,3,0.19999999999999973,2
2020-02-09,Venezia,Treviso,26.273972602739725,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
