date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Treviso,Milano,25.265753424657536,0,24,4,8,0.500,1,3,0.333,2,3,0.667,1,3,4,1,2,0,1,3,11,8.7,-24
2019-09-29,Treviso,Cremona,25.273972602739725,0,13,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-1.5,-2
2019-10-06,Treviso,Pistoia,25.293150684931508,0,27,0,2,0.000,0,0,0.0,0,0,0.0,0,2,2,2,1,0,0,3,0,0.3999999999999999,3
2019-10-13,Treviso,Fortitudo Bologna,25.312328767123287,0,17,3,8,0.000,0,0,0.0,0,0,0.0,2,0,2,1,2,1,2,2,6,3.6000000000000005,-2
2019-10-19,Treviso,Venezia,25.328767123287673,1,27,1,6,0.167,0,1,0.0,1,2,0.5,0,5,5,2,0,0,0,3,3,0.5000000000000004,10
2019-10-26,Treviso,Trentino,25.34794520547945,0,16,0,3,0.000,0,2,0.0,0,2,0.0,0,5,5,4,0,0,2,0,0,-0.5999999999999996,0
2019-11-03,Treviso,Pesaro,25.36986301369863,1,24,2,3,0.000,0,0,0.0,0,0,0.0,0,3,3,2,0,0,5,0,4,0.0,-2
2019-11-10,Treviso,Virtus Bologna,25.389041095890413,0,24,4,6,0.667,0,1,0.0,0,1,0.0,1,4,5,4,0,0,3,4,8,5.1,0
2019-11-17,Treviso,Brescia,25.40821917808219,0,21,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,4,1,0,2,3,2,1.5999999999999996,-8
2019-11-24,Treviso,Roma,25.427397260273974,0,16,2,6,0.333,0,1,0.0,1,1,1.0,0,1,1,1,2,1,2,2,5,2.500000000000001,-5
2019-12-01,Treviso,Trieste,25.446575342465753,1,29,4,13,0.308,1,3,0.333,0,0,0.0,2,3,5,3,0,0,2,4,9,2.299999999999999,-4
2019-12-08,Treviso,Reggio Emilia,25.465753424657535,1,23,2,5,0.400,0,1,0.0,1,2,0.5,0,0,0,4,0,0,1,2,5,2.8999999999999995,1
2019-12-15,Treviso,Cantù,25.484931506849314,0,18,3,5,0.600,1,2,0.5,2,3,0.667,0,1,1,1,1,0,1,4,9,5.699999999999999,-20
2019-12-27,Treviso,Sassari,25.517808219178082,0,21,3,8,0.375,0,2,0.0,2,3,0.667,2,2,4,2,1,0,3,4,8,3.0,-5
2019-12-29,Treviso,Brindisi,25.523287671232875,0,25,2,6,0.333,0,2,0.0,0,0,0.0,2,4,6,3,0,0,3,3,4,1.0999999999999996,-6
2020-01-05,Treviso,Varese,25.542465753424658,0,17,1,5,0.200,0,3,0.0,1,2,0.5,2,2,4,1,0,0,0,4,3,0.5999999999999996,-6
2020-01-12,Treviso,Milano,25.56164383561644,0,12,2,3,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,4,0.20000000000000018,-7
2020-01-18,Treviso,Cremona,25.578082191780823,0,12,0,1,0.000,0,0,0.0,1,2,0.5,0,4,4,1,0,0,1,4,1,-0.8,9
2020-01-26,Treviso,Pistoia,25.6,1,24,5,9,0.556,0,2,0.0,0,0,0.0,1,0,1,4,0,0,1,5,10,6.199999999999999,5
2020-02-02,Treviso,Fortitudo Bologna,25.61917808219178,0,14,0,1,0.000,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,2,0,-0.5000000000000002,-6
2020-02-09,Treviso,Venezia,25.638356164383563,0,12,0,1,0.000,0,0,0.0,2,2,1.0,0,2,2,2,0,0,0,2,2,2.5,0
