date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Varese,Sassari,28.89041095890411,1,25,4,10,0.400,2,8,0.25,0,0,0.0,0,2,2,1,0,0,1,5,10,2.8999999999999995,-23
2019-09-29,Varese,Trieste,28.898630136986302,1,28,3,5,0.600,1,2,0.5,0,0,0.0,1,7,8,3,1,0,0,3,7,9.399999999999999,18
2019-10-06,Varese,Fortitudo Bologna,28.91780821917808,1,28,7,13,0.538,4,7,0.571,1,1,1.0,1,4,5,3,1,0,0,3,19,16.5,20
2019-10-19,Varese,Virtus Bologna,28.953424657534246,1,25,2,9,0.222,1,7,0.143,0,0,0.0,2,1,3,1,0,0,3,4,5,-2.7,1
2019-10-27,Varese,Brindisi,28.975342465753425,1,29,5,10,0.500,2,5,0.4,0,0,0.0,2,4,6,7,2,0,1,4,12,13.9,12
2019-11-03,Varese,Milano,28.994520547945207,1,27,5,11,0.455,2,6,0.333,0,0,0.0,3,3,6,1,0,0,0,5,12,8.0,-20
2019-11-10,Varese,Brescia,29.013698630136986,1,30,3,7,0.429,3,5,0.6,2,2,1.0,0,2,2,1,1,0,3,5,11,4.599999999999998,-14
2019-11-17,Varese,Venezia,29.03287671232877,1,31,6,9,0.667,1,3,0.333,0,0,0.0,1,1,2,3,0,0,1,4,13,9.600000000000001,-2
2019-11-23,Varese,Reggio Emilia,29.04931506849315,1,23,5,10,0.500,2,5,0.4,1,2,0.5,1,3,4,0,0,0,2,5,13,5.199999999999999,6
2019-12-01,Varese,Roma,29.07123287671233,1,25,4,8,0.500,1,4,0.25,0,0,0.0,2,3,5,2,0,1,2,1,9,7.0,10
2019-12-08,Varese,Cantù,29.09041095890411,1,26,6,11,0.545,2,6,0.333,0,0,0.0,2,2,4,2,0,0,3,3,14,7.899999999999999,-13
2019-12-15,Varese,Pesaro,29.10958904109589,1,10,3,5,0.600,1,1,1.0,0,0,0.0,1,3,4,1,0,1,0,4,7,6.1,8
2019-12-21,Varese,Cremona,29.126027397260273,1,21,4,7,0.571,1,2,0.5,3,3,1.0,1,4,5,0,0,0,2,2,12,7.799999999999997,-23
2019-12-26,Varese,Pistoia,29.13972602739726,1,24,6,8,0.750,1,1,1.0,0,0,0.0,1,6,7,4,1,0,1,3,13,13.900000000000002,15
2019-12-29,Varese,Trentino,29.147945205479452,1,16,2,5,0.400,1,2,0.5,0,0,0.0,0,0,0,1,2,0,1,2,5,3.2,4
2020-01-05,Varese,Treviso,29.167123287671235,1,30,3,5,0.600,2,4,0.5,1,2,0.5,2,4,6,5,0,0,2,4,9,8.799999999999999,6
2020-01-12,Varese,Sassari,29.186301369863013,1,29,2,6,0.333,2,4,0.5,0,0,0.0,1,1,2,4,1,0,1,4,6,4.800000000000001,0
2020-01-19,Varese,Trieste,29.205479452054796,1,30,4,8,0.500,2,5,0.4,0,0,0.0,2,3,5,3,0,0,2,2,10,7.6,-1
2020-01-26,Varese,Fortitudo Bologna,29.224657534246575,1,28,6,10,0.600,4,6,0.667,2,2,1.0,2,2,4,1,3,0,0,5,18,17.099999999999998,0
