date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-09-26,Cantù,Brindisi,31.457534246575342,0,22,1,6,0.167,1,3,0.333,0,0,0.0,1,3,4,3,0,0,1,3,3,0.7000000000000002,-8
2019-10-06,Cantù,Reggio Emilia,31.484931506849314,1,22,3,9,0.333,1,4,0.25,0,0,0.0,1,2,3,0,0,1,1,2,7,2.0999999999999996,-10
2019-10-13,Cantù,Venezia,31.504109589041096,1,23,2,10,0.200,1,5,0.2,2,2,1.0,3,1,4,0,0,0,2,1,7,0.7999999999999994,-23
2019-10-20,Cantù,Trentino,31.523287671232875,1,25,5,11,0.455,4,8,0.5,3,6,0.5,2,3,5,3,0,1,1,2,17,13.4,-1
2019-10-27,Cantù,Sassari,31.542465753424658,1,27,6,13,0.462,3,6,0.5,0,0,0.0,1,4,5,1,1,0,2,2,15,9.099999999999996,-16
2019-11-03,Cantù,Cremona,31.56164383561644,1,27,6,9,0.667,5,6,0.833,4,6,0.667,1,7,8,0,0,1,1,1,21,18.4,24
2019-11-10,Cantù,Roma,31.58082191780822,1,29,3,6,0.500,2,5,0.4,3,4,0.75,1,5,6,4,1,1,0,0,11,14.299999999999997,1
2019-11-17,Cantù,Pistoia,31.6,1,33,2,10,0.200,1,6,0.167,0,0,0.0,0,5,5,1,2,0,2,3,5,-0.20000000000000018,-2
2019-11-24,Cantù,Fortitudo Bologna,31.61917808219178,1,34,3,11,0.273,0,6,0.0,1,1,1.0,1,6,7,2,0,2,2,3,7,2.6000000000000005,-3
2019-12-01,Cantù,Virtus Bologna,31.638356164383563,0,25,5,8,0.625,1,4,0.25,0,0,0.0,1,2,3,1,0,0,1,2,11,7.599999999999998,-25
2019-12-08,Cantù,Varese,31.65753424657534,0,21,6,12,0.500,4,8,0.5,0,0,0.0,2,8,10,0,0,0,2,4,16,10.200000000000001,-7
2019-12-15,Cantù,Treviso,31.676712328767124,0,23,4,9,0.444,0,5,0.0,2,2,1.0,3,4,7,1,1,1,1,2,10,9.199999999999998,12
2019-12-22,Cantù,Trieste,31.695890410958903,0,17,1,5,0.200,1,3,0.333,2,2,1.0,1,2,3,0,1,0,1,4,5,1.600000000000001,-1
2019-12-26,Cantù,Pesaro,31.706849315068492,0,22,1,10,0.100,0,6,0.0,0,0,0.0,3,7,10,1,0,0,2,2,2,-2.5,-4
2019-12-29,Cantù,Brescia,31.715068493150685,0,16,2,5,0.400,2,5,0.4,0,0,0.0,0,3,3,2,0,1,0,2,6,5.5,-5
2020-01-05,Cantù,Milano,31.734246575342468,1,14,3,6,0.500,2,5,0.4,0,0,0.0,0,1,1,0,0,0,1,5,8,2.3,-9
2020-01-12,Cantù,Brindisi,31.753424657534246,1,35,4,12,0.333,1,6,0.167,4,4,1.0,1,7,8,2,2,0,2,3,13,9.200000000000003,9
2020-01-25,Cantù,Reggio Emilia,31.78904109589041,0,17,1,5,0.200,1,4,0.25,0,0,0.0,1,3,4,1,0,0,2,1,3,-0.20000000000000018,-17
2020-02-02,Cantù,Venezia,31.81095890410959,1,22,4,8,0.500,3,6,0.5,2,2,1.0,2,8,10,1,0,1,3,3,13,10.0,0
2020-02-09,Cantù,Trentino,31.83013698630137,1,28,3,12,0.250,2,10,0.2,0,0,0.0,0,4,4,0,0,0,1,2,8,0.20000000000000084,7
