date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Venezia,Torino,28.372602739726027,0,8,0,2,0.000,0,0,0.0,2,2,1.0,1,0,1,0,0,1,1,1,2,0.6000000000000001,-2
2018-10-14,Venezia,Pistoia,28.39178082191781,0,15,3,6,0.500,0,1,0.0,0,0,0.0,1,3,4,1,0,0,1,2,6,3.5000000000000018,13
2018-10-21,Venezia,Pesaro,28.410958904109588,0,16,3,5,0.000,0,0,0.0,3,4,0.75,1,1,2,2,1,1,0,1,9,9.999999999999998,14
2018-10-27,Venezia,Trentino,28.427397260273974,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-0.7000000000000001,-5
2018-11-04,Venezia,Virtus Bologna,28.44931506849315,0,19,5,6,0.000,0,0,0.0,2,4,0.5,2,1,3,0,0,1,0,1,12,11.0,11
2018-11-10,Venezia,Sassari,28.465753424657535,0,12,1,3,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,2,3,2,-1.5,0
2018-11-18,Venezia,Milano,28.487671232876714,0,14,4,5,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,8,3.999999999999999,3
2018-11-25,Venezia,Avellino,28.506849315068493,0,17,4,8,0.000,0,0,0.0,1,1,1.0,1,4,5,0,0,3,2,3,9,5.8,2
2018-12-09,Venezia,Varese,28.545205479452054,0,12,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,2,2,1.9000000000000001,-8
2018-12-16,Venezia,Brindisi,28.564383561643837,0,14,0,2,0.000,0,0,0.0,0,2,0.0,0,2,2,0,0,1,1,2,0,-2.7,-8
2018-12-23,Venezia,Cantù,28.583561643835615,1,20,2,7,0.000,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,4,5,-0.3999999999999999,8
