date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Milano,Brindisi,33.11232876712329,0,18,3,6,0.500,0,1,0.0,2,2,1.0,2,2,4,0,1,0,0,3,8,6.8,-6
2018-10-14,Milano,Virtus Bologna,33.131506849315066,1,16,5,5,1.000,1,1,1.0,1,3,0.333,1,5,6,0,1,0,0,3,12,11.7,-7
2018-10-21,Milano,Pistoia,33.15068493150685,0,25,4,6,0.667,2,3,0.667,3,4,0.75,4,4,8,0,1,0,1,3,13,12.8,5
2018-10-28,Milano,Pesaro,33.16986301369863,0,25,5,9,0.556,1,2,0.5,0,0,0.0,4,8,12,2,2,2,1,3,11,14.5,16
2018-11-04,Milano,Torino,33.18904109589041,0,15,3,5,0.600,0,1,0.0,0,0,0.0,1,3,4,2,4,0,3,1,6,7.300000000000001,17
2018-11-11,Milano,Reggio Emilia,33.20821917808219,0,18,1,2,0.000,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,3,2,2.0999999999999996,0
2018-11-18,Milano,Venezia,33.227397260273975,0,10,1,2,0.000,0,0,0.0,0,0,0.0,3,1,4,0,0,0,1,1,2,1.9999999999999996,-10
2018-11-25,Milano,Cremona,33.24657534246575,0,12,1,3,0.000,0,0,0.0,1,1,1.0,3,3,6,1,0,1,0,1,3,5.3,-9
2018-12-09,Milano,Cantù,33.28493150684932,0,19,6,7,0.857,1,1,1.0,2,2,1.0,1,4,5,0,2,0,0,3,15,15.2,18
2018-12-16,Milano,Sassari,33.3041095890411,1,19,2,2,0.000,0,0,0.0,4,6,0.667,0,3,3,1,3,0,1,4,8,8.6,-11
2018-12-23,Milano,Varese,33.323287671232876,0,19,0,1,0.000,0,0,0.0,2,2,1.0,0,1,1,1,3,0,0,3,2,4.1,6
2018-12-25,Milano,Brescia,33.32876712328767,0,17,4,6,0.000,0,0,0.0,0,1,0.0,2,4,6,0,2,0,1,5,8,6.600000000000001,2
2018-12-30,Milano,Avellino,33.342465753424655,0,13,3,6,0.500,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,6,3.600000000000001,-6
2019-01-06,Milano,Trentino,33.36164383561644,0,7,0,1,0.000,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,0,-0.5000000000000001,-3
2019-01-13,Milano,Trieste,33.38082191780822,0,7,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,1.0,-2
2019-01-20,Milano,Brindisi,33.4,1,11,0,3,0.000,0,0,0.0,1,2,0.5,3,1,4,0,0,0,1,3,1,-1.3,-5
2019-01-27,Milano,Virtus Bologna,33.419178082191785,0,20,1,2,0.500,0,1,0.0,1,2,0.5,0,4,4,0,1,0,0,5,3,1.7999999999999998,9
2019-02-10,Milano,Pesaro,33.45753424657534,0,25,6,8,0.750,0,1,0.0,0,0,0.0,3,6,9,0,1,0,0,4,12,12.1,12
