date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Milano,Brindisi,32.31780821917808,0,14,2,4,0.500,1,1,1.0,1,2,0.5,0,2,2,4,0,0,0,1,6,6.6,-6
2018-10-14,Milano,Virtus Bologna,32.33698630136986,0,10,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-1.5,-12
2018-10-21,Milano,Pistoia,32.35616438356164,0,20,2,5,0.400,0,1,0.0,4,4,1.0,0,4,4,3,0,0,0,2,8,7.800000000000002,16
2018-10-28,Milano,Pesaro,32.37534246575343,0,17,2,7,0.286,1,1,1.0,2,2,1.0,2,2,4,1,1,0,1,1,7,5.2,10
2018-11-04,Milano,Torino,32.394520547945206,0,24,3,5,0.600,2,2,1.0,2,2,1.0,1,5,6,7,1,0,0,2,10,14.999999999999996,28
2018-11-11,Milano,Reggio Emilia,32.413698630136984,0,22,3,4,0.750,1,1,1.0,2,2,1.0,1,2,3,2,0,0,1,1,9,8.7,-4
2018-11-18,Milano,Venezia,32.43287671232877,1,23,2,6,0.333,1,2,0.5,6,7,0.857,0,2,2,4,1,0,1,2,11,9.8,9
2018-11-25,Milano,Cremona,32.45205479452055,0,25,4,5,0.800,1,1,1.0,0,2,0.0,1,2,3,0,0,0,2,4,9,4.0,-6
2018-12-09,Milano,Cantù,32.49041095890411,0,16,3,5,0.600,1,1,1.0,0,0,0.0,0,1,1,5,2,0,1,2,7,8.7,19
2018-12-16,Milano,Sassari,32.50958904109589,0,15,3,4,0.750,1,2,0.5,0,0,0.0,0,2,2,0,0,0,1,3,7,3.799999999999999,-6
2018-12-23,Milano,Varese,32.52876712328767,0,10,2,4,0.500,1,2,0.5,0,0,0.0,1,0,1,1,0,0,4,0,5,0.40000000000000036,4
2018-12-25,Milano,Brescia,32.534246575342465,0,16,2,6,0.333,1,2,0.5,4,4,1.0,0,1,1,6,2,0,0,1,9,11.700000000000001,7
2018-12-30,Milano,Avellino,32.54794520547945,0,10,0,3,0.000,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,-0.3999999999999998,0
2019-01-06,Milano,Trentino,32.56712328767124,1,22,5,7,0.714,0,1,0.0,1,4,0.25,0,3,3,5,1,0,4,2,11,7.5,12
2019-01-13,Milano,Trieste,32.586301369863016,0,18,1,3,0.333,0,2,0.0,4,4,1.0,0,1,1,2,1,0,0,2,6,6.2,1
2019-01-20,Milano,Brindisi,32.605479452054794,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-03,Milano,Torino,32.72054794520548,0,19,1,5,0.200,1,4,0.25,2,2,1.0,0,3,3,4,2,0,3,2,5,3.8000000000000007,-1
2019-03-11,Milano,Reggio Emilia,32.74246575342466,0,19,1,7,0.143,0,3,0.0,1,2,0.5,0,6,6,0,1,0,1,0,3,-0.09999999999999964,7
2019-03-17,Milano,Venezia,32.75890410958904,0,18,3,5,0.600,1,1,1.0,0,2,0.0,1,4,5,2,0,0,1,1,7,5.799999999999999,7
2019-03-24,Milano,Cremona,32.778082191780825,1,29,3,6,0.500,1,1,1.0,1,1,1.0,0,7,7,3,0,0,2,4,8,5.6,10
2019-03-31,Milano,Cantù,32.797260273972604,0,10,1,5,0.200,0,2,0.0,2,3,0.667,1,2,3,1,0,0,0,0,4,2.5,-9
2019-04-07,Milano,Sassari,32.81643835616438,0,23,6,6,1.000,1,1,1.0,2,2,1.0,2,3,5,3,0,0,1,1,15,16.200000000000003,-12
2019-04-13,Milano,Varese,32.83287671232877,0,9,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,2.0,-7
