date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Torino,Venezia,25.38082191780822,1,35,4,12,0.333,1,3,0.333,4,4,1.0,0,5,5,4,3,0,2,4,13,9.9,-7
2018-10-13,Torino,Trieste,25.397260273972602,1,26,2,7,0.286,0,3,0.0,1,2,0.5,2,2,4,1,2,0,2,4,5,1.6,7
2018-10-21,Torino,Reggio Emilia,25.41917808219178,1,31,4,7,0.571,2,2,1.0,3,3,1.0,0,4,4,3,1,0,3,1,13,10.599999999999998,9
2018-10-28,Torino,Sassari,25.438356164383563,1,34,7,8,0.875,6,7,0.857,2,3,0.667,0,6,6,2,0,0,2,2,22,19.200000000000003,-18
2018-11-04,Torino,Milano,25.457534246575342,1,30,2,8,0.250,2,6,0.333,0,0,0.0,0,5,5,4,0,0,0,2,6,4.7,-3
2019-01-27,Torino,Trieste,25.687671232876713,0,20,1,6,0.167,1,2,0.5,4,4,1.0,0,1,1,0,0,0,0,3,7,2.3000000000000007,-8
2019-02-03,Torino,Reggio Emilia,25.706849315068492,1,27,4,9,0.444,3,6,0.5,0,0,0.0,0,2,2,4,0,0,2,1,11,7.299999999999999,11
2019-02-10,Torino,Sassari,25.726027397260275,1,31,2,9,0.222,1,4,0.25,1,3,0.333,0,3,3,4,1,0,1,0,6,3.3999999999999995,6
2019-03-03,Torino,Milano,25.78356164383562,1,27,7,14,0.500,2,6,0.333,2,2,1.0,0,1,1,2,0,0,2,3,18,9.500000000000004,1
2019-03-10,Torino,Brindisi,25.802739726027397,1,32,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,0,2,0,2,2,5,1.1000000000000005,10
2019-03-17,Torino,Virtus Bologna,25.82191780821918,1,30,3,7,0.429,0,3,0.0,4,6,0.667,1,1,2,1,2,0,0,1,10,8.799999999999999,-12
2019-03-24,Torino,Brescia,25.84109589041096,1,30,6,11,0.545,1,5,0.2,0,0,0.0,2,2,4,4,5,1,2,4,13,14.599999999999998,-3
2019-03-30,Torino,Trentino,25.857534246575344,1,33,4,11,0.364,2,5,0.4,0,0,0.0,0,1,1,3,1,0,2,1,10,4.8999999999999995,4
2019-04-07,Torino,Varese,25.87945205479452,1,33,3,6,0.500,2,3,0.667,3,5,0.6,0,1,1,3,0,0,1,3,11,7.399999999999999,11
2019-04-14,Torino,Pistoia,25.898630136986302,1,33,2,9,0.222,0,2,0.0,1,2,0.5,1,3,4,1,3,0,1,2,5,2.5999999999999996,-3
2019-04-20,Torino,Avellino,25.915068493150685,1,28,4,11,0.364,2,4,0.5,2,4,0.5,0,1,1,1,0,0,2,2,12,3.3000000000000007,-28
2019-04-28,Torino,Cremona,25.936986301369863,1,34,6,10,0.600,2,4,0.5,2,3,0.667,1,1,2,0,2,0,2,0,16,11.999999999999998,0
2019-05-05,Torino,Cantù,25.956164383561646,1,33,5,12,0.417,1,6,0.167,1,2,0.5,1,3,4,1,1,2,2,2,12,7.1,-9
2019-05-12,Torino,Pesaro,25.975342465753425,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,0,2.5999999999999996,-1
