date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Avellino,Cantù,30.671232876712327,0,15,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,5
2018-10-14,Avellino,Cremona,30.693150684931506,0,17,2,2,1.000,2,2,1.0,0,0,0.0,0,2,2,2,1,0,0,2,6,7.6000000000000005,-4
2018-10-21,Avellino,Virtus Bologna,30.71232876712329,0,12,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2
2018-10-27,Avellino,Brescia,30.72876712328767,0,18,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,2.6,-8
2018-11-03,Avellino,Trentino,30.747945205479454,0,20,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,0.2999999999999998,18
2018-11-11,Avellino,Varese,30.76986301369863,0,14,3,4,0.750,3,4,0.75,0,0,0.0,0,2,2,3,0,0,1,1,9,8.699999999999998,3
2018-11-18,Avellino,Reggio Emilia,30.78904109589041,0,20,0,3,0.000,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-1.4999999999999996,-13
2018-11-25,Avellino,Venezia,30.808219178082194,1,30,0,4,0.000,0,3,0.0,0,0,0.0,0,3,3,1,0,0,0,1,0,-1.6,-28
2018-12-09,Avellino,Pesaro,30.846575342465755,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-0.4,-2
2018-12-23,Avellino,Sassari,30.884931506849316,0,14,2,7,0.286,2,6,0.333,0,2,0.0,0,0,0,1,1,0,0,2,6,2.000000000000001,2
2018-12-26,Avellino,Torino,30.893150684931506,0,21,1,4,0.250,1,3,0.333,2,2,1.0,0,3,3,0,1,0,0,1,5,4.1,-2
2018-12-30,Avellino,Milano,30.904109589041095,0,11,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,0.9,7
2019-01-05,Avellino,Brindisi,30.92054794520548,0,18,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,2,0,0,1,1,3,2.3,0
2019-01-13,Avellino,Pistoia,30.942465753424656,0,16,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-2.2,-4
2019-01-19,Avellino,Cantù,30.958904109589042,1,32,2,7,0.286,0,3,0.0,0,0,0.0,0,0,0,2,2,0,0,2,4,2.5,-12
2019-01-27,Avellino,Cremona,30.98082191780822,1,25,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,2,0,0,2,2,0,-2.5,-5
2019-02-03,Avellino,Virtus Bologna,31.0,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-18
2019-02-10,Avellino,Brescia,31.019178082191782,0,10,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,-8
2019-03-17,Avellino,Reggio Emilia,31.115068493150684,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,0.6000000000000001,8
2019-03-24,Avellino,Venezia,31.134246575342466,0,15,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,1.0000000000000002,-9
2019-03-31,Avellino,Pesaro,31.153424657534245,0,15,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,-1.2,-15
2019-04-09,Avellino,Trieste,31.17808219178082,0,3,0,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-0.39999999999999997,-1
2019-04-14,Avellino,Sassari,31.19178082191781,0,14,2,4,0.500,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,1,6,4.6,-5
2019-04-20,Avellino,Torino,31.208219178082192,0,19,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,4,0,0,0,0,3,5.1,6
2019-04-28,Avellino,Milano,31.23013698630137,0,13,1,2,0.000,0,0,0.0,2,2,1.0,0,2,2,0,0,0,0,0,4,3.6000000000000005,4
2019-05-05,Avellino,Brindisi,31.24931506849315,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-05-12,Avellino,Pistoia,31.268493150684932,0,15,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-1.2,-8
2019-05-18,Avellino,Milano,31.284931506849315,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,-3
2019-05-20,Avellino,Milano,31.29041095890411,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,-10
2019-05-22,Avellino,Milano,31.295890410958904,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,2
2019-05-24,Avellino,Milano,31.301369863013697,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-6
2019-05-26,Avellino,Milano,31.306849315068494,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
