date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Venezia,Torino,30.35890410958904,1,28,6,13,0.462,3,7,0.429,0,0,0.0,1,7,8,0,0,1,2,4,15,8.199999999999998,0
2018-10-14,Venezia,Pistoia,30.378082191780823,1,21,3,7,0.429,1,4,0.25,4,4,1.0,0,3,3,1,0,0,2,2,11,6.099999999999998,8
2018-10-21,Venezia,Pesaro,30.397260273972602,1,16,4,9,0.444,1,3,0.333,0,0,0.0,1,3,4,5,1,2,1,2,9,10.0,24
2018-10-27,Venezia,Trentino,30.413698630136988,1,29,7,18,0.389,4,9,0.444,3,4,0.75,1,4,5,3,1,2,1,1,21,15.8,15
2018-11-04,Venezia,Virtus Bologna,30.435616438356163,1,23,4,8,0.500,2,3,0.667,2,2,1.0,1,6,7,2,0,1,0,4,12,11.0,11
2018-11-10,Venezia,Sassari,30.45205479452055,1,25,8,16,0.500,4,7,0.571,1,1,1.0,2,3,5,1,2,0,1,3,21,15.8,9
2018-11-18,Venezia,Milano,30.473972602739725,1,33,2,12,0.167,0,4,0.0,4,4,1.0,1,9,10,3,2,1,2,0,8,6.600000000000001,-8
2018-11-25,Venezia,Avellino,30.493150684931507,1,24,2,7,0.286,2,5,0.4,4,4,1.0,0,3,3,1,2,0,3,2,10,5.699999999999999,25
2018-12-09,Venezia,Varese,30.53150684931507,1,28,5,12,0.417,2,7,0.286,0,0,0.0,0,7,7,2,1,0,1,2,12,8.3,-2
2018-12-16,Venezia,Brindisi,30.55068493150685,1,27,4,13,0.308,0,5,0.0,8,8,1.0,2,7,9,1,3,0,3,3,16,11.5,11
2018-12-23,Venezia,Cantù,30.56986301369863,1,27,5,11,0.455,4,5,0.8,0,0,0.0,0,9,9,6,1,0,1,2,14,14.399999999999999,17
2018-12-26,Venezia,Trieste,30.578082191780823,1,21,3,13,0.231,1,4,0.25,0,0,0.0,1,5,6,1,0,0,2,4,7,-1.6000000000000005,-9
2018-12-30,Venezia,Reggio Emilia,30.589041095890412,1,31,5,18,0.278,1,7,0.143,2,2,1.0,2,5,7,2,3,0,5,2,13,3.9000000000000004,0
2019-01-06,Venezia,Cremona,30.60821917808219,1,27,4,12,0.333,0,3,0.0,1,2,0.5,0,5,5,2,0,0,2,3,9,1.5000000000000009,7
2019-01-12,Venezia,Brescia,30.624657534246577,1,27,5,7,0.714,1,2,0.5,2,2,1.0,1,7,8,5,2,2,4,5,13,13.799999999999997,-7
2019-01-20,Venezia,Torino,30.646575342465752,0,27,5,14,0.357,2,5,0.4,2,3,0.667,1,6,7,3,3,0,1,3,14,11.2,3
2019-02-03,Venezia,Pesaro,30.684931506849317,0,19,4,5,0.800,2,3,0.667,0,0,0.0,0,2,2,1,2,0,2,5,10,7.399999999999999,-2
2019-02-10,Venezia,Trentino,30.704109589041096,1,33,3,11,0.273,3,7,0.429,4,7,0.571,0,4,4,3,1,1,1,3,13,8.099999999999998,12
2019-03-10,Venezia,Sassari,30.78082191780822,0,15,2,5,0.400,0,2,0.0,2,4,0.5,1,2,3,3,0,0,1,2,6,4.1000000000000005,-9
2019-03-17,Venezia,Milano,30.8,0,26,4,10,0.400,1,4,0.25,0,0,0.0,0,3,3,7,0,1,0,3,9,8.899999999999999,16
2019-03-24,Venezia,Avellino,30.81917808219178,0,19,5,10,0.500,0,3,0.0,0,0,0.0,2,5,7,1,0,2,0,3,10,8.8,11
2019-03-31,Venezia,Varese,30.838356164383562,0,20,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,3,4,1.5,1
2019-04-07,Venezia,Brindisi,30.857534246575344,1,31,7,11,0.636,4,8,0.5,0,0,0.0,1,7,8,1,0,1,2,4,18,13.700000000000001,4
2019-04-14,Venezia,Cantù,30.876712328767123,0,29,5,11,0.455,5,7,0.714,1,3,0.333,1,7,8,1,0,1,0,2,16,12.899999999999997,7
2019-04-20,Venezia,Trieste,30.893150684931506,0,20,1,4,0.000,0,0,0.0,4,5,0.8,0,1,1,2,0,0,1,2,6,3.1000000000000005,-11
2019-04-28,Venezia,Reggio Emilia,30.915068493150685,0,25,4,8,0.500,2,3,0.667,3,4,0.75,0,3,3,6,0,0,1,4,13,11.1,9
2019-05-05,Venezia,Cremona,30.934246575342467,0,28,3,13,0.231,0,4,0.0,2,2,1.0,0,5,5,4,0,0,0,3,8,3.1999999999999993,-5
2019-05-12,Venezia,Brescia,30.953424657534246,1,24,10,16,0.625,4,6,0.667,1,1,1.0,0,3,3,5,0,0,2,2,25,19.4,9
2019-05-19,Venezia,Trentino,30.972602739726028,0,23,3,7,0.429,0,2,0.0,1,1,1.0,0,2,2,2,1,0,3,5,7,1.3000000000000007,21
2019-05-21,Venezia,Trentino,30.97808219178082,0,24,4,7,0.571,1,1,1.0,6,8,0.75,0,3,3,3,2,2,2,0,15,15.3,13
2019-05-23,Venezia,Trentino,30.983561643835618,0,27,3,4,0.750,1,2,0.5,2,2,1.0,0,5,5,2,0,3,5,3,9,6.199999999999999,-12
2019-05-25,Venezia,Trentino,30.98904109589041,1,27,1,13,0.077,1,7,0.143,4,6,0.667,1,3,4,1,2,1,2,4,7,-1.0999999999999992,0
2019-05-27,Venezia,Trentino,30.994520547945207,0,28,5,8,0.625,2,4,0.5,1,2,0.5,0,11,11,3,3,2,3,2,13,14.999999999999996,23
2019-05-30,Venezia,Cremona,31.002739726027396,0,21,4,7,0.571,1,3,0.333,2,2,1.0,0,6,6,1,0,0,1,4,11,7.6,7
2019-06-01,Venezia,Cremona,31.008219178082193,0,24,5,8,0.625,4,5,0.8,0,0,0.0,0,4,4,1,0,0,1,3,14,10.099999999999998,-3
2019-06-03,Venezia,Cremona,31.013698630136986,0,32,7,17,0.412,1,6,0.167,3,4,0.75,1,4,5,2,1,1,2,2,18,10.7,3
2019-06-05,Venezia,Cremona,31.019178082191782,0,23,3,11,0.273,1,6,0.167,4,6,0.667,3,5,8,0,1,0,3,2,11,4.500000000000001,-2
2019-06-07,Venezia,Cremona,31.024657534246575,0,28,8,13,0.615,2,5,0.4,2,4,0.5,1,4,5,3,2,0,2,3,20,16.099999999999998,19
2019-06-10,Venezia,Sassari,31.03287671232877,0,22,3,9,0.333,1,4,0.25,1,2,0.5,0,2,2,2,1,0,1,3,8,3.3,-4
2019-06-12,Venezia,Sassari,31.03835616438356,0,26,7,15,0.467,3,8,0.375,3,4,0.75,1,7,8,0,0,0,2,4,20,11.1,-6
2019-06-14,Venezia,Sassari,31.043835616438358,0,31,9,17,0.529,2,5,0.4,2,2,1.0,2,5,7,3,0,1,3,1,22,16.000000000000004,9
2019-06-16,Venezia,Sassari,31.04931506849315,0,25,6,16,0.375,3,9,0.333,1,1,1.0,0,2,2,3,1,0,3,4,16,6.299999999999999,-9
2019-06-18,Venezia,Sassari,31.054794520547947,0,20,7,9,0.778,3,4,0.75,3,3,1.0,0,7,7,1,1,0,2,5,20,16.3,6
2019-06-20,Venezia,Sassari,31.06027397260274,0,24,4,10,0.400,0,2,0.0,2,4,0.5,4,3,7,2,1,1,3,4,10,6.0,-15
2019-06-22,Venezia,Sassari,31.065753424657533,0,26,5,13,0.385,1,6,0.167,2,3,0.667,0,6,6,2,2,0,0,4,13,9.100000000000001,12
