date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Sassari,Reggio Emilia,33.536986301369865,1,10,1,1,1.000,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,3,3.7,2
2018-10-14,Sassari,Varese,33.556164383561644,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-1
2018-10-21,Sassari,Brindisi,33.57534246575342,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,8
2018-10-28,Sassari,Torino,33.59452054794521,0,6,0,1,0.000,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,0.9999999999999999,-3
2018-11-04,Sassari,Cremona,33.61369863013699,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-10,Sassari,Venezia,33.63013698630137,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2018-11-18,Sassari,Pistoia,33.652054794520545,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6
2018-11-25,Sassari,Trentino,33.67123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-09,Sassari,Virtus Bologna,33.70958904109589,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,4
2018-12-16,Sassari,Milano,33.728767123287675,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2018-12-23,Sassari,Avellino,33.74794520547945,1,12,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,1,0,0,0,1,3,3.6,-6
2018-12-26,Sassari,Pesaro,33.75616438356165,0,15,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,2,3,1.9000000000000001,1
2018-12-30,Sassari,Brescia,33.76712328767123,0,10,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-0.8,-5
2019-01-06,Sassari,Trieste,33.78630136986301,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-3
2019-01-12,Sassari,Cantù,33.8027397260274,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,9
2019-01-20,Sassari,Reggio Emilia,33.824657534246576,1,16,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,1,1,0,0,0,3,2.6000000000000005,6
2019-01-27,Sassari,Varese,33.843835616438355,0,9,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.9,0
2019-02-03,Sassari,Brindisi,33.863013698630134,0,11,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,1,4,3,-0.6000000000000001,-8
2019-02-10,Sassari,Torino,33.88219178082192,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,-7
2019-03-10,Sassari,Venezia,33.95890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Sassari,Pistoia,33.97808219178082,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
