date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Reggio Emilia,Sassari,24.235616438356164,0,13,2,2,1.000,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,1,6,6.0,-2
2018-10-14,Reggio Emilia,Brescia,24.254794520547946,0,18,2,5,0.400,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,2,5,2.8,5
2018-10-21,Reggio Emilia,Torino,24.273972602739725,0,14,3,6,0.500,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,2,7,3.5,-9
2018-10-28,Reggio Emilia,Cantù,24.293150684931508,0,9,2,5,0.400,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,4,6,1.9999999999999996,-7
2018-11-04,Reggio Emilia,Varese,24.312328767123287,1,19,1,2,0.500,0,1,0.0,1,1,1.0,0,2,2,0,2,2,1,0,3,5.0,-2
2018-11-11,Reggio Emilia,Milano,24.33150684931507,0,21,2,6,0.333,1,5,0.2,2,2,1.0,0,1,1,0,0,0,0,2,7,3.1000000000000005,-4
2018-11-18,Reggio Emilia,Avellino,24.350684931506848,1,34,3,9,0.333,2,4,0.5,2,2,1.0,1,3,4,0,0,0,1,3,10,4.3,-7
2018-11-24,Reggio Emilia,Pistoia,24.367123287671234,1,24,3,7,0.429,0,3,0.0,4,6,0.667,1,2,3,0,0,0,0,2,10,6.0,-5
2018-12-09,Reggio Emilia,Brindisi,24.40821917808219,1,16,3,6,0.500,1,3,0.333,0,0,0.0,1,1,2,1,0,0,4,1,7,1.2999999999999998,-2
2018-12-15,Reggio Emilia,Trentino,24.424657534246574,1,25,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,1,0,1,1,2,0,-1.1,3
2018-12-23,Reggio Emilia,Trieste,24.446575342465753,0,19,3,6,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,2,7,3.2,4
2018-12-25,Reggio Emilia,Virtus Bologna,24.45205479452055,0,18,3,5,0.600,1,3,0.333,0,0,0.0,0,2,2,0,1,0,0,0,7,6.299999999999999,-11
2018-12-30,Reggio Emilia,Venezia,24.465753424657535,0,15,2,5,0.400,1,3,0.333,2,2,1.0,1,4,5,0,1,0,0,1,7,6.8,-7
2019-01-06,Reggio Emilia,Pesaro,24.484931506849314,0,21,3,4,0.750,2,3,0.667,2,3,0.667,1,2,3,2,1,0,1,4,10,9.099999999999998,15
2019-01-27,Reggio Emilia,Brescia,24.542465753424658,0,18,3,6,0.500,1,3,0.333,1,1,1.0,1,1,2,1,0,0,0,3,8,5.5,-7
2019-02-03,Reggio Emilia,Torino,24.56164383561644,0,18,1,7,0.143,0,3,0.0,0,0,0.0,1,1,2,1,0,0,0,2,2,-1.5999999999999996,-19
2019-03-03,Reggio Emilia,Varese,24.638356164383563,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Reggio Emilia,Avellino,24.676712328767124,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,1
2019-03-24,Reggio Emilia,Pistoia,24.695890410958903,1,20,3,7,0.429,0,2,0.0,2,2,1.0,3,0,3,1,0,0,1,4,8,4.5,3
2019-03-31,Reggio Emilia,Brindisi,24.715068493150685,1,12,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-1.4999999999999996,-2
2019-04-07,Reggio Emilia,Trentino,24.734246575342468,1,21,0,1,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,1,1,1,0,-0.20000000000000007,0
2019-04-14,Reggio Emilia,Trieste,24.753424657534246,0,16,5,5,1.000,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,2,11,10.399999999999999,18
2019-04-20,Reggio Emilia,Virtus Bologna,24.76986301369863,1,26,3,6,0.500,2,4,0.5,0,0,0.0,0,0,0,0,0,1,0,4,8,4.1,8
2019-04-28,Reggio Emilia,Venezia,24.791780821917808,1,22,0,3,0.000,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,2,0,-1.5999999999999996,4
2019-05-05,Reggio Emilia,Pesaro,24.81095890410959,1,28,1,7,0.143,0,2,0.0,4,4,1.0,0,6,6,1,1,1,1,3,6,3.500000000000001,17
2019-05-12,Reggio Emilia,Cremona,24.83013698630137,1,17,2,8,0.250,2,6,0.333,0,2,0.0,1,4,5,0,2,0,1,3,6,2.0999999999999996,10
