date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Pistoia,Pesaro,27.83287671232877,1,30,8,13,0.615,4,7,0.571,0,1,0.0,1,6,7,4,3,0,3,2,20,18.2,-11
2018-10-14,Pistoia,Venezia,27.852054794520548,1,31,5,13,0.385,1,3,0.333,4,4,1.0,0,2,2,1,2,0,2,3,15,8.0,-16
2018-10-21,Pistoia,Milano,27.87123287671233,1,31,8,15,0.533,2,2,1.0,3,3,1.0,2,4,6,5,1,0,2,3,21,17.6,-18
2018-10-28,Pistoia,Brindisi,27.89041095890411,1,38,6,10,0.600,1,2,0.5,3,5,0.6,0,2,2,6,2,0,3,3,16,13.2,-13
2018-11-04,Pistoia,Trieste,27.90958904109589,1,32,4,10,0.400,1,4,0.25,3,4,0.75,0,2,2,2,0,0,3,3,12,3.999999999999999,-16
2018-11-11,Pistoia,Cremona,27.92876712328767,1,33,7,12,0.583,1,3,0.333,6,7,0.857,0,4,4,9,1,0,5,3,21,17.300000000000004,-13
2018-11-24,Pistoia,Reggio Emilia,27.964383561643835,1,23,4,8,0.500,0,1,0.0,6,6,1.0,2,4,6,2,0,0,3,3,14,9.8,3
2018-12-09,Pistoia,Brescia,28.005479452054796,1,32,4,11,0.364,2,5,0.4,3,5,0.6,0,3,3,2,1,0,6,3,13,2.1999999999999993,8
2018-12-16,Pistoia,Virtus Bologna,28.024657534246575,1,25,4,13,0.308,1,3,0.333,0,0,0.0,0,0,0,3,0,0,1,3,9,1.3999999999999995,-21
2018-12-23,Pistoia,Torino,28.043835616438358,1,32,3,9,0.333,1,4,0.25,2,4,0.5,0,3,3,7,1,1,2,4,9,6.999999999999998,-8
2018-12-26,Pistoia,Trentino,28.052054794520547,1,27,2,5,0.400,0,1,0.0,1,1,1.0,0,2,2,5,2,0,1,3,5,6.2,-6
2018-12-30,Pistoia,Cantù,28.063013698630137,1,22,1,2,0.500,1,1,1.0,3,4,0.75,0,2,2,3,1,0,1,1,6,6.899999999999999,-20
2019-01-06,Pistoia,Varese,28.08219178082192,1,29,2,7,0.286,1,3,0.333,8,9,0.889,0,1,1,6,1,0,0,4,13,12.400000000000002,-2
2019-01-13,Pistoia,Avellino,28.101369863013698,1,22,1,5,0.200,0,2,0.0,5,5,1.0,0,2,2,1,2,0,1,2,7,5.4,1
2019-01-20,Pistoia,Pesaro,28.12054794520548,1,27,4,7,0.571,0,1,0.0,1,2,0.5,0,5,5,6,1,0,2,4,9,8.4,-13
2019-01-27,Pistoia,Venezia,28.13972602739726,1,31,7,16,0.438,1,6,0.167,3,4,0.75,2,2,4,1,1,0,1,3,18,10.7,-14
2019-02-10,Pistoia,Brindisi,28.17808219178082,1,31,4,10,0.400,1,4,0.25,5,6,0.833,1,2,3,4,2,0,2,3,14,11.099999999999998,-5
