date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Trieste,Virtus Bologna,29.75068493150685,1,22,7,11,0.636,2,4,0.5,0,0,0.0,2,1,3,0,0,0,2,5,16,8.800000000000002,-5
2018-11-04,Trieste,Pistoia,29.827397260273973,0,12,3,5,0.000,0,0,0.0,4,4,1.0,2,2,4,1,0,1,2,3,10,7.899999999999999,-3
2018-11-12,Trieste,Pesaro,29.84931506849315,0,18,4,5,0.800,0,1,0.0,4,6,0.667,2,2,4,0,1,0,0,1,12,11.899999999999999,-12
2018-11-17,Trieste,Trentino,29.863013698630137,0,18,6,9,0.667,0,1,0.0,8,9,0.889,0,7,7,0,0,1,0,5,20,16.499999999999996,12
2018-11-25,Trieste,Cantù,29.884931506849316,1,20,2,7,0.286,0,1,0.0,2,2,1.0,2,2,4,0,0,0,0,2,6,3.1000000000000005,2
2018-12-09,Trieste,Cremona,29.923287671232877,1,16,3,7,0.429,0,1,0.0,4,4,1.0,2,3,5,0,0,1,3,5,10,4.299999999999999,5
2018-12-16,Trieste,Avellino,29.942465753424656,1,16,9,12,0.750,1,1,1.0,2,2,1.0,1,2,3,1,1,0,1,1,21,17.800000000000004,13
2018-12-23,Trieste,Reggio Emilia,29.96164383561644,1,6,0,3,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,4,0,-3.0,-2
2018-12-26,Trieste,Venezia,29.96986301369863,1,16,1,5,0.000,0,0,0.0,3,4,0.75,0,4,4,0,0,2,0,0,5,4.1,-11
2018-12-30,Trieste,Brindisi,29.98082191780822,0,11,3,4,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,6,3.5999999999999996,-4
2019-01-06,Trieste,Sassari,30.0,1,12,4,9,0.444,1,1,1.0,0,0,0.0,1,1,2,0,0,0,1,4,9,2.6999999999999997,-11
2019-01-13,Trieste,Milano,30.019178082191782,1,26,6,10,0.600,0,1,0.0,2,3,0.667,0,7,7,0,0,2,2,5,14,8.499999999999998,-6
2019-01-20,Trieste,Virtus Bologna,30.03835616438356,1,16,3,4,0.000,0,0,0.0,0,2,0.0,1,3,4,0,1,0,0,2,6,5.400000000000001,-11
2019-01-27,Trieste,Torino,30.057534246575344,1,20,5,8,0.000,0,0,0.0,4,4,1.0,2,2,4,1,0,0,2,5,14,9.1,-4
2019-02-03,Trieste,Brescia,30.076712328767123,1,27,2,9,0.000,0,0,0.0,0,0,0.0,2,9,11,1,0,0,1,2,4,1.5,3
2019-02-10,Trieste,Varese,30.095890410958905,1,18,3,4,0.000,0,0,0.0,1,2,0.5,3,4,7,1,0,0,0,2,7,8.199999999999998,-6
2019-03-03,Trieste,Pistoia,30.153424657534245,1,14,4,7,0.571,1,1,1.0,2,2,1.0,0,3,3,1,1,0,1,3,11,8.099999999999998,-2
2019-03-09,Trieste,Pesaro,30.16986301369863,1,18,7,9,0.778,0,1,0.0,2,2,1.0,0,3,3,1,1,2,3,5,16,11.5,5
2019-03-17,Trieste,Trentino,30.19178082191781,1,17,7,9,0.000,0,0,0.0,1,1,1.0,2,4,6,2,0,0,1,4,15,12.9,-5
2019-03-24,Trieste,Cantù,30.21095890410959,1,20,5,7,0.714,0,1,0.0,1,1,1.0,4,4,8,0,0,1,0,0,11,12.8,15
2019-03-31,Trieste,Cremona,30.23013698630137,1,23,6,12,0.500,1,2,0.5,6,7,0.857,3,5,8,0,0,2,1,2,19,15.799999999999997,20
2019-04-09,Trieste,Avellino,30.254794520547946,0,19,6,10,0.000,0,0,0.0,0,0,0.0,1,3,4,0,1,1,2,5,12,6.699999999999999,-1
2019-04-14,Trieste,Reggio Emilia,30.268493150684932,1,21,6,9,0.000,0,0,0.0,2,2,1.0,1,7,8,1,1,1,0,2,14,14.499999999999995,26
2019-04-20,Trieste,Venezia,30.284931506849315,1,16,1,3,0.000,0,0,0.0,4,4,1.0,1,1,2,0,0,2,4,5,6,0.7000000000000011,-15
2019-04-28,Trieste,Brindisi,30.306849315068494,1,16,2,3,0.000,0,0,0.0,4,4,1.0,0,1,1,1,0,0,2,3,8,4.500000000000001,-3
2019-05-05,Trieste,Sassari,30.326027397260273,1,17,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,2,2,1.1,-14
2019-05-12,Trieste,Milano,30.345205479452055,0,16,2,5,0.000,0,0,0.0,4,4,1.0,0,3,3,1,1,1,1,2,8,6.800000000000002,-23
2019-05-19,Trieste,Cremona,30.364383561643837,1,14,2,6,0.000,0,0,0.0,1,2,0.5,1,0,1,0,0,1,2,1,5,0.20000000000000062,-10
2019-05-21,Trieste,Cremona,30.36986301369863,1,17,10,13,0.769,1,1,1.0,0,0,0.0,2,3,5,0,0,0,1,2,21,16.4,-10
2019-05-23,Trieste,Cremona,30.375342465753423,1,17,2,6,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,2,0,2,4,2.5,-5
2019-05-25,Trieste,Cremona,30.38082191780822,1,11,2,4,0.000,0,0,0.0,6,6,1.0,2,1,3,0,0,0,1,3,10,7.5,0
