date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-11-11,Cantù,Virtus Bologna,21.424657534246574,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-11-19,Cantù,Pesaro,21.446575342465753,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-25,Cantù,Trieste,21.46301369863014,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4
2018-12-09,Cantù,Milano,21.5013698630137,0,8,0,2,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-2.2,-4
2018-12-16,Cantù,Brescia,21.52054794520548,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-12-23,Cantù,Venezia,21.53972602739726,1,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2018-12-25,Cantù,Varese,21.545205479452054,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,5
2018-12-30,Cantù,Pistoia,21.55890410958904,0,7,0,1,0.000,0,0,0.0,1,2,0.5,1,0,1,1,0,0,0,0,1,1.2999999999999998,9
2019-01-06,Cantù,Torino,21.578082191780823,0,4,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,0.29999999999999993,2
2019-01-12,Cantù,Sassari,21.594520547945205,0,21,1,4,0.250,1,4,0.25,0,0,0.0,0,2,2,2,0,0,1,0,3,1.6,-5
2019-01-19,Cantù,Avellino,21.613698630136987,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-01-27,Cantù,Trentino,21.635616438356166,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,0
2019-02-03,Cantù,Cremona,21.654794520547945,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,1
2019-02-09,Cantù,Reggio Emilia,21.671232876712327,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,0.6,5
2019-03-04,Cantù,Brindisi,21.734246575342468,1,12,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2,0.20000000000000018,-1
2019-03-10,Cantù,Virtus Bologna,21.75068493150685,1,16,1,3,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,3,2,1.0,8
2019-03-17,Cantù,Pesaro,21.76986301369863,1,24,1,3,0.333,1,3,0.333,2,2,1.0,0,0,0,2,2,0,2,3,5,3.500000000000001,2
2019-03-24,Cantù,Trieste,21.78904109589041,1,17,0,1,0.000,0,1,0.0,0,0,0.0,0,4,4,2,1,0,0,3,0,1.6999999999999997,-13
2019-03-31,Cantù,Milano,21.808219178082194,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2019-04-07,Cantù,Brescia,21.827397260273973,1,25,1,3,0.333,0,2,0.0,2,2,1.0,1,4,5,1,1,0,1,1,4,4.500000000000001,2
2019-04-14,Cantù,Venezia,21.846575342465755,1,22,1,2,0.500,1,2,0.5,0,0,0.0,0,6,6,0,0,0,1,4,3,1.1999999999999997,13
2019-04-20,Cantù,Varese,21.863013698630137,1,23,1,2,0.500,1,1,1.0,2,2,1.0,0,4,4,4,0,0,2,5,5,4.0,7
2019-04-27,Cantù,Pistoia,21.88219178082192,1,23,1,4,0.250,1,2,0.5,2,2,1.0,0,6,6,3,1,0,1,2,5,5.7,14
2019-05-05,Cantù,Torino,21.904109589041095,1,33,3,4,0.750,1,2,0.5,2,2,1.0,3,5,8,3,2,0,1,2,9,13.299999999999999,12
2019-05-12,Cantù,Sassari,21.923287671232877,1,22,0,3,0.000,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,3,0,-1.0,-12
