date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Pistoia,Pesaro,26.134246575342466,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,1
2018-10-14,Pistoia,Venezia,26.153424657534245,0,11,1,4,0.250,0,2,0.0,0,0,0.0,0,0,0,2,1,0,0,1,2,1.6,-7
2018-10-21,Pistoia,Milano,26.172602739726027,0,13,1,4,0.000,0,0,0.0,2,2,1.0,2,2,4,0,0,0,0,1,4,3.2000000000000006,-8
2018-10-28,Pistoia,Brindisi,26.19178082191781,0,8,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,1,1,0,0,4,3,2.4,-5
2018-11-04,Pistoia,Trieste,26.21095890410959,0,13,2,7,0.286,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,1,4,0.10000000000000009,1
2018-11-11,Pistoia,Cremona,26.23013698630137,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.2000000000000002,-6
2018-11-18,Pistoia,Sassari,26.24931506849315,0,8,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,2,3,2.2,-10
2018-11-24,Pistoia,Reggio Emilia,26.265753424657536,0,24,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,3,1,0,1,5,10,7.4,-1
2018-12-09,Pistoia,Brescia,26.306849315068494,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,2,0,-2.1,1
2018-12-16,Pistoia,Virtus Bologna,26.326027397260273,0,6,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,0.19999999999999996,-1
2018-12-23,Pistoia,Torino,26.345205479452055,0,11,2,4,0.500,2,3,0.667,0,0,0.0,1,2,3,1,1,0,1,0,6,6.0,6
2018-12-26,Pistoia,Trentino,26.353424657534248,0,13,1,5,0.200,0,2,0.0,2,2,1.0,0,0,0,1,1,0,0,1,4,2.2000000000000006,-2
2018-12-30,Pistoia,Cantù,26.364383561643837,0,15,0,5,0.000,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,2,2,-2.0,-2
2019-01-06,Pistoia,Varese,26.383561643835616,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-1
2019-01-13,Pistoia,Avellino,26.4027397260274,0,4,1,1,0.000,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,2,0.8999999999999998,3
2019-01-20,Pistoia,Pesaro,26.421917808219177,0,21,4,7,0.571,1,3,0.333,2,2,1.0,0,3,3,2,1,0,1,4,11,8.4,3
2019-01-27,Pistoia,Venezia,26.44109589041096,0,13,1,5,0.200,1,1,1.0,0,0,0.0,1,1,2,1,0,0,0,2,3,0.7999999999999998,-9
2019-02-10,Pistoia,Brindisi,26.47945205479452,0,7,1,2,0.000,0,0,0.0,1,4,0.25,0,2,2,0,0,0,1,4,3,-1.2000000000000002,-1
2019-03-03,Pistoia,Trieste,26.536986301369865,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5
2019-03-10,Pistoia,Cremona,26.556164383561644,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-6
2019-03-17,Pistoia,Sassari,26.575342465753426,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
