date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cremona,Trentino,26.01095890410959,1,21,0,2,0.000,0,0,0.0,0,0,0.0,3,3,6,0,0,0,2,3,0,-1.6000000000000005,-6
2018-10-14,Cremona,Avellino,26.03287671232877,1,26,6,11,0.000,0,0,0.0,1,3,0.333,3,6,9,0,0,0,2,1,13,8.4,-7
2018-10-20,Cremona,Cantù,26.04931506849315,1,21,4,9,0.000,0,0,0.0,0,0,0.0,5,3,8,0,0,2,1,2,8,7.299999999999999,-24
2018-10-28,Cremona,Virtus Bologna,26.07123287671233,1,25,5,7,0.000,0,0,0.0,0,3,0.0,4,7,11,0,0,2,2,3,10,9.0,7
2018-11-04,Cremona,Sassari,26.09041095890411,1,18,0,2,0.000,0,0,0.0,0,0,0.0,3,4,7,0,0,1,0,3,0,1.3999999999999995,-2
2018-11-11,Cremona,Pistoia,26.10958904109589,1,25,4,6,0.000,0,0,0.0,0,0,0.0,4,7,11,1,1,1,4,4,8,7.099999999999998,11
2018-11-18,Cremona,Varese,26.12876712328767,1,30,3,7,0.000,0,0,0.0,3,4,0.75,4,9,13,0,0,1,1,1,9,9.699999999999998,-13
2018-11-25,Cremona,Milano,26.147945205479452,1,15,3,5,0.000,0,0,0.0,0,0,0.0,2,2,4,0,1,0,0,5,6,4.699999999999999,11
2018-12-09,Cremona,Trieste,26.186301369863013,1,28,4,8,0.000,0,0,0.0,1,5,0.2,5,9,14,1,1,0,2,2,9,8.499999999999998,-3
2018-12-16,Cremona,Pesaro,26.205479452054796,1,15,5,8,0.000,0,0,0.0,0,0,0.0,3,5,8,1,0,1,1,5,10,8.399999999999999,12
2018-12-22,Cremona,Brescia,26.221917808219178,1,23,5,7,0.000,0,0,0.0,0,2,0.0,6,4,10,1,2,1,5,3,10,8.899999999999999,-1
2018-12-26,Cremona,Brindisi,26.232876712328768,1,25,5,5,0.000,0,0,0.0,0,2,0.0,1,9,10,0,0,0,2,4,10,7.5,16
2018-12-30,Cremona,Torino,26.243835616438357,1,25,7,8,0.000,0,0,0.0,1,3,0.333,3,7,10,1,0,1,4,2,15,12.2,14
2019-01-06,Cremona,Venezia,26.263013698630136,1,20,4,4,0.000,0,0,0.0,1,2,0.5,2,2,4,1,1,0,1,2,9,9.299999999999997,-15
2019-01-13,Cremona,Reggio Emilia,26.28219178082192,1,28,7,8,0.000,0,0,0.0,4,4,1.0,7,11,18,0,0,1,2,2,18,21.3,13
2019-01-20,Cremona,Trentino,26.301369863013697,1,26,6,10,0.000,0,0,0.0,8,12,0.667,4,6,10,0,0,1,1,4,20,16.499999999999996,6
2019-01-27,Cremona,Avellino,26.32054794520548,1,29,5,11,0.000,0,0,0.0,0,0,0.0,5,4,9,1,1,0,4,3,10,5.5,12
2019-02-03,Cremona,Cantù,26.339726027397262,1,34,5,9,0.000,0,0,0.0,2,4,0.5,4,9,13,0,0,1,3,4,12,8.499999999999998,-18
2019-02-09,Cremona,Virtus Bologna,26.356164383561644,1,30,7,9,0.000,0,0,0.0,0,1,0.0,4,6,10,2,1,0,3,4,14,12.499999999999998,24
2019-03-10,Cremona,Pistoia,26.435616438356163,1,32,3,6,0.000,0,0,0.0,1,2,0.5,2,5,7,0,3,1,2,2,7,7.399999999999999,4
