date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-20,Sassari,Reggio Emilia,27.873972602739727,1,21,3,5,0.600,2,4,0.5,1,2,0.5,0,1,1,0,1,0,0,3,9,6.399999999999999,5
2019-01-27,Sassari,Varese,27.893150684931506,1,25,3,12,0.250,1,7,0.143,1,1,1.0,1,1,2,4,0,0,1,4,8,2.0000000000000004,2
2019-02-03,Sassari,Brindisi,27.912328767123288,1,29,8,15,0.533,0,3,0.0,2,2,1.0,2,2,4,0,1,0,2,2,18,10.899999999999999,-4
2019-02-10,Sassari,Torino,27.93150684931507,1,25,7,11,0.636,2,4,0.5,4,4,1.0,0,1,1,1,1,1,1,2,20,16.0,-11
2019-03-10,Sassari,Venezia,28.008219178082193,1,29,3,4,0.750,2,3,0.667,2,2,1.0,1,1,2,4,1,0,1,1,10,11.799999999999999,-4
2019-03-17,Sassari,Pistoia,28.027397260273972,1,15,2,3,0.667,2,2,1.0,0,0,0.0,1,1,2,2,1,0,2,4,6,4.5,-2
2019-03-24,Sassari,Trentino,28.046575342465754,1,27,6,9,0.667,2,4,0.5,2,4,0.5,0,4,4,3,0,0,0,4,16,12.999999999999996,15
2019-03-31,Sassari,Virtus Bologna,28.065753424657533,1,16,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,2,1,0,1,5,5,1.3000000000000007,7
2019-04-07,Sassari,Milano,28.084931506849315,1,19,3,7,0.429,0,3,0.0,0,0,0.0,0,1,1,4,1,1,0,2,6,6.300000000000001,7
2019-04-14,Sassari,Avellino,28.104109589041094,1,20,4,5,0.800,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,3,10,8.600000000000001,10
2019-04-20,Sassari,Pesaro,28.12054794520548,1,20,3,6,0.500,1,2,0.5,1,2,0.5,0,3,3,0,1,0,3,1,8,3.0999999999999996,17
2019-05-18,Sassari,Brindisi,28.197260273972603,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-20,Sassari,Brindisi,28.202739726027396,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-22,Sassari,Brindisi,28.208219178082192,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-29,Sassari,Milano,28.22739726027397,0,5,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.0,-4
2019-05-31,Sassari,Milano,28.232876712328768,0,5,0,0,0.000,0,0,0.0,1,1,1.0,0,0,0,0,0,0,1,1,1,-0.4,-8
2019-06-02,Sassari,Milano,28.23835616438356,0,3,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,2,1.3000000000000003,-8
2019-06-10,Sassari,Venezia,28.26027397260274,0,19,6,12,0.500,1,6,0.167,6,8,0.75,0,3,3,2,0,0,1,3,19,12.3,2
2019-06-12,Sassari,Venezia,28.265753424657536,0,27,5,8,0.625,4,7,0.571,0,0,0.0,0,3,3,1,0,1,2,2,14,9.899999999999999,10
2019-06-14,Sassari,Venezia,28.27123287671233,0,17,1,4,0.250,1,2,0.5,0,0,0.0,0,2,2,3,0,0,1,1,3,1.9,-13
2019-06-16,Sassari,Venezia,28.276712328767122,1,22,1,3,0.333,1,2,0.5,8,8,1.0,0,4,4,1,0,0,2,3,11,8.0,1
2019-06-18,Sassari,Venezia,28.28219178082192,1,29,2,11,0.182,0,5,0.0,2,3,0.667,2,3,5,2,1,0,2,1,6,1.0000000000000004,-13
2019-06-20,Sassari,Venezia,28.28767123287671,1,27,3,4,0.750,2,3,0.667,2,2,1.0,2,2,4,3,0,0,0,3,10,11.299999999999997,2
2019-06-22,Sassari,Venezia,28.293150684931508,1,31,3,7,0.429,1,2,0.5,2,3,0.667,1,4,5,3,1,0,3,4,9,5.299999999999999,-21
