date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Trieste,Virtus Bologna,29.312328767123287,0,32,6,7,0.000,0,0,0.0,0,2,0.0,2,2,4,1,1,0,0,2,12,11.599999999999998,-2
2018-10-13,Trieste,Torino,29.328767123287673,1,22,5,7,0.000,0,0,0.0,0,0,0.0,3,4,7,0,0,0,2,5,10,6.399999999999999,8
2018-10-21,Trieste,Brescia,29.350684931506848,1,29,4,4,0.000,0,0,0.0,1,2,0.5,4,4,8,2,1,4,1,0,9,15.599999999999998,-1
2018-10-28,Trieste,Varese,29.36986301369863,1,25,0,2,0.000,0,0,0.0,2,4,0.5,3,4,7,1,1,2,3,4,2,1.5999999999999996,-7
2018-11-04,Trieste,Pistoia,29.389041095890413,1,28,4,7,0.000,0,0,0.0,1,4,0.25,6,6,12,3,1,2,1,1,9,13.6,20
2018-11-12,Trieste,Pesaro,29.410958904109588,1,21,4,5,0.000,0,0,0.0,1,2,0.5,2,2,4,0,1,1,2,3,9,7.199999999999999,-14
2018-11-17,Trieste,Trentino,29.424657534246574,1,21,3,7,0.000,0,0,0.0,2,4,0.5,1,4,5,1,1,3,2,3,8,5.999999999999999,-1
2018-11-25,Trieste,Cantù,29.446575342465753,0,16,2,2,0.000,0,0,0.0,0,0,0.0,1,2,3,2,1,0,1,2,4,5.3,23
2018-12-09,Trieste,Cremona,29.484931506849314,0,18,0,1,0.000,0,0,0.0,1,6,0.167,0,5,5,0,1,2,1,0,1,1.2000000000000002,-12
2018-12-16,Trieste,Avellino,29.504109589041096,0,20,2,2,0.000,0,0,0.0,0,0,0.0,1,6,7,0,1,2,1,3,4,6.099999999999999,28
2018-12-23,Trieste,Reggio Emilia,29.523287671232875,0,28,7,7,0.000,0,0,0.0,0,2,0.0,0,0,0,2,1,1,0,1,14,13.8,7
2018-12-26,Trieste,Venezia,29.53150684931507,0,22,3,4,0.000,0,0,0.0,2,7,0.286,1,5,6,1,0,3,2,3,8,6.199999999999999,22
2018-12-30,Trieste,Brindisi,29.542465753424658,1,21,4,4,0.000,0,0,0.0,1,1,1.0,2,1,3,0,2,0,1,2,9,9.7,-12
2019-01-06,Trieste,Sassari,29.56164383561644,0,27,4,4,0.000,0,0,0.0,3,4,0.75,1,2,3,2,0,1,1,3,11,10.599999999999998,6
2019-01-13,Trieste,Milano,29.58082191780822,0,13,6,6,0.000,0,0,0.0,2,3,0.667,2,4,6,0,0,1,1,4,14,12.499999999999998,2
2019-01-20,Trieste,Virtus Bologna,29.6,0,23,6,11,0.000,0,0,0.0,0,0,0.0,3,1,4,0,1,2,1,5,12,8.500000000000002,0
2019-01-27,Trieste,Torino,29.61917808219178,0,24,4,5,0.000,0,0,0.0,5,10,0.5,5,5,10,1,0,1,0,2,13,14.699999999999998,9
2019-02-03,Trieste,Brescia,29.638356164383563,0,13,1,3,0.000,0,0,0.0,0,3,0.0,1,3,4,0,0,1,1,4,2,-1.2000000000000002,5
2019-02-10,Trieste,Varese,29.65753424657534,0,20,5,7,0.000,0,0,0.0,0,1,0.0,4,2,6,1,0,1,1,0,10,10.499999999999998,-2
2019-03-03,Trieste,Pistoia,29.715068493150685,0,26,3,4,0.000,0,0,0.0,1,3,0.333,5,2,7,1,2,1,1,3,7,9.899999999999999,13
2019-03-09,Trieste,Pesaro,29.731506849315068,0,22,4,6,0.000,0,0,0.0,0,2,0.0,5,5,10,2,0,2,0,4,8,10.800000000000002,34
2019-03-17,Trieste,Trentino,29.753424657534246,0,23,1,1,0.000,0,0,0.0,2,4,0.5,0,1,1,0,0,0,3,3,4,-1.0,-2
2019-03-24,Trieste,Cantù,29.77260273972603,0,17,3,4,0.000,0,0,0.0,0,2,0.0,1,1,2,1,1,1,0,3,6,5.800000000000001,13
2019-03-31,Trieste,Cremona,29.791780821917808,0,18,3,4,0.000,0,0,0.0,1,1,1.0,3,4,7,1,1,1,0,1,7,10.699999999999998,-3
2019-04-09,Trieste,Avellino,29.816438356164383,0,24,3,4,0.000,0,0,0.0,4,6,0.667,5,4,9,1,1,0,0,2,10,13.199999999999996,2
2019-04-14,Trieste,Reggio Emilia,29.83013698630137,0,16,1,1,0.000,0,0,0.0,1,2,0.5,4,2,6,0,0,0,1,2,3,3.8999999999999995,-8
2019-04-20,Trieste,Venezia,29.846575342465755,0,24,5,6,0.000,0,0,0.0,2,2,1.0,2,1,3,0,0,1,2,4,12,8.600000000000001,34
2019-04-28,Trieste,Brindisi,29.86849315068493,0,23,5,5,0.000,0,0,0.0,1,2,0.5,2,7,9,0,1,1,1,3,11,12.099999999999998,-5
2019-05-05,Trieste,Sassari,29.887671232876713,0,23,1,2,0.000,0,0,0.0,1,2,0.5,3,5,8,0,1,3,0,3,3,7.099999999999999,-7
2019-05-12,Trieste,Milano,29.906849315068495,1,24,3,5,0.000,0,0,0.0,1,2,0.5,3,2,5,0,0,1,1,3,7,5.499999999999998,18
2019-05-19,Trieste,Cremona,29.926027397260274,0,28,4,4,0.000,0,0,0.0,0,0,0.0,1,5,6,0,0,3,1,0,8,10.1,-2
2019-05-21,Trieste,Cremona,29.93150684931507,0,22,0,4,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,2,1,0,0,-0.5,2
2019-05-23,Trieste,Cremona,29.936986301369863,0,23,1,3,0.000,0,0,0.0,0,0,0.0,4,4,8,0,1,1,1,1,2,4.6,10
2019-05-25,Trieste,Cremona,29.942465753424656,0,27,4,8,0.000,0,0,0.0,0,0,0.0,7,7,14,1,0,3,2,2,8,10.999999999999996,-3
