date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Reggio Emilia,Sassari,22.586301369863016,0,8,1,4,0.250,1,4,0.25,0,1,0.0,0,1,1,1,1,0,0,1,3,1.8000000000000003,5
2018-10-14,Reggio Emilia,Brescia,22.605479452054794,0,3,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-5
2018-10-21,Reggio Emilia,Torino,22.624657534246577,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-4
2018-10-28,Reggio Emilia,Cantù,22.643835616438356,1,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-04,Reggio Emilia,Varese,22.663013698630138,0,14,2,5,0.400,2,5,0.4,0,0,0.0,0,2,2,0,0,0,0,1,6,3.5,6
2018-11-11,Reggio Emilia,Milano,22.682191780821917,1,19,2,5,0.400,1,2,0.5,3,3,1.0,1,5,6,2,0,0,0,0,8,8.9,-15
2018-11-18,Reggio Emilia,Avellino,22.7013698630137,0,21,2,9,0.222,1,4,0.25,4,4,1.0,1,4,5,3,2,0,0,1,9,9.1,-12
2018-11-24,Reggio Emilia,Pistoia,22.71780821917808,0,15,3,8,0.375,3,4,0.75,0,0,0.0,2,0,2,0,0,0,0,1,9,5.6,0
2018-12-09,Reggio Emilia,Brindisi,22.758904109589043,0,27,5,11,0.455,2,5,0.4,2,4,0.5,0,3,3,7,3,0,1,3,14,14.100000000000001,10
2018-12-15,Reggio Emilia,Trentino,22.775342465753425,0,20,2,6,0.333,2,4,0.5,0,0,0.0,1,0,1,2,0,0,0,0,6,4.700000000000001,-5
2018-12-23,Reggio Emilia,Trieste,22.797260273972604,0,16,5,9,0.556,2,5,0.4,0,0,0.0,1,0,1,3,1,0,1,2,12,9.7,-10
2018-12-25,Reggio Emilia,Virtus Bologna,22.802739726027397,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-5
2018-12-30,Reggio Emilia,Venezia,22.816438356164383,0,6,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.9,3
2019-01-06,Reggio Emilia,Pesaro,22.835616438356166,0,20,5,8,0.625,4,6,0.667,0,0,0.0,0,2,2,1,0,0,3,1,14,8.299999999999999,15
2019-01-13,Reggio Emilia,Cremona,22.854794520547944,0,15,3,6,0.500,0,1,0.0,1,2,0.5,1,0,1,0,3,0,1,3,7,5.1,-10
2019-01-20,Reggio Emilia,Sassari,22.873972602739727,0,22,4,11,0.364,3,7,0.429,3,3,1.0,2,5,7,1,0,0,2,0,14,9.5,-4
2019-01-27,Reggio Emilia,Brescia,22.893150684931506,0,6,0,1,0.000,0,1,0.0,0,0,0.0,1,0,1,3,0,0,0,0,0,2.0999999999999996,-1
2019-02-03,Reggio Emilia,Torino,22.912328767123288,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0
2019-02-09,Reggio Emilia,Cantù,22.92876712328767,0,17,4,7,0.571,2,4,0.5,4,4,1.0,0,1,1,0,0,0,0,1,14,10.6,4
2019-03-03,Reggio Emilia,Varese,22.98904109589041,0,17,1,6,0.167,1,5,0.2,0,0,0.0,2,1,3,0,1,1,2,0,3,0.6000000000000005,-2
2019-03-11,Reggio Emilia,Milano,23.01095890410959,0,31,4,11,0.364,3,7,0.429,0,0,0.0,0,3,3,3,2,0,2,2,11,7.1,-6
2019-03-17,Reggio Emilia,Avellino,23.027397260273972,0,31,3,12,0.250,1,3,0.333,2,2,1.0,0,5,5,1,0,0,1,3,9,1.8000000000000007,-22
2019-03-24,Reggio Emilia,Pistoia,23.046575342465754,0,20,3,6,0.500,1,4,0.25,0,0,0.0,2,2,4,2,4,0,0,1,7,11.0,8
2019-03-31,Reggio Emilia,Brindisi,23.065753424657533,0,15,4,5,0.800,2,3,0.667,1,1,1.0,0,0,0,0,0,0,1,2,11,7.299999999999999,1
2019-04-07,Reggio Emilia,Trentino,23.084931506849315,0,9,1,5,0.200,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,1,3,0.4999999999999999,-2
2019-04-14,Reggio Emilia,Trieste,23.104109589041094,0,7,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,-1.2,-19
2019-04-20,Reggio Emilia,Virtus Bologna,23.12054794520548,0,15,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,1,5,1.2000000000000006,-13
2019-04-28,Reggio Emilia,Venezia,23.14246575342466,0,8,0,2,0.000,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,1,0,-1.5,0
2019-05-05,Reggio Emilia,Pesaro,23.161643835616438,0,14,4,7,0.571,1,2,0.5,0,0,0.0,0,0,0,0,2,0,0,1,9,7.3,11
2019-05-12,Reggio Emilia,Cremona,23.18082191780822,0,13,3,6,0.500,1,1,1.0,2,2,1.0,1,1,2,1,0,0,0,1,9,7.3,-12
