date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-02-10,Milano,Pesaro,28.5972602739726,1,19,9,11,0.818,6,7,0.857,1,2,0.5,0,2,2,4,0,0,1,0,25,22.900000000000006,11
2019-03-03,Milano,Torino,28.654794520547945,1,17,2,7,0.286,1,4,0.25,2,2,1.0,0,1,1,5,0,0,1,1,7,5.3,10
2019-03-17,Milano,Venezia,28.693150684931506,1,26,4,6,0.667,1,3,0.333,0,0,0.0,0,3,3,3,0,0,4,1,9,5.0,-15
2019-03-24,Milano,Cremona,28.71232876712329,1,31,5,9,0.556,2,4,0.5,7,7,1.0,0,4,4,6,1,0,2,1,19,18.7,11
2019-03-31,Milano,Cantù,28.731506849315068,1,16,3,5,0.600,1,1,1.0,2,2,1.0,0,0,0,0,1,0,2,3,9,4.499999999999999,3
2019-04-07,Milano,Sassari,28.75068493150685,0,14,2,4,0.500,1,2,0.5,0,0,0.0,0,1,1,0,1,0,2,4,5,0.6999999999999997,-7
2019-04-13,Milano,Varese,28.767123287671232,1,31,6,8,0.750,5,7,0.714,0,0,0.0,0,3,3,2,0,0,2,1,17,13.699999999999998,18
2019-04-20,Milano,Brescia,28.786301369863015,1,40,8,16,0.500,5,11,0.455,4,4,1.0,2,5,7,4,0,0,1,3,25,20.5,-3
2019-04-28,Milano,Avellino,28.808219178082194,1,29,4,8,0.500,3,6,0.5,5,6,0.833,0,2,2,3,2,0,5,3,16,10.100000000000001,23
2019-05-12,Milano,Trieste,28.846575342465755,1,27,1,7,0.143,0,2,0.0,2,2,1.0,0,2,2,3,0,0,4,0,4,-1.7999999999999994,5
2019-05-18,Milano,Avellino,28.863013698630137,1,32,3,10,0.300,1,4,0.25,4,4,1.0,0,1,1,3,0,0,0,3,11,6.399999999999999,-7
2019-05-20,Milano,Avellino,28.86849315068493,1,31,6,13,0.462,3,8,0.375,4,4,1.0,0,1,1,2,1,0,3,2,19,11.2,7
2019-05-22,Milano,Avellino,28.873972602739727,1,31,3,13,0.231,1,6,0.167,0,0,0.0,0,4,4,4,0,0,2,0,7,1.0999999999999996,-12
2019-05-24,Milano,Avellino,28.87945205479452,1,33,10,16,0.625,4,6,0.667,4,4,1.0,1,2,3,3,0,0,2,1,28,21.800000000000004,5
2019-05-26,Milano,Avellino,28.884931506849316,1,33,9,16,0.563,2,7,0.286,5,5,1.0,0,2,2,7,1,0,1,1,25,22.500000000000004,23
2019-05-29,Milano,Sassari,28.893150684931506,1,27,3,16,0.188,3,9,0.333,0,0,0.0,0,4,4,1,1,0,1,2,9,0.09999999999999987,11
2019-05-31,Milano,Sassari,28.898630136986302,1,37,5,13,0.385,2,7,0.286,5,5,1.0,0,3,3,2,1,0,2,3,17,10.0,-17
2019-06-02,Milano,Sassari,28.904109589041095,1,31,7,11,0.636,5,8,0.625,0,0,0.0,0,0,0,0,0,0,2,5,19,10.100000000000001,5
