date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Sassari,Reggio Emilia,26.013698630136986,1,37,7,15,0.467,2,5,0.4,2,2,1.0,2,6,8,2,2,0,2,0,18,14.899999999999999,1
2018-10-14,Sassari,Varese,26.03287671232877,1,27,1,9,0.111,0,3,0.0,0,0,0.0,0,1,1,1,2,1,3,2,2,-4.0,7
2018-10-21,Sassari,Brindisi,26.052054794520547,1,32,7,15,0.467,4,9,0.444,1,1,1.0,0,8,8,2,1,0,1,3,19,13.900000000000002,19
2018-10-28,Sassari,Torino,26.07123287671233,0,28,6,9,0.667,4,6,0.667,0,0,0.0,1,6,7,5,2,0,0,3,16,18.9,14
2018-11-04,Sassari,Cremona,26.09041095890411,1,34,4,14,0.286,1,8,0.125,2,2,1.0,1,7,8,1,0,0,3,4,11,1.700000000000001,-9
2018-11-10,Sassari,Venezia,26.106849315068494,1,30,6,11,0.545,2,6,0.333,2,3,0.667,2,4,6,2,0,0,2,2,16,11.499999999999998,10
2018-11-18,Sassari,Pistoia,26.12876712328767,1,31,5,11,0.455,3,6,0.5,5,6,0.833,0,3,3,3,2,0,3,2,18,13.099999999999998,0
2018-11-25,Sassari,Trentino,26.147945205479452,0,25,4,14,0.286,1,7,0.143,3,3,1.0,0,4,4,5,0,0,3,4,12,3.9000000000000004,-4
2018-12-09,Sassari,Virtus Bologna,26.186301369863013,1,26,3,7,0.429,0,1,0.0,0,0,0.0,1,3,4,3,1,1,1,3,6,5.5,4
2018-12-16,Sassari,Milano,26.205479452054796,1,24,2,9,0.222,1,4,0.25,0,0,0.0,1,4,5,5,0,0,2,4,5,1.3000000000000003,-4
