date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-06,Cremona,Trentino,27.043835616438358,0,30,6,11,0.545,2,7,0.286,1,2,0.5,1,2,3,2,0,1,0,5,15,10.699999999999998,12
2018-10-14,Cremona,Avellino,27.065753424657533,0,16,4,10,0.400,1,5,0.2,4,5,0.8,3,1,4,0,1,0,0,3,13,9.399999999999999,14
2018-10-20,Cremona,Cantù,27.08219178082192,0,20,8,15,0.533,2,7,0.286,2,2,1.0,2,2,4,1,2,1,1,3,20,15.899999999999999,6
2018-10-28,Cremona,Virtus Bologna,27.104109589041094,0,15,5,7,0.714,3,5,0.6,3,4,0.75,1,6,7,0,0,0,0,4,16,13.6,11
2018-11-04,Cremona,Sassari,27.123287671232877,0,20,3,10,0.300,0,6,0.0,0,0,0.0,2,2,4,1,0,0,1,2,6,1.1000000000000005,3
2018-11-11,Cremona,Pistoia,27.14246575342466,0,24,9,15,0.600,5,8,0.625,4,6,0.667,1,2,3,1,0,0,0,3,27,20.1,11
2018-11-18,Cremona,Varese,27.161643835616438,0,8,0,4,0.000,0,3,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,-3.4999999999999996,1
2018-11-25,Cremona,Milano,27.18082191780822,0,18,1,9,0.111,1,7,0.143,1,4,0.25,0,4,4,1,0,0,0,4,4,-2.8,7
2018-12-09,Cremona,Trieste,27.21917808219178,0,22,4,10,0.400,3,7,0.429,4,4,1.0,1,5,6,1,0,0,2,4,15,8.9,14
2018-12-16,Cremona,Pesaro,27.23835616438356,0,14,3,9,0.333,1,5,0.2,0,0,0.0,1,6,7,1,0,1,0,4,7,4.199999999999999,8
2018-12-22,Cremona,Brescia,27.254794520547946,0,23,6,13,0.462,3,7,0.429,0,0,0.0,3,6,9,0,1,0,1,4,15,10.6,-4
2018-12-26,Cremona,Brindisi,27.265753424657536,0,13,1,4,0.250,0,1,0.0,2,2,1.0,4,1,5,0,1,0,2,4,4,2.0999999999999996,-5
2018-12-30,Cremona,Torino,27.276712328767122,0,16,5,11,0.455,2,6,0.333,0,0,0.0,1,0,1,0,0,0,3,4,12,2.4000000000000004,-7
2019-01-06,Cremona,Venezia,27.295890410958904,0,29,5,13,0.385,3,10,0.3,2,6,0.333,0,5,5,1,0,1,2,2,15,6.399999999999999,-3
2019-01-13,Cremona,Reggio Emilia,27.315068493150687,0,23,6,10,0.600,2,5,0.4,1,2,0.5,2,1,3,3,1,0,0,3,15,13.599999999999998,14
2019-01-20,Cremona,Trentino,27.334246575342465,0,18,5,8,0.625,2,3,0.667,2,2,1.0,1,5,6,1,0,1,1,2,14,12.199999999999998,3
2019-01-27,Cremona,Avellino,27.353424657534248,1,21,2,8,0.250,0,5,0.0,0,0,0.0,1,2,3,2,0,0,1,3,4,-0.30000000000000027,-15
2019-02-03,Cremona,Cantù,27.372602739726027,1,21,4,12,0.333,0,6,0.0,2,4,0.5,4,3,7,2,0,0,1,3,10,5.300000000000002,-11
2019-02-09,Cremona,Virtus Bologna,27.389041095890413,0,11,1,5,0.200,0,2,0.0,1,2,0.5,1,2,3,0,0,0,1,1,3,-0.6000000000000002,-9
2019-03-10,Cremona,Pistoia,27.46849315068493,0,18,3,9,0.333,0,2,0.0,0,0,0.0,1,2,3,0,1,0,3,3,6,-1.0,7
2019-03-17,Cremona,Varese,27.487671232876714,1,16,2,6,0.333,2,5,0.4,2,2,1.0,1,2,3,1,0,0,2,3,8,3.4000000000000012,-3
2019-03-24,Cremona,Milano,27.506849315068493,0,19,3,11,0.273,2,5,0.4,0,0,0.0,1,2,3,1,2,0,1,3,8,3.3000000000000007,-2
2019-03-31,Cremona,Trieste,27.526027397260275,0,18,2,9,0.222,0,6,0.0,0,0,0.0,1,2,3,0,1,0,0,1,4,0.3999999999999999,-4
2019-04-07,Cremona,Pesaro,27.545205479452054,0,16,3,9,0.333,1,6,0.167,1,1,1.0,1,4,5,0,0,1,1,2,8,3.7,-5
2019-04-14,Cremona,Brescia,27.564383561643837,0,9,1,5,0.200,0,2,0.0,0,0,0.0,1,2,3,0,0,0,1,3,2,-2.0000000000000004,2
2019-04-20,Cremona,Brindisi,27.58082191780822,0,8,0,2,0.000,0,2,0.0,2,2,1.0,0,3,3,0,0,0,3,2,2,-2.3,-11
2019-04-28,Cremona,Torino,27.602739726027398,0,17,4,8,0.500,3,4,0.75,0,0,0.0,3,3,6,1,2,0,0,4,11,11.1,11
2019-05-05,Cremona,Venezia,27.621917808219177,0,22,4,8,0.500,3,4,0.75,3,4,0.75,2,6,8,1,1,1,2,3,14,12.0,21
2019-05-12,Cremona,Reggio Emilia,27.64109589041096,0,24,6,14,0.429,1,8,0.125,0,2,0.0,4,8,12,1,0,1,0,4,13,9.8,10
2019-05-19,Cremona,Trieste,27.66027397260274,0,9,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,0.2000000000000003,-5
2019-05-21,Cremona,Trieste,27.665753424657535,0,13,3,5,0.600,2,3,0.667,0,0,0.0,0,3,3,1,1,0,0,5,8,6.299999999999999,-5
2019-05-23,Cremona,Trieste,27.671232876712327,0,24,5,12,0.417,3,8,0.375,0,0,0.0,0,5,5,1,0,0,2,5,13,4.800000000000001,-3
2019-05-25,Cremona,Trieste,27.676712328767124,0,8,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,3,5,1.7999999999999998,-3
2019-05-30,Cremona,Venezia,27.69041095890411,0,12,2,3,0.667,1,2,0.5,0,0,0.0,3,1,4,1,0,0,1,0,5,5.8,4
2019-06-01,Cremona,Venezia,27.695890410958903,0,18,2,6,0.333,1,5,0.2,2,2,1.0,0,2,2,1,0,0,1,4,7,2.3000000000000003,10
