date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-31,Cremona,Trieste,29.046575342465754,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-07,Cremona,Pesaro,29.065753424657533,0,3,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,3
2019-04-14,Cremona,Brescia,29.084931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-20,Cremona,Brindisi,29.101369863013698,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Cremona,Torino,29.123287671232877,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-05,Cremona,Venezia,29.14246575342466,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-12,Cremona,Reggio Emilia,29.161643835616438,0,17,0,1,0.000,0,0,0.0,1,2,0.5,1,1,2,0,0,0,1,1,1,-0.5000000000000001,-2
2019-05-19,Cremona,Trieste,29.18082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-21,Cremona,Trieste,29.186301369863013,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-23,Cremona,Trieste,29.19178082191781,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-25,Cremona,Trieste,29.197260273972603,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0.29999999999999993,-1
2019-05-30,Cremona,Venezia,29.21095890410959,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-01,Cremona,Venezia,29.216438356164385,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-03,Cremona,Venezia,29.221917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-05,Cremona,Venezia,29.22739726027397,0,9,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2,2.3,5
2019-06-07,Cremona,Venezia,29.232876712328768,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
