date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-21,Sassari,Brindisi,29.2986301369863,1,26,2,5,0.400,1,2,0.5,0,2,0.0,0,1,1,5,0,0,2,1,5,2.8999999999999995,0
2018-10-28,Sassari,Torino,29.317808219178083,1,27,2,9,0.222,1,4,0.25,0,0,0.0,1,0,1,3,0,0,1,4,5,-0.30000000000000027,16
2018-11-04,Sassari,Cremona,29.336986301369862,1,30,5,9,0.556,0,1,0.0,0,0,0.0,1,1,2,4,0,0,2,2,10,6.699999999999999,-2
2018-11-10,Sassari,Venezia,29.353424657534248,1,29,5,13,0.385,1,6,0.167,1,2,0.5,0,1,1,5,1,0,0,4,12,7.700000000000001,-4
2018-11-18,Sassari,Pistoia,29.375342465753423,1,25,6,10,0.600,2,5,0.4,2,2,1.0,0,2,2,2,0,0,3,2,16,9.599999999999998,-8
2018-11-25,Sassari,Trentino,29.394520547945206,1,26,2,9,0.222,0,4,0.0,3,3,1.0,0,3,3,1,0,0,0,2,7,2.3,-1
2018-12-09,Sassari,Virtus Bologna,29.432876712328767,1,25,6,12,0.500,1,3,0.333,1,2,0.5,0,2,2,4,1,0,1,2,14,10.2,9
2018-12-16,Sassari,Milano,29.45205479452055,1,29,4,9,0.444,2,4,0.5,3,5,0.6,1,0,1,6,0,0,1,4,13,9.8,-2
2018-12-23,Sassari,Avellino,29.471232876712328,1,27,6,10,0.600,1,2,0.5,2,2,1.0,0,0,0,5,1,0,0,5,15,12.899999999999999,9
2018-12-26,Sassari,Pesaro,29.47945205479452,1,24,6,11,0.545,5,8,0.625,1,2,0.5,1,1,2,5,0,0,1,1,18,15.399999999999999,22
2018-12-30,Sassari,Brescia,29.49041095890411,1,29,4,8,0.500,1,3,0.333,1,1,1.0,0,1,1,6,0,0,0,1,10,10.1,16
2019-01-06,Sassari,Trieste,29.50958904109589,1,32,3,10,0.300,0,5,0.0,0,0,0.0,0,3,3,9,0,0,2,2,6,4.6000000000000005,10
2019-01-12,Sassari,Cantù,29.526027397260275,1,32,4,9,0.444,2,4,0.5,6,8,0.75,0,3,3,3,1,0,2,2,16,11.7,13
2019-01-20,Sassari,Reggio Emilia,29.54794520547945,1,31,6,12,0.500,1,4,0.25,1,1,1.0,0,4,4,7,1,0,2,1,14,12.699999999999998,3
2019-02-10,Sassari,Torino,29.605479452054794,0,22,7,12,0.583,4,8,0.5,8,8,1.0,2,1,3,4,0,0,3,0,26,21.900000000000002,-14
2019-03-10,Sassari,Venezia,29.682191780821917,0,28,8,12,0.667,4,5,0.8,1,2,0.5,1,1,2,3,0,0,0,2,21,17.7,-6
2019-03-17,Sassari,Pistoia,29.7013698630137,1,36,2,11,0.182,1,6,0.167,7,10,0.7,0,2,2,4,1,0,4,2,12,3.500000000000001,-1
2019-03-24,Sassari,Trentino,29.720547945205478,1,30,3,5,0.600,1,2,0.5,8,9,0.889,0,0,0,5,1,0,0,2,15,15.999999999999996,9
2019-03-31,Sassari,Virtus Bologna,29.73972602739726,1,31,0,8,0.000,0,3,0.0,6,8,0.75,0,2,2,4,0,0,2,2,6,0.20000000000000018,4
2019-04-07,Sassari,Milano,29.758904109589043,1,27,4,8,0.500,4,6,0.667,1,1,1.0,1,2,3,5,0,0,1,2,13,11.999999999999998,14
2019-04-14,Sassari,Avellino,29.778082191780822,1,32,3,8,0.375,1,4,0.25,6,6,1.0,0,2,2,5,2,0,1,0,13,13.7,18
2019-04-20,Sassari,Pesaro,29.794520547945204,1,30,6,9,0.667,0,2,0.0,8,10,0.8,0,1,1,4,1,0,1,3,20,17.2,17
2019-04-28,Sassari,Brescia,29.816438356164383,1,26,1,5,0.200,1,4,0.25,0,0,0.0,0,2,2,5,0,0,1,1,3,2.6,7
2019-05-05,Sassari,Trieste,29.835616438356166,1,23,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,4,0,0,0,3,4,4.6,11
2019-05-12,Sassari,Cantù,29.854794520547944,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-18,Sassari,Brindisi,29.87123287671233,1,23,1,6,0.167,1,2,0.5,0,0,0.0,0,0,0,3,2,0,0,2,3,2.5,0
2019-05-20,Sassari,Brindisi,29.876712328767123,1,23,3,6,0.500,2,3,0.667,2,2,1.0,1,1,2,2,0,0,1,1,10,8.0,-3
2019-05-22,Sassari,Brindisi,29.88219178082192,1,24,4,11,0.364,3,7,0.429,1,2,0.5,0,0,0,0,0,0,3,3,12,1.2999999999999998,5
2019-05-29,Sassari,Milano,29.9013698630137,1,19,2,4,0.500,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,2,6,2.9000000000000004,-17
2019-05-31,Sassari,Milano,29.906849315068495,1,25,1,5,0.200,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,-1.2000000000000002,-6
2019-06-02,Sassari,Milano,29.912328767123288,1,32,9,10,0.900,7,8,0.875,4,5,0.8,0,1,1,3,0,0,3,3,29,23.400000000000002,20
2019-06-10,Sassari,Venezia,29.934246575342467,1,21,1,5,0.200,0,3,0.0,1,2,0.5,0,0,0,2,1,0,0,5,3,-0.10000000000000009,5
2019-06-12,Sassari,Venezia,29.93972602739726,1,32,6,12,0.500,3,5,0.6,4,4,1.0,1,0,1,6,1,0,1,1,19,17.5,19
2019-06-14,Sassari,Venezia,29.945205479452056,1,26,1,7,0.143,0,3,0.0,5,5,1.0,0,1,1,1,0,0,0,0,7,3.500000000000001,-6
2019-06-16,Sassari,Venezia,29.95068493150685,1,26,2,8,0.250,2,3,0.667,4,4,1.0,0,0,0,4,2,0,1,0,10,9.0,5
2019-06-18,Sassari,Venezia,29.956164383561646,1,29,2,8,0.250,2,5,0.4,0,0,0.0,0,0,0,1,0,0,2,2,6,-0.8999999999999999,-9
2019-06-20,Sassari,Venezia,29.96164383561644,1,22,1,5,0.200,0,2,0.0,4,4,1.0,0,1,1,3,0,0,0,3,6,4.1,1
2019-06-22,Sassari,Venezia,29.96712328767123,1,29,3,9,0.333,3,6,0.5,0,0,0.0,0,2,2,2,0,0,1,0,9,4.899999999999999,-20
