date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Brescia,Varese,29.96986301369863,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-6
2018-10-14,Brescia,Reggio Emilia,29.98904109589041,0,9,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,0.9000000000000001,-3
2018-10-27,Brescia,Avellino,30.024657534246575,0,12,0,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,2,0,-1.5,-3
2018-11-04,Brescia,Pesaro,30.046575342465754,0,5,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,1.0,11
2018-11-10,Brescia,Trentino,30.063013698630137,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,2,0,1,0,2.3,-1
2018-11-18,Brescia,Brindisi,30.084931506849315,0,10,2,3,0.000,0,0,0.0,2,2,1.0,2,1,3,0,0,0,1,3,6,4.199999999999999,-4
2018-11-25,Brescia,Torino,30.104109589041094,0,5,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,2.0,3
2018-12-16,Brescia,Cantù,30.161643835616438,0,17,3,3,0.000,0,0,0.0,0,0,0.0,2,8,10,0,0,1,0,1,6,9.2,11
2018-12-22,Brescia,Cremona,30.17808219178082,0,6,2,3,0.000,0,0,0.0,2,2,1.0,3,0,3,0,0,0,1,1,6,5.3999999999999995,-5
2018-12-25,Brescia,Milano,30.186301369863013,0,12,2,3,0.667,1,1,1.0,0,1,0.0,0,1,1,1,0,0,1,2,5,2.5,-4
2018-12-30,Brescia,Sassari,30.2,0,11,2,2,1.000,1,1,1.0,1,2,0.5,2,1,3,0,0,2,2,1,6,5.699999999999999,5
2019-01-06,Brescia,Virtus Bologna,30.21917808219178,0,7,2,4,0.500,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,2,4,2.2,-4
2019-01-12,Brescia,Venezia,30.235616438356164,0,16,2,3,0.000,0,0,0.0,1,1,1.0,2,2,4,0,0,0,1,4,5,3.0999999999999996,-12
2019-01-20,Brescia,Varese,30.257534246575343,0,18,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,1,2,1,0,2,2,5.3,4
2019-01-27,Brescia,Reggio Emilia,30.276712328767122,0,20,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,1,1,1,0,0,4,6.1000000000000005,12
2019-02-03,Brescia,Trieste,30.295890410958904,0,13,1,2,0.500,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,5,2,-2.7,-9
2019-02-10,Brescia,Avellino,30.315068493150687,0,21,3,6,0.500,0,2,0.0,0,0,0.0,1,2,3,0,0,1,0,2,6,4.200000000000001,0
2019-03-03,Brescia,Pesaro,30.372602739726027,0,24,5,10,0.500,1,1,1.0,1,2,0.5,5,5,10,2,0,1,1,3,12,11.5,7
2019-03-10,Brescia,Trentino,30.39178082191781,0,17,1,1,0.000,0,0,0.0,2,4,0.5,0,4,4,1,1,2,2,2,4,4.400000000000001,-6
2019-03-17,Brescia,Brindisi,30.410958904109588,0,24,3,4,0.750,1,1,1.0,4,4,1.0,1,5,6,0,0,0,0,3,11,10.399999999999999,13
2019-03-24,Brescia,Torino,30.43013698630137,0,28,2,4,0.500,0,2,0.0,0,0,0.0,2,2,4,3,0,0,2,3,4,2.8999999999999995,12
2019-03-31,Brescia,Pistoia,30.44931506849315,0,26,3,6,0.500,0,1,0.0,3,4,0.75,4,3,7,2,1,2,0,4,9,11.5,-3
2019-04-07,Brescia,Cantù,30.46849315068493,0,17,2,5,0.400,0,1,0.0,2,2,1.0,2,1,3,0,0,1,0,0,6,5.699999999999999,-6
2019-04-14,Brescia,Cremona,30.487671232876714,0,12,2,4,0.000,0,0,0.0,1,3,0.333,3,1,4,0,0,0,1,2,5,2.8,2
2019-04-20,Brescia,Milano,30.504109589041096,0,19,0,4,0.000,0,0,0.0,2,4,0.5,4,4,8,1,0,2,1,5,2,1.5,5
2019-04-24,Brescia,Virtus Bologna,30.515068493150686,0,17,1,3,0.333,0,2,0.0,1,2,0.5,0,4,4,0,0,1,0,1,3,2.4,-7
2019-04-28,Brescia,Sassari,30.526027397260275,0,16,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,4,2,1.1,-1
2019-05-12,Brescia,Venezia,30.564383561643837,0,20,4,5,0.800,1,2,0.5,0,0,0.0,0,4,4,0,1,0,1,1,9,7.899999999999999,2
